# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/ABRIK_input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 16, 32, 64, 128, 
# Matmul counts: 4, 8, 16, 32, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||AV - US||^2_F + ||A'U - VS||^2_F) / sigma_{target_rank}
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
16, 4, 10, 0.745199, 247705, 1.09496e-14, 2822210
16, 4, 10, 0.745199, 266837, 1.09496e-14, 3052934
16, 4, 10, 0.745199, 269493, 1.09496e-14, 2712821
16, 8, 10, 0.175924, 548330, 2.22429e-14, 8151950
16, 8, 10, 0.175924, 462087, 2.22429e-14, 8095553
16, 8, 10, 0.175924, 469397, 2.22429e-14, 8208929
16, 16, 10, 0.00665951, 1087566, 1.91622e-14, 27402977
16, 16, 10, 0.00665951, 1009870, 1.91622e-14, 26505745
16, 16, 10, 0.00665951, 987830, 1.91622e-14, 26469732
16, 32, 10, 1.28634e-05, 2447553, 2.42504e-14, 99482739
16, 32, 10, 1.28634e-05, 2241424, 2.42504e-14, 100372586
16, 32, 10, 1.28634e-05, 2343984, 2.42504e-14, 99644070
32, 4, 10, 0.617645, 620535, 2.22429e-14, 8262833
32, 4, 10, 0.617645, 634700, 2.22429e-14, 8152957
32, 4, 10, 0.617645, 603970, 2.22429e-14, 8168885
32, 8, 10, 0.087205, 1344246, 1.91622e-14, 26830352
32, 8, 10, 0.087205, 1292431, 1.91622e-14, 27188760
32, 8, 10, 0.087205, 1286644, 1.91622e-14, 26547662
32, 16, 10, 0.000337401, 2706584, 2.42504e-14, 99259413
32, 16, 10, 0.000337401, 2520270, 2.42504e-14, 100022743
32, 16, 10, 0.000337401, 2645565, 2.42504e-14, 99955697
32, 32, 10, 1.23068e-11, 6176794, 2.84751e-14, 285863007
32, 32, 10, 1.23068e-11, 6267334, 2.84751e-14, 285178813
32, 32, 10, 1.23068e-11, 6133902, 2.84751e-14, 287042404
64, 4, 10, 0.44801, 1020115, 1.91622e-14, 27367952
64, 4, 10, 0.44801, 1057496, 1.91622e-14, 26763300
64, 4, 10, 0.44801, 1025948, 1.91622e-14, 27266439
64, 8, 10, 0.0239448, 2268887, 2.42504e-14, 101041252
64, 8, 10, 0.0239448, 2230253, 2.42504e-14, 99867428
64, 8, 10, 0.0239448, 2172345, 2.42504e-14, 100413447
64, 16, 10, 8.41234e-06, 5481705, 2.84751e-14, 286625261
64, 16, 10, 8.41234e-06, 5205668, 2.84751e-14, 286604652
64, 16, 10, 8.41234e-06, 5492981, 2.84751e-14, 285652682
64, 32, 10, 4.02892e-14, 14970268, 4.50693e-14, 876718018
64, 32, 10, 4.02892e-14, 15226804, 4.50693e-14, 884769521
64, 32, 10, 4.02892e-14, 15126312, 4.50693e-14, 879424827
128, 4, 10, 0.282889, 2434303, 2.42504e-14, 102142693
128, 4, 10, 0.282889, 2111850, 2.42504e-14, 101512630
128, 4, 10, 0.282889, 2100626, 2.42504e-14, 100867310
128, 8, 10, 0.00567283, 5157584, 2.84751e-14, 285926186
128, 8, 10, 0.00567283, 5367081, 2.84751e-14, 287316691
128, 8, 10, 0.00567283, 5352554, 2.84751e-14, 289636319
128, 16, 10, 3.90406e-07, 14206341, 4.50693e-14, 883086284
128, 16, 10, 3.90406e-07, 15298828, 4.50693e-14, 880043682
128, 16, 10, 3.90406e-07, 15621714, 4.50693e-14, 885321616
128, 32, 10, 9.28856e-15, 49376750, 7.50844e-14, 3892265613
128, 32, 10, 9.28856e-15, 46174027, 7.50844e-14, 3952128599
128, 32, 10, 9.28856e-15, 47235572, 7.50844e-14, 3969582200
