# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/input_matrices/2000x2000_rank_2000/ABRIK_test_mat6.txt
# Input size: 2000 x 2000
# Target rank: 10
# Krylov block sizes: 8, 16, 
# Matmul counts: 4, 8, 16, 
# RSVD p values: 1, 2, 4, 8, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: yes
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 8, 4, 0, 10, 1.13049, 47370
ABRIK, 8, 8, 0, 10, 0.391643, 51516
ABRIK, 8, 16, 0, 10, 0.0285619, 73207
ABRIK, 16, 4, 0, 10, 0.772865, 42395
ABRIK, 16, 8, 0, 10, 0.158809, 56797
ABRIK, 16, 16, 0, 10, 0.00168544, 87286
RSVD, 0, 0, 1, 10, 1.6772, 25924
RSVD, 0, 0, 2, 10, 1.26584, 36330
RSVD, 0, 0, 4, 10, 0.816977, 39516
RSVD, 0, 0, 8, 10, 0.41859, 25307
SVDS, 0, 0, 0, 10, 6.11447e-11, 150012
GESDD, 0, 0, 0, 10, 6.13213e-15, 979471
