# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 4, 2, 0, 10, 1.71452, 108224
ABRIK, 4, 2, 0, 10, 1.71452, 90066
ABRIK, 4, 2, 0, 10, 1.71452, 81987
ABRIK, 4, 4, 0, 10, 1.71041, 342045
ABRIK, 4, 4, 0, 10, 1.71041, 215643
ABRIK, 4, 4, 0, 10, 1.71041, 180565
ABRIK, 4, 8, 0, 10, 0.70549, 327779
ABRIK, 4, 8, 0, 10, 0.70549, 355767
ABRIK, 4, 8, 0, 10, 0.70549, 470311
ABRIK, 4, 16, 0, 10, 0.111422, 726687
ABRIK, 4, 16, 0, 10, 0.111422, 857308
ABRIK, 4, 16, 0, 10, 0.111422, 659043
ABRIK, 4, 32, 0, 10, 0.00453762, 1797123
ABRIK, 4, 32, 0, 10, 0.00453762, 1880115
ABRIK, 4, 32, 0, 10, 0.00453762, 2037932
ABRIK, 8, 2, 0, 10, 2.42722, 126049
ABRIK, 8, 2, 0, 10, 2.42722, 117485
ABRIK, 8, 2, 0, 10, 2.42722, 180367
ABRIK, 8, 4, 0, 10, 1.38837, 475678
ABRIK, 8, 4, 0, 10, 1.38837, 264716
ABRIK, 8, 4, 0, 10, 1.38837, 272595
ABRIK, 8, 8, 0, 10, 0.389832, 549883
ABRIK, 8, 8, 0, 10, 0.389832, 883188
ABRIK, 8, 8, 0, 10, 0.389832, 485526
ABRIK, 8, 16, 0, 10, 0.0212923, 1161273
ABRIK, 8, 16, 0, 10, 0.0212923, 1085151
ABRIK, 8, 16, 0, 10, 0.0212923, 1171861
ABRIK, 8, 32, 0, 10, 0.00288281, 2637371
ABRIK, 8, 32, 0, 10, 0.00288281, 2904858
ABRIK, 8, 32, 0, 10, 0.00288281, 2798167
ABRIK, 16, 2, 0, 10, 2.6216, 307712
ABRIK, 16, 2, 0, 10, 2.6216, 322984
ABRIK, 16, 2, 0, 10, 2.6216, 336538
ABRIK, 16, 4, 0, 10, 0.777863, 636321
ABRIK, 16, 4, 0, 10, 0.777863, 579574
ABRIK, 16, 4, 0, 10, 0.777863, 566747
ABRIK, 16, 8, 0, 10, 0.165517, 1473283
ABRIK, 16, 8, 0, 10, 0.165517, 1064789
ABRIK, 16, 8, 0, 10, 0.165517, 1093308
ABRIK, 16, 16, 0, 10, 0.00801925, 2822298
ABRIK, 16, 16, 0, 10, 0.00801925, 2569285
ABRIK, 16, 16, 0, 10, 0.00801925, 2115922
ABRIK, 16, 32, 0, 10, 1.66276e-05, 5193433
ABRIK, 16, 32, 0, 10, 1.66276e-05, 5455160
ABRIK, 16, 32, 0, 10, 1.66276e-05, 5792739
ABRIK, 32, 2, 0, 10, 2.45736, 1048970
ABRIK, 32, 2, 0, 10, 2.45736, 774582
ABRIK, 32, 2, 0, 10, 2.45736, 942833
ABRIK, 32, 4, 0, 10, 0.647902, 1662823
ABRIK, 32, 4, 0, 10, 0.647902, 1889319
ABRIK, 32, 4, 0, 10, 0.647902, 1415906
ABRIK, 32, 8, 0, 10, 0.0886032, 2816218
ABRIK, 32, 8, 0, 10, 0.0886032, 2687160
ABRIK, 32, 8, 0, 10, 0.0886032, 2649801
ABRIK, 32, 16, 0, 10, 0.000462048, 5973465
ABRIK, 32, 16, 0, 10, 0.000462048, 6004501
ABRIK, 32, 16, 0, 10, 0.000462048, 6742253
ABRIK, 32, 32, 0, 10, 2.38791e-11, 14117256
ABRIK, 32, 32, 0, 10, 2.38791e-11, 14503905
ABRIK, 32, 32, 0, 10, 2.38791e-11, 14317769
SVDS, 0, 0, 0, 10, 5.19144e-11, 6491637
SVDS, 0, 0, 0, 10, 5.19144e-11, 6663937
SVDS, 0, 0, 0, 10, 5.19144e-11, 6568288
