# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/input_matrices/2000x2000_rank_2000/ABRIK_test_mat6.txt
# Input size: 2000 x 2000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# RSVD p values: 0, 1, 2, 4, 8, 16, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: yes
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 4, 2, 0, 10, 1.13989, 44659
ABRIK, 4, 2, 0, 10, 1.13989, 71081
ABRIK, 4, 2, 0, 10, 1.13989, 29468
ABRIK, 4, 4, 0, 10, 1.36579, 54375
ABRIK, 4, 4, 0, 10, 1.36579, 44228
ABRIK, 4, 4, 0, 10, 1.36579, 54385
ABRIK, 4, 8, 0, 10, 0.777845, 91457
ABRIK, 4, 8, 0, 10, 0.777845, 98929
ABRIK, 4, 8, 0, 10, 0.777845, 91984
ABRIK, 4, 16, 0, 10, 0.226344, 136902
ABRIK, 4, 16, 0, 10, 0.226344, 120345
ABRIK, 4, 16, 0, 10, 0.226344, 135255
ABRIK, 4, 32, 0, 10, 0.001781, 160137
ABRIK, 4, 32, 0, 10, 0.001781, 159892
ABRIK, 4, 32, 0, 10, 0.001781, 245044
ABRIK, 8, 2, 0, 10, 1.53601, 41534
ABRIK, 8, 2, 0, 10, 1.53601, 32578
ABRIK, 8, 2, 0, 10, 1.53601, 32341
ABRIK, 8, 4, 0, 10, 1.13049, 47824
ABRIK, 8, 4, 0, 10, 1.13049, 45600
ABRIK, 8, 4, 0, 10, 1.13049, 71466
ABRIK, 8, 8, 0, 10, 0.391643, 56584
ABRIK, 8, 8, 0, 10, 0.391643, 74541
ABRIK, 8, 8, 0, 10, 0.391643, 86363
ABRIK, 8, 16, 0, 10, 0.0285619, 143046
ABRIK, 8, 16, 0, 10, 0.0285619, 117207
ABRIK, 8, 16, 0, 10, 0.0285619, 131614
ABRIK, 8, 32, 0, 10, 2.29137e-06, 186148
ABRIK, 8, 32, 0, 10, 2.29137e-06, 176100
ABRIK, 8, 32, 0, 10, 2.29137e-06, 259716
ABRIK, 16, 2, 0, 10, 1.63837, 49905
ABRIK, 16, 2, 0, 10, 1.63837, 26599
ABRIK, 16, 2, 0, 10, 1.63837, 31536
ABRIK, 16, 4, 0, 10, 0.772865, 66614
ABRIK, 16, 4, 0, 10, 0.772865, 27024
ABRIK, 16, 4, 0, 10, 0.772865, 66496
ABRIK, 16, 8, 0, 10, 0.158809, 97474
ABRIK, 16, 8, 0, 10, 0.158809, 101194
ABRIK, 16, 8, 0, 10, 0.158809, 107744
ABRIK, 16, 16, 0, 10, 0.00168544, 122900
ABRIK, 16, 16, 0, 10, 0.00168544, 103598
ABRIK, 16, 16, 0, 10, 0.00168544, 119913
ABRIK, 16, 32, 0, 10, 3.72237e-09, 247854
ABRIK, 16, 32, 0, 10, 3.72237e-09, 193353
ABRIK, 16, 32, 0, 10, 3.72237e-09, 178210
ABRIK, 32, 2, 0, 10, 1.53691, 22373
ABRIK, 32, 2, 0, 10, 1.53691, 23427
ABRIK, 32, 2, 0, 10, 1.53691, 58474
ABRIK, 32, 4, 0, 10, 0.551073, 68105
ABRIK, 32, 4, 0, 10, 0.551073, 89659
ABRIK, 32, 4, 0, 10, 0.551073, 81937
ABRIK, 32, 8, 0, 10, 0.0509466, 134980
ABRIK, 32, 8, 0, 10, 0.0509466, 96188
ABRIK, 32, 8, 0, 10, 0.0509466, 86247
ABRIK, 32, 16, 0, 10, 7.33261e-05, 119522
ABRIK, 32, 16, 0, 10, 7.33261e-05, 147251
ABRIK, 32, 16, 0, 10, 7.33261e-05, 158343
ABRIK, 32, 32, 0, 10, 3.04219e-12, 294763
ABRIK, 32, 32, 0, 10, 3.04219e-12, 275339
ABRIK, 32, 32, 0, 10, 3.04219e-12, 281922
RSVD, 0, 0, 0, 10, 2.46176, 44194
RSVD, 0, 0, 0, 10, 2.46176, 28417
RSVD, 0, 0, 0, 10, 2.46176, 39999
RSVD, 0, 0, 1, 10, 1.6772, 24124
RSVD, 0, 0, 1, 10, 1.6772, 24467
RSVD, 0, 0, 1, 10, 1.6772, 35269
RSVD, 0, 0, 2, 10, 1.26584, 62546
RSVD, 0, 0, 2, 10, 1.26584, 51345
RSVD, 0, 0, 2, 10, 1.26584, 41632
RSVD, 0, 0, 4, 10, 0.816977, 29018
RSVD, 0, 0, 4, 10, 0.816977, 38989
RSVD, 0, 0, 4, 10, 0.816977, 45301
RSVD, 0, 0, 8, 10, 0.41859, 39783
RSVD, 0, 0, 8, 10, 0.41859, 47046
RSVD, 0, 0, 8, 10, 0.41859, 47401
RSVD, 0, 0, 16, 10, 0.174382, 39471
RSVD, 0, 0, 16, 10, 0.174382, 56812
RSVD, 0, 0, 16, 10, 0.174382, 62137
SVDS, 0, 0, 0, 10, 6.11447e-11, 179229
SVDS, 0, 0, 0, 10, 6.11447e-11, 194984
SVDS, 0, 0, 0, 10, 6.11447e-11, 165631
GESDD, 0, 0, 0, 10, 6.13213e-15, 974724
