# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/input_matrices/ABRIK_test_mat6.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# RSVD p values: 0, 1, 2, 4, 8, 16, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: yes
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 4, 2, 0, 10, 1.24044, 128374
ABRIK, 4, 2, 0, 10, 1.24044, 108199
ABRIK, 4, 2, 0, 10, 1.24044, 117088
ABRIK, 4, 4, 0, 10, 1.5032, 162190
ABRIK, 4, 4, 0, 10, 1.5032, 160641
ABRIK, 4, 4, 0, 10, 1.5032, 174708
ABRIK, 4, 8, 0, 10, 0.795981, 254772
ABRIK, 4, 8, 0, 10, 0.795981, 279176
ABRIK, 4, 8, 0, 10, 0.795981, 277187
ABRIK, 4, 16, 0, 10, 0.255315, 441373
ABRIK, 4, 16, 0, 10, 0.255315, 495165
ABRIK, 4, 16, 0, 10, 0.255315, 471381
ABRIK, 4, 32, 0, 10, 0.00737395, 874383
ABRIK, 4, 32, 0, 10, 0.00737395, 892895
ABRIK, 4, 32, 0, 10, 0.00737395, 929493
ABRIK, 8, 2, 0, 10, 1.67845, 129093
ABRIK, 8, 2, 0, 10, 1.67845, 119744
ABRIK, 8, 2, 0, 10, 1.67845, 124103
ABRIK, 8, 4, 0, 10, 1.27318, 192719
ABRIK, 8, 4, 0, 10, 1.27318, 179787
ABRIK, 8, 4, 0, 10, 1.27318, 178056
ABRIK, 8, 8, 0, 10, 0.476237, 309045
ABRIK, 8, 8, 0, 10, 0.476237, 309759
ABRIK, 8, 8, 0, 10, 0.476237, 300592
ABRIK, 8, 16, 0, 10, 0.0432946, 527469
ABRIK, 8, 16, 0, 10, 0.0432946, 516347
ABRIK, 8, 16, 0, 10, 0.0432946, 520026
ABRIK, 8, 32, 0, 10, 0.000216096, 1002397
ABRIK, 8, 32, 0, 10, 0.000216096, 1027688
ABRIK, 8, 32, 0, 10, 0.000216096, 995729
ABRIK, 16, 2, 0, 10, 1.86709, 167461
ABRIK, 16, 2, 0, 10, 1.86709, 165192
ABRIK, 16, 2, 0, 10, 1.86709, 155898
ABRIK, 16, 4, 0, 10, 0.947052, 234836
ABRIK, 16, 4, 0, 10, 0.947052, 208228
ABRIK, 16, 4, 0, 10, 0.947052, 263190
ABRIK, 16, 8, 0, 10, 0.253206, 402999
ABRIK, 16, 8, 0, 10, 0.253206, 394732
ABRIK, 16, 8, 0, 10, 0.253206, 369673
ABRIK, 16, 16, 0, 10, 0.00870306, 670516
ABRIK, 16, 16, 0, 10, 0.00870306, 673020
ABRIK, 16, 16, 0, 10, 0.00870306, 715946
ABRIK, 16, 32, 0, 10, 2.86867e-06, 1367115
ABRIK, 16, 32, 0, 10, 2.86867e-06, 1413079
ABRIK, 16, 32, 0, 10, 2.86867e-06, 1379428
ABRIK, 32, 2, 0, 10, 1.87183, 208454
ABRIK, 32, 2, 0, 10, 1.87183, 220226
ABRIK, 32, 2, 0, 10, 1.87183, 200402
ABRIK, 32, 4, 0, 10, 0.832189, 304351
ABRIK, 32, 4, 0, 10, 0.832189, 316578
ABRIK, 32, 4, 0, 10, 0.832189, 327068
ABRIK, 32, 8, 0, 10, 0.133273, 525844
ABRIK, 32, 8, 0, 10, 0.133273, 532710
ABRIK, 32, 8, 0, 10, 0.133273, 549320
ABRIK, 32, 16, 0, 10, 0.00252259, 1107475
ABRIK, 32, 16, 0, 10, 0.00252259, 1074878
ABRIK, 32, 16, 0, 10, 0.00252259, 1093169
ABRIK, 32, 32, 0, 10, 3.01192e-08, 2209637
ABRIK, 32, 32, 0, 10, 3.01192e-08, 2159858
ABRIK, 32, 32, 0, 10, 3.01192e-08, 2183136
RSVD, 0, 0, 0, 10, 2.53415, 250093
RSVD, 0, 0, 0, 10, 2.53415, 246944
RSVD, 0, 0, 0, 10, 2.53415, 254594
RSVD, 0, 0, 1, 10, 1.86479, 262851
RSVD, 0, 0, 1, 10, 1.86479, 288614
RSVD, 0, 0, 1, 10, 1.86479, 307602
RSVD, 0, 0, 2, 10, 1.43861, 307783
RSVD, 0, 0, 2, 10, 1.43861, 312271
RSVD, 0, 0, 2, 10, 1.43861, 314104
RSVD, 0, 0, 4, 10, 0.917847, 351606
RSVD, 0, 0, 4, 10, 0.917847, 352371
RSVD, 0, 0, 4, 10, 0.917847, 355672
RSVD, 0, 0, 8, 10, 0.477259, 465867
RSVD, 0, 0, 8, 10, 0.477259, 503367
RSVD, 0, 0, 8, 10, 0.477259, 468048
RSVD, 0, 0, 16, 10, 0.21044, 656866
RSVD, 0, 0, 16, 10, 0.21044, 670537
RSVD, 0, 0, 16, 10, 0.21044, 657630
SVDS, 0, 0, 0, 10, 5.29874e-11, 6043268
SVDS, 0, 0, 0, 10, 5.29874e-11, 6189760
SVDS, 0, 0, 0, 10, 5.29874e-11, 6037842
GESDD, 0, 0, 0, 10, 8.83143e-15, 154243333
