# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/2000x2000_rank_2000/ABRIK_test_mat1.txt
# Input size: 2000 x 2000
# Target rank: 10
# Krylov block sizes: 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# RSVD p values: 0, 1, 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 5
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 16, 2, 0, 10, 0.430184, 60057
ABRIK, 16, 2, 0, 10, 0.430184, 41445
ABRIK, 16, 2, 0, 10, 0.430184, 94401
ABRIK, 16, 2, 0, 10, 0.430184, 100802
ABRIK, 16, 2, 0, 10, 0.430184, 88255
ABRIK, 16, 4, 0, 10, 0.0443349, 119435
ABRIK, 16, 4, 0, 10, 0.0443349, 156110
ABRIK, 16, 4, 0, 10, 0.0443349, 50090
ABRIK, 16, 4, 0, 10, 0.0443349, 75721
ABRIK, 16, 4, 0, 10, 0.0443349, 166664
ABRIK, 16, 8, 0, 10, 1.89836e-05, 173804
ABRIK, 16, 8, 0, 10, 1.89836e-05, 191004
ABRIK, 16, 8, 0, 10, 1.89836e-05, 209323
ABRIK, 16, 8, 0, 10, 1.89836e-05, 224258
ABRIK, 16, 8, 0, 10, 1.89836e-05, 236206
ABRIK, 16, 16, 0, 10, 6.26053e-14, 254140
ABRIK, 16, 16, 0, 10, 6.26053e-14, 330422
ABRIK, 16, 16, 0, 10, 6.26053e-14, 367433
ABRIK, 16, 16, 0, 10, 6.26053e-14, 295594
ABRIK, 16, 16, 0, 10, 6.26053e-14, 337419
ABRIK, 16, 32, 0, 10, 9.82867e-15, 698065
ABRIK, 16, 32, 0, 10, 9.82867e-15, 571339
ABRIK, 16, 32, 0, 10, 9.82867e-15, 581658
ABRIK, 16, 32, 0, 10, 9.82867e-15, 562693
ABRIK, 16, 32, 0, 10, 9.82867e-15, 349648
ABRIK, 16, 64, 0, 10, 9.6824e-15, 1104739
ABRIK, 16, 64, 0, 10, 9.6824e-15, 1509083
ABRIK, 16, 64, 0, 10, 9.6824e-15, 975468
ABRIK, 16, 64, 0, 10, 9.6824e-15, 811022
ABRIK, 16, 64, 0, 10, 9.6824e-15, 1628863
ABRIK, 32, 2, 0, 10, 0.1366, 67173
ABRIK, 32, 2, 0, 10, 0.1366, 53572
ABRIK, 32, 2, 0, 10, 0.1366, 55041
ABRIK, 32, 2, 0, 10, 0.1366, 114841
ABRIK, 32, 2, 0, 10, 0.1366, 92951
ABRIK, 32, 4, 0, 10, 0.00264513, 148926
ABRIK, 32, 4, 0, 10, 0.00264513, 111472
ABRIK, 32, 4, 0, 10, 0.00264513, 90966
ABRIK, 32, 4, 0, 10, 0.00264513, 171173
ABRIK, 32, 4, 0, 10, 0.00264513, 174853
ABRIK, 32, 8, 0, 10, 7.57706e-08, 286356
ABRIK, 32, 8, 0, 10, 7.57706e-08, 124397
ABRIK, 32, 8, 0, 10, 7.57706e-08, 219944
ABRIK, 32, 8, 0, 10, 7.57706e-08, 132302
ABRIK, 32, 8, 0, 10, 7.57706e-08, 244391
ABRIK, 32, 16, 0, 10, 9.63839e-15, 427361
ABRIK, 32, 16, 0, 10, 9.63839e-15, 319724
ABRIK, 32, 16, 0, 10, 9.63839e-15, 443801
ABRIK, 32, 16, 0, 10, 9.63839e-15, 287313
ABRIK, 32, 16, 0, 10, 9.63839e-15, 330014
ABRIK, 32, 32, 0, 10, 9.92377e-15, 738443
ABRIK, 32, 32, 0, 10, 9.92377e-15, 621309
ABRIK, 32, 32, 0, 10, 9.92377e-15, 708202
ABRIK, 32, 32, 0, 10, 9.92377e-15, 845238
ABRIK, 32, 32, 0, 10, 9.92377e-15, 811022
ABRIK, 32, 64, 0, 10, 9.88314e-15, 1586188
ABRIK, 32, 64, 0, 10, 9.88314e-15, 1633320
ABRIK, 32, 64, 0, 10, 9.88314e-15, 2015583
ABRIK, 32, 64, 0, 10, 9.88314e-15, 1956747
ABRIK, 32, 64, 0, 10, 9.88314e-15, 1640727
ABRIK_adaptive, 16, 204, 0, 10, 1.85454e-14, 28346794
ABRIK_adaptive, 16, 204, 0, 10, 1.85454e-14, 30033351
ABRIK_adaptive, 16, 204, 0, 10, 1.85454e-14, 38079997
ABRIK_adaptive, 16, 204, 0, 10, 1.85454e-14, 35357299
ABRIK_adaptive, 16, 204, 0, 10, 1.85454e-14, 33234771
ABRIK_adaptive, 32, 124, 0, 10, 2.53359e-14, 32724832
ABRIK_adaptive, 32, 124, 0, 10, 2.53359e-14, 49698418
ABRIK_adaptive, 32, 124, 0, 10, 2.53359e-14, 24632917
ABRIK_adaptive, 32, 124, 0, 10, 2.53359e-14, 24168792
ABRIK_adaptive, 32, 124, 0, 10, 2.53359e-14, 27774484
RSVD, 0, 0, 0, 10, 1.99795, 31968
RSVD, 0, 0, 0, 10, 1.99795, 84060
RSVD, 0, 0, 0, 10, 1.99795, 51695
RSVD, 0, 0, 0, 10, 1.99795, 48829
RSVD, 0, 0, 0, 10, 1.99795, 45256
RSVD, 0, 0, 1, 10, 0.939686, 31348
RSVD, 0, 0, 1, 10, 0.939686, 63439
RSVD, 0, 0, 1, 10, 0.939686, 92421
RSVD, 0, 0, 1, 10, 0.939686, 73046
RSVD, 0, 0, 1, 10, 0.939686, 75026
RSVD, 0, 0, 2, 10, 0.57687, 63849
RSVD, 0, 0, 2, 10, 0.57687, 52208
RSVD, 0, 0, 2, 10, 0.57687, 35132
RSVD, 0, 0, 2, 10, 0.57687, 79254
RSVD, 0, 0, 2, 10, 0.57687, 58432
RSVD, 0, 0, 4, 10, 0.318672, 47337
RSVD, 0, 0, 4, 10, 0.318672, 78903
RSVD, 0, 0, 4, 10, 0.318672, 58463
RSVD, 0, 0, 4, 10, 0.318672, 65032
RSVD, 0, 0, 4, 10, 0.318672, 56308
RSVD, 0, 0, 8, 10, 0.239597, 40482
RSVD, 0, 0, 8, 10, 0.239597, 109942
RSVD, 0, 0, 8, 10, 0.239597, 47322
RSVD, 0, 0, 8, 10, 0.239597, 54795
RSVD, 0, 0, 8, 10, 0.239597, 72116
RSVD, 0, 0, 16, 10, 0.10724, 81394
RSVD, 0, 0, 16, 10, 0.10724, 58904
RSVD, 0, 0, 16, 10, 0.10724, 58412
RSVD, 0, 0, 16, 10, 0.10724, 41784
RSVD, 0, 0, 16, 10, 0.10724, 82121
RSVD, 0, 0, 32, 10, 0.009693, 93273
RSVD, 0, 0, 32, 10, 0.009693, 211030
RSVD, 0, 0, 32, 10, 0.009693, 101053
RSVD, 0, 0, 32, 10, 0.009693, 49121
RSVD, 0, 0, 32, 10, 0.009693, 49125
RSVD, 0, 0, 64, 10, 0.000410001, 161294
RSVD, 0, 0, 64, 10, 0.000410001, 94815
RSVD, 0, 0, 64, 10, 0.000410001, 96997
RSVD, 0, 0, 64, 10, 0.000410001, 111379
RSVD, 0, 0, 64, 10, 0.000410001, 88673
SVDS, 0, 0, 0, 10, 9.36009e-15, 126483
SVDS, 0, 0, 0, 10, 9.36009e-15, 130577
SVDS, 0, 0, 0, 10, 9.36009e-15, 118370
SVDS, 0, 0, 0, 10, 9.36009e-15, 152995
SVDS, 0, 0, 0, 10, 9.36009e-15, 124703
