# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 5
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 16, 2, 0, 10, 2.45429, 198950
ABRIK, 16, 2, 0, 10, 2.45429, 144487
ABRIK, 16, 2, 0, 10, 2.45429, 215081
ABRIK, 16, 2, 0, 10, 2.45429, 189096
ABRIK, 16, 2, 0, 10, 2.45429, 163089
ABRIK, 16, 4, 0, 10, 0.716353, 321140
ABRIK, 16, 4, 0, 10, 0.716353, 343482
ABRIK, 16, 4, 0, 10, 0.716353, 310462
ABRIK, 16, 4, 0, 10, 0.716353, 351089
ABRIK, 16, 4, 0, 10, 0.716353, 364888
ABRIK, 16, 8, 0, 10, 0.175155, 684540
ABRIK, 16, 8, 0, 10, 0.175155, 615448
ABRIK, 16, 8, 0, 10, 0.175155, 574892
ABRIK, 16, 8, 0, 10, 0.175155, 574448
ABRIK, 16, 8, 0, 10, 0.175155, 510850
ABRIK, 16, 16, 0, 10, 0.006659, 1285903
ABRIK, 16, 16, 0, 10, 0.006659, 1122792
ABRIK, 16, 16, 0, 10, 0.006659, 1139440
ABRIK, 16, 16, 0, 10, 0.006659, 1208432
