# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 5
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 16, 2, 0, 10, 2.6216, 302288
ABRIK, 16, 2, 0, 10, 2.6216, 356610
ABRIK, 16, 2, 0, 10, 2.6216, 357983
ABRIK, 16, 2, 0, 10, 2.6216, 338393
ABRIK, 16, 2, 0, 10, 2.6216, 333336
ABRIK, 16, 4, 0, 10, 0.777863, 611981
ABRIK, 16, 4, 0, 10, 0.777863, 636556
ABRIK, 16, 4, 0, 10, 0.777863, 571397
ABRIK, 16, 4, 0, 10, 0.777863, 623883
ABRIK, 16, 4, 0, 10, 0.777863, 580344
ABRIK, 16, 8, 0, 10, 0.165517, 1301334
ABRIK, 16, 8, 0, 10, 0.165517, 1133179
ABRIK, 16, 8, 0, 10, 0.165517, 1183715
ABRIK, 16, 8, 0, 10, 0.165517, 980572
ABRIK, 16, 8, 0, 10, 0.165517, 1002060
ABRIK, 16, 16, 0, 10, 0.00801925, 2167790
ABRIK, 16, 16, 0, 10, 0.00801925, 2193647
ABRIK, 16, 16, 0, 10, 0.00801925, 1996323
ABRIK, 16, 16, 0, 10, 0.00801925, 1990610
ABRIK, 16, 16, 0, 10, 0.00801925, 1953231
ABRIK, 16, 32, 0, 10, 1.66276e-05, 4756595
ABRIK, 16, 32, 0, 10, 1.66276e-05, 4810592
ABRIK, 16, 32, 0, 10, 1.66276e-05, 4770219
ABRIK, 16, 32, 0, 10, 1.66276e-05, 4998416
ABRIK, 16, 32, 0, 10, 1.66276e-05, 4707032
ABRIK, 16, 64, 0, 10, 1.1057e-14, 11923050
ABRIK, 16, 64, 0, 10, 1.1057e-14, 11809927
ABRIK, 16, 64, 0, 10, 1.1057e-14, 12411343
ABRIK, 16, 64, 0, 10, 1.1057e-14, 11981934
ABRIK, 16, 64, 0, 10, 1.1057e-14, 11930059
ABRIK, 32, 2, 0, 10, 2.45736, 710667
ABRIK, 32, 2, 0, 10, 2.45736, 716447
ABRIK, 32, 2, 0, 10, 2.45736, 752513
ABRIK, 32, 2, 0, 10, 2.45736, 674308
ABRIK, 32, 2, 0, 10, 2.45736, 695033
ABRIK, 32, 4, 0, 10, 0.647902, 1209156
ABRIK, 32, 4, 0, 10, 0.647902, 1280232
ABRIK, 32, 4, 0, 10, 0.647902, 1300167
ABRIK, 32, 4, 0, 10, 0.647902, 1250636
ABRIK, 32, 4, 0, 10, 0.647902, 1339268
ABRIK, 32, 8, 0, 10, 0.0886032, 2566110
ABRIK, 32, 8, 0, 10, 0.0886032, 2473851
ABRIK, 32, 8, 0, 10, 0.0886032, 2314379
ABRIK, 32, 8, 0, 10, 0.0886032, 2415994
ABRIK, 32, 8, 0, 10, 0.0886032, 2262036
ABRIK, 32, 16, 0, 10, 0.000462048, 5150285
ABRIK, 32, 16, 0, 10, 0.000462048, 5248399
ABRIK, 32, 16, 0, 10, 0.000462048, 5078299
ABRIK, 32, 16, 0, 10, 0.000462048, 5109195
ABRIK, 32, 16, 0, 10, 0.000462048, 5065027
ABRIK, 32, 32, 0, 10, 2.38791e-11, 12576312
ABRIK, 32, 32, 0, 10, 2.38791e-11, 12995377
ABRIK, 32, 32, 0, 10, 2.38791e-11, 13101937
ABRIK, 32, 32, 0, 10, 2.38791e-11, 13133649
ABRIK, 32, 32, 0, 10, 2.38791e-11, 12490379
ABRIK, 32, 64, 0, 10, 1.15236e-14, 35560849
ABRIK, 32, 64, 0, 10, 1.15236e-14, 36168020
ABRIK, 32, 64, 0, 10, 1.15236e-14, 36129023
ABRIK, 32, 64, 0, 10, 1.15236e-14, 36304492
ABRIK, 32, 64, 0, 10, 1.15236e-14, 35649995
SVDS, 0, 0, 0, 10, 1.34063e-14, 6426471
SVDS, 0, 0, 0, 10, 1.34063e-14, 6305320
SVDS, 0, 0, 0, 10, 1.34063e-14, 6654269
SVDS, 0, 0, 0, 10, 1.34063e-14, 6226971
SVDS, 0, 0, 0, 10, 1.34063e-14, 6298516
