# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
4, 2, 10, 1.71452, 138927, 0.936024, 138114
4, 4, 10, 1.71041, 159113, 0.936024, 73355
4, 8, 10, 0.70549, 284041, 0.378155, 108243
4, 16, 10, 0.111422, 594319, 0.00477701, 339556
4, 32, 10, 0.00453762, 1148354, 0.016732, 650192
8, 2, 10, 2.42722, 131369, 0.936024, 92912
8, 4, 10, 1.38837, 259576, 0.378155, 115854
8, 8, 10, 0.389832, 505237, 0.00477701, 381134
8, 16, 10, 0.0212923, 960006, 0.016732, 665762
8, 32, 10, 0.00288281, 2158386, 0.000163021, 1435218
16, 2, 10, 2.6216, 283063, 0.378155, 177377
16, 4, 10, 0.777863, 554508, 0.00477701, 428718
16, 8, 10, 0.165517, 1164179, 0.016732, 564213
16, 16, 10, 0.00801925, 2164525, 0.000163021, 1508868
16, 32, 10, 1.66276e-05, 5125312, 1.39422e-05, 3302287
32, 2, 10, 2.45736, 670409, 0.00477701, 418119
32, 4, 10, 0.647902, 1299321, 0.016732, 628503
32, 8, 10, 0.0886032, 2413536, 0.000163021, 1783063
32, 16, 10, 0.000462048, 5598854, 1.39422e-05, 3244777
32, 32, 10, 2.38791e-11, 13248859, 8.20265e-11, 7403091
