# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat6.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 1.19534, 96300, 1.00197, 146947, 0.974177, 837691, 0, 0
4, 4, 10, 1.51883, 183241, 1.35409, 300331, 0.974177, 844451, 0, 0
4, 8, 10, 0.764453, 285736, 1.47819, 590679, 0.398681, 1272073, 0, 0
4, 16, 10, 0.245681, 601456, 1.45013, 1268862, 0.0789849, 2417130, 0, 0
4, 32, 10, 0.0152068, 1057337, 1.36579, 2151453, 0.00108429, 3842348, 0, 0
8, 2, 10, 1.69101, 97433, 1.3544, 161293, 0.974177, 793520, 0, 0
8, 4, 10, 1.24992, 190113, 1.47592, 314125, 0.398681, 1213732, 0, 0
8, 8, 10, 0.426183, 307104, 1.44481, 604055, 0.0789849, 2358472, 0, 0
8, 16, 10, 0.0817043, 522139, 1.3589, 1189662, 0.00108429, 3810218, 0, 0
8, 32, 10, 0.000197925, 909681, 1.22784, 2186415, 1.80837e-11, 8044324, 0, 0
16, 2, 10, 1.89387, 121651, 1.45471, 226625, 0.398681, 1215897, 0, 0
16, 4, 10, 0.923901, 212930, 1.42222, 416630, 0.0789849, 2352663, 0, 0
16, 8, 10, 0.219853, 345858, 1.34362, 687801, 0.00108429, 3874887, 0, 0
16, 16, 10, 0.0139836, 654494, 1.21696, 1339539, 1.80837e-11, 8081882, 0, 0
16, 32, 10, 1.6615e-06, 1328698, 1.05023, 2740088, 7.82256e-15, 15011422, 0, 0
32, 2, 10, 1.88355, 186899, 1.37574, 218647, 0.0789849, 2233966, 0, 0
32, 4, 10, 0.779291, 271404, 1.30114, 450270, 0.00108429, 3751484, 0, 0
32, 8, 10, 0.146123, 526522, 1.18891, 945006, 1.80837e-11, 7880300, 0, 0
32, 16, 10, 0.0017992, 1004375, 1.02933, 1803904, 7.82256e-15, 14536588, 0, 0
32, 32, 10, 1.07354e-08, 2012952, 0.829858, 3919668, 7.82256e-15, 14951181, 0, 0
