# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 0.852694, 163559, 0.505671, 151917, 0.672122, 826509, 0, 0
4, 4, 10, 0.987544, 184946, 0.33138, 279186, 0.672122, 832851, 0, 0
4, 8, 10, 0.156782, 268618, 0.299365, 541828, 0.023815, 1195072, 0, 0
4, 16, 10, 5.16564e-05, 524945, 0.0738091, 1156063, 2.72544e-10, 2279795, 0, 0
4, 32, 10, 2.47884e-14, 882927, 0.0220703, 2094858, 1.92089e-14, 3779251, 0, 0
4, 64, 10, 2.46358e-14, 1680502, 0.00660062, 4099819, 1.60005e-14, 5406992, 0, 0
8, 2, 10, 0.674552, 94549, 0.370394, 164800, 0.672122, 825671, 0, 0
8, 4, 10, 0.327692, 147220, 0.308582, 287436, 0.023815, 1174017, 0, 0
8, 8, 10, 0.00432767, 249070, 0.0735153, 558461, 2.72544e-10, 2299490, 0, 0
8, 16, 10, 8.11906e-10, 531072, 0.0244265, 1143386, 1.92089e-14, 3714664, 0, 0
8, 32, 10, 2.51829e-14, 933002, 0.00603891, 2199792, 1.60005e-14, 5221016, 0, 0
8, 64, 10, 2.51227e-14, 1808915, 0.00170495, 4810923, 1.60005e-14, 5505285, 0, 0
16, 2, 10, 0.450422, 118675, 0.205286, 183399, 0.023815, 1170456, 0, 0
16, 4, 10, 0.0351239, 199188, 0.0598332, 339707, 2.72544e-10, 2306248, 0, 0
16, 8, 10, 1.91871e-05, 333517, 0.0158263, 688489, 1.92089e-14, 3627063, 0, 0
16, 16, 10, 3.65664e-14, 652999, 0.00497592, 1393594, 1.60005e-14, 5365423, 0, 0
16, 32, 10, 2.55507e-14, 1250998, 0.00122959, 2752087, 1.60005e-14, 5361166, 0, 0
16, 64, 10, 2.57575e-14, 2564199, 0.000338097, 5681030, 1.60005e-14, 5442007, 0, 0
32, 2, 10, 0.181036, 155404, 0.0443348, 225413, 2.72544e-10, 2294983, 0, 0
32, 4, 10, 0.00315473, 280109, 0.012215, 445019, 1.92089e-14, 3802165, 0, 0
32, 8, 10, 8.93375e-08, 479856, 0.00374604, 962279, 1.60005e-14, 5478415, 0, 0
32, 16, 10, 2.53698e-14, 987952, 0.000838602, 1906051, 1.60005e-14, 5449058, 0, 0
32, 32, 10, 2.52324e-14, 1935439, 0.000228624, 3886645, 1.60005e-14, 5403423, 0, 0
32, 64, 10, 2.54071e-14, 4567528, 5.92944e-05, 8215188, 1.60005e-14, 5497020, 0, 0
64, 2, 10, 0.042595, 257353, 0.00494402, 379334, 1.92089e-14, 3689472, 0, 0
64, 4, 10, 0.000170902, 443547, 0.00133468, 754594, 1.60005e-14, 5353503, 0, 0
64, 8, 10, 2.80308e-10, 791556, 0.000359413, 1508542, 1.60005e-14, 5352463, 0, 0
64, 16, 10, 2.55754e-14, 1649522, 9.50746e-05, 3258733, 1.60005e-14, 5207189, 0, 0
64, 32, 10, 2.55499e-14, 3681577, 2.51271e-05, 6769378, 1.60005e-14, 5309104, 0, 0
64, 64, 10, 2.55591e-14, 9567351, 6.85159e-06, 16788843, 1.60005e-14, 5391663, 0, 0
128, 2, 10, 0.0121124, 461868, 0.000814845, 649057, 1.60005e-14, 5331616, 0, 0
128, 4, 10, 1.31594e-05, 797315, 0.00017888, 1345072, 1.60005e-14, 5447827, 0, 0
128, 8, 10, 1.42663e-12, 1555467, 4.68754e-05, 2868064, 1.60005e-14, 5405652, 0, 0
128, 16, 10, 2.58239e-14, 3416056, 1.26322e-05, 6055870, 1.60005e-14, 5475447, 0, 0
128, 32, 10, 2.58417e-14, 8871719, 3.31033e-06, 15539474, 1.60005e-14, 5377770, 0, 0
128, 64, 10, 2.57392e-14, 32729208, 9.27375e-07, 43555485, 1.60005e-14, 5468266, 0, 0
