# ABRIK Runtime Breakdown Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat6.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 548, 1201, 587, 134, 468, 67216, 47534, 6931, 1554, 15, 43, 23139, 101836
4, 4, 1315, 1206, 544, 703, 509, 114844, 95212, 10224, 4596, 6, 12, 14195, 148154
4, 8, 3098, 1252, 12616, 1673, 551, 211026, 232690, 8375, 27894, 10, 31, 14431, 280957
4, 16, 3758, 1905, 6986, 4502, 1093, 376613, 391248, 3451, 24316, 19, 311, 14354, 437308
4, 32, 5614, 3142, 13829, 10993, 2106, 750696, 821265, 11247, 69105, 40, 240, 14089, 881101
4, 64, 22150, 7812, 46066, 33156, 4614, 1509584, 1709672, 5464, 140052, 85, 943, 14883, 1784809
8, 2, 1607, 949, 1048, 212, 294, 70219, 50240, 5221, 2456, 2, 6, 14091, 96105
8, 4, 3260, 1145, 2075, 740, 694, 116309, 105282, 1996, 8317, 6, 13, 13746, 148301
8, 8, 3833, 1553, 6583, 2356, 885, 214319, 218771, 2748, 17762, 8, 31, 13860, 263938
8, 16, 8780, 3064, 14676, 5981, 1786, 406169, 431734, 13007, 27583, 32, 95, 16709, 497882
8, 32, 12932, 7686, 37870, 19054, 3440, 802175, 913977, 5033, 75424, 55, 403, 14763, 978835
8, 64, 13440, 28481, 80933, 76733, 7539, 1572571, 1871805, 7760, 156397, 94, 1796, 14566, 1960310
16, 2, 926, 1124, 2822, 415, 741, 91176, 68998, 4348, 3691, 3, 6, 13941, 119193
16, 4, 1317, 1889, 3395, 1354, 1062, 158027, 132149, 7928, 7483, 6, 18, 14883, 197362
16, 8, 5559, 2738, 12635, 3752, 1859, 277331, 284880, 7047, 20049, 10, 47, 14587, 345614
16, 16, 9012, 7805, 29774, 12917, 3518, 514889, 561887, 4706, 32814, 42, 222, 14435, 630134
16, 32, 12524, 26725, 50092, 49768, 7185, 1007878, 1147574, 5878, 61029, 48, 830, 14926, 1236883
16, 64, 59485, 87168, 87353, 203832, 15634, 1980700, 2414119, 1794, 150564, 111, 3826, 14256, 2604723
32, 2, 1947, 1425, 8799, 812, 2520, 117057, 88880, 3228, 1421, 4, 8, 14690, 151911
32, 4, 3937, 3299, 17174, 2657, 3768, 212330, 200244, 12663, 7750, 37, 26, 14648, 278289
32, 8, 14498, 8046, 31843, 10116, 6840, 387716, 408054, 6135, 17477, 32, 215, 14704, 497622
32, 16, 13818, 27536, 59676, 38530, 11968, 751210, 861997, 7368, 44512, 57, 388, 15014, 970077
32, 32, 66966, 110209, 116363, 155202, 22906, 1445732, 1782648, 5066, 81052, 138, 1909, 13808, 2019351
32, 64, 125491, 415092, 217954, 631378, 46727, 2907409, 3913992, 11273, 147574, 306, 10620, 14791, 4528615
64, 2, 2831, 2618, 20654, 2094, 6872, 205265, 174741, 3457, 14143, 18, 19, 15202, 273173
64, 4, 10315, 8587, 28211, 10090, 11869, 375776, 345295, 8691, 6204, 66, 72, 14810, 474691
64, 8, 20004, 29576, 48446, 35549, 19148, 644028, 688658, 4568, 12757, 88, 255, 15526, 829945
64, 16, 52706, 97275, 102507, 141543, 35709, 1199671, 1461955, 3791, 53439, 335, 1182, 14394, 1702552
64, 32, 131796, 385450, 196621, 516451, 67688, 2322385, 3144261, 3486, 106946, 571, 5926, 13913, 3751233
64, 64, 218672, 2059003, 383869, 2173613, 142587, 4544901, 7382658, 5522, 164995, 964, 39253, 14125, 9747504
128, 2, 11347, 12010, 25539, 10388, 20037, 376841, 302691, 6466, 2420, 24, 49, 23592, 488713
128, 4, 24550, 28881, 50519, 35374, 30476, 713731, 676981, 10794, 15394, 82, 193, 14545, 924539
128, 8, 33380, 102045, 83628, 154689, 75093, 1213431, 1401985, 14561, 34388, 208, 743, 16117, 1728283
128, 16, 124572, 421539, 159612, 548202, 108284, 2226106, 2973026, 4913, 54702, 342, 3665, 14451, 3666388
128, 32, 230487, 2258166, 332461, 2374462, 220647, 4773510, 7667932, 7048, 93186, 661, 26420, 14366, 10331414
128, 64, 468588, 14857851, 775041, 9488240, 557964, 9862703, 20962760, 9051, 254754, 2096, 176089, 14815, 36467192
