# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
4, 2, 10, 1.62073, 107045, 0.932317, 31568
4, 4, 10, 1.69114, 79633, 0.932317, 89070
4, 8, 10, 0.689971, 195956, 0.391702, 95649
4, 16, 10, 0.110163, 305331, 0.0036682, 200288
4, 32, 10, 0.00633439, 756093, 0.0208867, 276653
4, 64, 10, 0.000338394, 1485067, 9.7179e-05, 787246
4, 128, 10, 8.54223e-15, 4074586, 4.88093e-05, 1627992
8, 2, 10, 2.29134, 49553, 0.932317, 107157
8, 4, 10, 1.31915, 97423, 0.391702, 124720
8, 8, 10, 0.361439, 179821, 0.0036682, 196706
8, 16, 10, 0.0200853, 498626, 0.0208867, 387112
8, 32, 10, 0.00498245, 1057611, 9.7179e-05, 696330
8, 64, 10, 3.7247e-11, 2494408, 4.88093e-05, 1375707
8, 128, 10, 8.95447e-15, 7049481, 3.46934e-12, 2900859
16, 2, 10, 2.45429, 131821, 0.391702, 98713
16, 4, 10, 0.716353, 225463, 0.0036682, 204817
16, 8, 10, 0.175155, 419326, 0.0208867, 302651
16, 16, 10, 0.006659, 908948, 9.7179e-05, 948240
16, 32, 10, 1.28625e-05, 2275065, 4.88093e-05, 1770067
16, 64, 10, 9.07187e-15, 5898445, 3.46934e-12, 4294812
16, 128, 10, 1.09561e-14, 17210569, 1.10261e-14, 4051067
32, 2, 10, 2.27271, 312597, 0.0036682, 307445
32, 4, 10, 0.605815, 573900, 0.0208867, 377416
32, 8, 10, 0.0871718, 1211147, 9.7179e-05, 987487
32, 16, 10, 0.00033738, 2491998, 4.88093e-05, 1946609
32, 32, 10, 1.23062e-11, 5815312, 3.46934e-12, 3184181
32, 64, 10, 1.04212e-14, 15975949, 1.10261e-14, 4690045
32, 128, 10, 1.14762e-14, 51790692, 1.10261e-14, 4473319
