# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
4, 2, 10, 1.71452, 117286, 0.936024, 117799
4, 4, 10, 1.71041, 92414, 0.936024, 111212
4, 8, 10, 0.70549, 181106, 0.378155, 154034
4, 16, 10, 0.111422, 540924, 0.00477701, 356946
4, 32, 10, 0.00453762, 982986, 0.016732, 615406
4, 64, 10, 0.000563622, 2055990, 0.000163021, 1420521
4, 128, 10, 1.02028e-14, 6014488, 1.39422e-05, 3627365
8, 2, 10, 2.42722, 107090, 0.936024, 85937
8, 4, 10, 1.38837, 184255, 0.378155, 153985
8, 8, 10, 0.389832, 375662, 0.00477701, 375787
8, 16, 10, 0.0212923, 706964, 0.016732, 648536
8, 32, 10, 0.00288281, 1755388, 0.000163021, 1626836
8, 64, 10, 3.58426e-11, 4475526, 1.39422e-05, 3321202
8, 128, 10, 9.42694e-15, 12870949, 8.20265e-11, 7386223
16, 2, 10, 2.6216, 230680, 0.378155, 167190
16, 4, 10, 0.777863, 427343, 0.00477701, 442301
16, 8, 10, 0.165517, 854357, 0.016732, 738789
16, 16, 10, 0.00801925, 1716692, 0.000163021, 1738172
16, 32, 10, 1.66276e-05, 3997870, 1.39422e-05, 3379184
16, 64, 10, 1.1057e-14, 11069544, 8.20265e-11, 8129332
16, 128, 10, 1.10344e-14, 33415065, 1.96201e-14, 11489446
32, 2, 10, 2.45736, 706340, 0.00477701, 401168
32, 4, 10, 0.647902, 1249810, 0.016732, 782847
32, 8, 10, 0.0886032, 2642708, 0.000163021, 1772768
32, 16, 10, 0.000462048, 5798983, 1.39422e-05, 3867569
32, 32, 10, 2.38791e-11, 12141131, 8.20265e-11, 7132220
32, 64, 10, 1.15236e-14, 31710895, 1.96201e-14, 10612004
32, 128, 10, 1.26783e-14, 112454135, 1.96201e-14, 10597160
