# ABRIK Runtime Breakdown Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 2345, 673, 0, 5496, 85700, 13006, 79173, 17480, 0, 0, 88, 25875, 150663
4, 4, 3068, 858, 0, 8585, 88556, 23190, 103432, 5304, 0, 0, 13, 309, 129883
4, 8, 19783, 2060, 0, 30917, 223962, 71140, 290843, 13161, 0, 0, 42, 249, 361314
4, 16, 34162, 6512, 0, 67607, 379999, 126277, 558667, 7707, 0, 0, 95, 265, 622624
4, 32, 57436, 16513, 0, 168710, 713097, 234964, 1089319, 4893, 0, 0, 299, 363, 1196275
4, 64, 112651, 67235, 0, 521512, 1429024, 452789, 2385462, 6240, 0, 0, 1109, 417, 2590977
4, 128, 270724, 187100, 0, 1925646, 3134168, 920914, 5957670, 6388, 0, 0, 4278, 760, 6449978
8, 2, 7101, 1272, 0, 1714, 55648, 10879, 46193, 14746, 0, 0, 6, 435, 91801
8, 4, 22889, 2171, 0, 16927, 106774, 42313, 148301, 5472, 0, 0, 17, 245, 196808
8, 8, 28982, 5935, 0, 32561, 201033, 69826, 282965, 6629, 0, 0, 54, 252, 345272
8, 16, 35666, 16641, 0, 66686, 372344, 110115, 525774, 7125, 0, 0, 163, 290, 609030
8, 32, 102998, 64106, 0, 290268, 754960, 226630, 1245595, 8260, 0, 0, 561, 360, 1448143
8, 64, 274837, 195293, 0, 1058329, 1617408, 483296, 3126611, 8079, 0, 0, 2534, 725, 3640501
8, 128, 642087, 616651, 0, 4182065, 3420773, 1128227, 8720545, 12832, 0, 0, 11583, 927, 10015145
16, 2, 13468, 2362, 0, 4306, 51544, 18786, 50716, 10474, 0, 0, 9, 7691, 108640
16, 4, 32134, 6517, 0, 25439, 144042, 55752, 195836, 5948, 0, 0, 36, 278, 270146
16, 8, 38655, 17631, 0, 56304, 209682, 104918, 329247, 10441, 0, 0, 102, 251, 437984
16, 16, 105029, 46949, 0, 187937, 417736, 207806, 782810, 13554, 0, 0, 333, 278, 979622
16, 32, 194040, 188998, 0, 679240, 854030, 393264, 1902040, 7806, 0, 0, 2076, 483, 2319937
16, 64, 507683, 602959, 0, 2388513, 1687168, 769554, 4823193, 14270, 0, 0, 5068, 612, 5975827
16, 128, 1253718, 2234840, 0, 8943982, 3340354, 1606902, 13886881, 13742, 0, 0, 31016, 831, 17425385
32, 2, 22656, 7273, 0, 7859, 67671, 51387, 83905, 12484, 0, 0, 14, 7480, 176824
32, 4, 53036, 17816, 0, 29628, 97112, 85291, 175768, 11790, 0, 0, 43, 252, 294968
32, 8, 107225, 56809, 0, 115283, 193547, 175445, 445105, 16984, 0, 0, 142, 344, 665779
32, 16, 201875, 184566, 0, 417023, 385416, 326121, 1091794, 15436, 0, 0, 524, 425, 1531386
32, 32, 479987, 645769, 0, 1775308, 857404, 718959, 3316298, 21976, 0, 0, 3391, 590, 4503384
32, 64, 1315956, 2266465, 0, 6786877, 1807379, 1572673, 10125426, 23878, 0, 0, 17116, 4613, 13794957
32, 128, 2469579, 10427287, 0, 26250519, 3828770, 3550840, 33689575, 14299, 0, 0, 99605, 10430, 46651329
