# ABRIK Runtime Breakdown Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 12925, 1784, 0, 5120, 143911, 32219, 125182, 12482, 0, 0, 110, 16273, 224824
4, 4, 7721, 2354, 0, 14935, 179969, 33406, 185301, 11877, 0, 0, 30, 471, 250763
4, 8, 27718, 4090, 0, 33755, 370168, 81968, 435300, 15941, 0, 0, 62, 637, 534339
4, 16, 60912, 12119, 0, 75264, 624102, 156680, 820496, 12464, 0, 0, 125, 475, 942141
4, 32, 111491, 30185, 0, 260544, 1270371, 323433, 1815993, 13250, 0, 0, 385, 597, 2010256
4, 64, 254569, 150024, 0, 950672, 2449605, 630153, 3989236, 14020, 0, 0, 1284, 812, 4451139
4, 128, 679242, 344736, 0, 3576959, 5120883, 1429115, 10089638, 14389, 0, 0, 5616, 1031, 11171971
8, 2, 19634, 2567, 0, 6677, 152693, 59849, 142349, 23919, 0, 0, 9, 553, 265901
8, 4, 27103, 4853, 0, 22125, 229390, 78891, 265097, 19404, 0, 0, 26, 569, 382361
8, 8, 54630, 11018, 0, 55082, 376793, 144622, 514789, 19292, 0, 0, 56, 433, 661926
8, 16, 104764, 30738, 0, 172726, 741810, 302103, 1162014, 19851, 0, 0, 906, 565, 1373463
8, 32, 198799, 104729, 0, 531198, 1324937, 470411, 2272486, 20895, 0, 0, 598, 674, 2652241
8, 64, 542706, 315209, 0, 1920205, 2547292, 905328, 5332181, 19345, 0, 0, 2441, 949, 6253475
8, 128, 1249988, 1174976, 0, 7055534, 5071466, 1852683, 13945549, 18604, 0, 0, 11839, 1407, 16436497
16, 2, 23271, 4872, 0, 9315, 105546, 58555, 112849, 27367, 0, 0, 8, 614, 229548
16, 4, 52979, 11844, 0, 28544, 166379, 96602, 236075, 15089, 0, 0, 21, 1558, 373016
16, 8, 103922, 27078, 0, 98427, 312809, 187547, 545659, 11284, 0, 0, 78, 1883, 743028
16, 16, 205542, 99404, 0, 322174, 645983, 366528, 1276210, 16263, 0, 0, 309, 1899, 1658102
16, 32, 453542, 354517, 0, 1140249, 1224577, 677638, 2984150, 20716, 0, 0, 1317, 1906, 3874462
16, 64, 1270518, 1200410, 0, 4179459, 2519450, 1473722, 8114142, 35794, 0, 0, 6074, 2129, 10687556
16, 128, 2485611, 4501862, 0, 16443539, 5256756, 3449879, 25124067, 16735, 0, 0, 33682, 8573, 32196637
32, 2, 59749, 13004, 0, 16444, 110778, 96576, 145188, 24445, 0, 0, 11, 9323, 330330
32, 4, 104858, 36468, 0, 61642, 186795, 171829, 345715, 22607, 0, 0, 37, 645, 584881
32, 8, 213095, 102147, 0, 218096, 386839, 359864, 885778, 28453, 0, 0, 181, 709, 1309384
32, 16, 416523, 351067, 0, 821507, 766569, 686546, 2175740, 29259, 0, 0, 1723, 936, 3074130
32, 32, 1285165, 1278585, 0, 3442451, 1744978, 1552251, 6643775, 33071, 0, 0, 3422, 814, 9340737
32, 64, 2606957, 4577758, 0, 14105318, 3759588, 3887087, 21673365, 33243, 0, 0, 18956, 2429, 28991336
32, 128, 6106421, 24145898, 0, 52781577, 7216580, 7910634, 67942853, 29802, 0, 0, 113258, 1720, 98305890
