# ABRIK Per-Triplet Accuracy Analysis
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# b_sz: 4
# num_matmuls: 32
# Total matvecs: 128
# Singular triplets: 64
# ABRIK time (us): 1080295
# GESDD time (us): 168375424
# Residual metric: sqrt(||E_left||^2 + ||E_right||^2) where E_left = inv(s)*Av - u, E_right = v - A'u*inv(s)
# svec_diff metric: sqrt((sin^2(angle(u_g,u_a)) + sin^2(angle(v_g,v_a)))/2), sin via Householder QR
i, res_err_abrik, res_err_gesdd, sval_diff, svec_diff
1, 1.07522242333554e-14, 1.0412046560088e-14, 2.22044604925031e-16, 2.12578116371221e-14
2, 2.13738928652594e-14, 1.99199502657055e-14, 3.33066907387547e-16, 2.15155847115196e-14
3, 3.36130459870339e-15, 2.97856922791949e-15, 1.11022302462516e-16, 1.07067599029354e-15
4, 3.57988603072793e-15, 3.6749421421637e-15, 4.44089209850062e-16, 1.47062258091656e-15
5, 3.04422791928035e-15, 3.16603978593565e-15, 1.66533453693773e-16, 1.14635900643768e-15
6, 3.61522690905883e-15, 3.87755718261715e-15, 0, 2.49116496494715e-15
7, 3.23717791161041e-15, 3.7307825026629e-15, 0, 3.55314615445708e-15
8, 4.81362768371815e-15, 3.44981091764611e-15, 5.55111512312578e-17, 1.10556102846412e-14
9, 5.28026061170402e-15, 3.64861112328539e-15, 9.71445146547012e-17, 9.98687962758736e-15
10, 3.50055602346364e-15, 3.61365507623031e-15, 2.77555756156289e-17, 6.81371140082528e-15
11, 3.59544468588934e-15, 3.75774980136671e-15, 2.77555756156289e-17, 1.43396308648814e-14
12, 7.59053740010775e-15, 4.28771588457683e-15, 1.38777878078145e-17, 1.67670613045024e-14
13, 1.57833208261063e-13, 3.8678974382273e-15, 1.2490009027033e-16, 1.20799427606485e-13
14, 3.96594807397777e-12, 3.80775234067919e-15, 4.16333634234434e-17, 3.07235612030009e-12
15, 1.79805522516963e-11, 3.44192762213994e-15, 5.55111512312578e-17, 1.38981273159343e-11
16, 2.17247915478493e-11, 4.12304106720503e-15, 5.55111512312578e-17, 1.76617902807198e-11
17, 2.02929540877106e-10, 4.41147879733405e-15, 4.16333634234434e-17, 1.67764478433033e-10
18, 2.04460823389724e-09, 4.17192274239206e-15, 1.38777878078145e-17, 1.63919972101376e-09
19, 3.55043697707611e-09, 5.24548838281664e-15, 6.93889390390723e-18, 2.99591918362186e-09
20, 4.33917860147701e-09, 5.83166080806883e-15, 3.46944695195361e-17, 3.94060681941107e-09
21, 1.27731051590532e-07, 4.4857749011114e-15, 4.78783679369599e-16, 1.11548766468659e-07
22, 7.10509609194288e-07, 4.34894003874087e-15, 1.35100264309074e-14, 6.41788316207706e-07
23, 1.84709096863135e-06, 4.76679444917462e-15, 9.08578767777612e-14, 1.77477263141449e-06
24, 8.876669852471e-06, 4.60262778906039e-15, 2.02858563280728e-12, 8.64199945916312e-06
25, 1.31993659391675e-05, 3.57160701087539e-15, 4.21514212423091e-12, 1.24521097220458e-05
26, 0.000122493315946086, 3.87339383877342e-15, 3.57423167451909e-10, 0.000119776780027329
27, 0.000237960017288206, 3.35151197326094e-15, 1.32357731719157e-09, 0.000239592921598897
28, 0.00060768141833133, 3.60964084936328e-15, 8.51937176360451e-09, 0.000634211482327961
29, 0.000112607861733112, 4.07647689345779e-15, 2.79196617214428e-10, 0.000115611405715162
30, 0.0013562444300224, 3.9993020164763e-15, 4.6960332976409e-08, 0.00185522900678687
31, 0.00466609053297332, 4.91615165559287e-15, 5.56599414072711e-07, 0.00673777503663561
32, 0.00123747686976299, 4.93440536107837e-15, 3.91139414884778e-08, 0.00192559704448308
33, 0.00772092469563974, 3.55325555995808e-15, 1.75715690828651e-06, 0.0160489117819127
34, 0.0133468630171976, 6.14219360002256e-15, 5.90717122995673e-06, 0.035164905670612
35, 0.00704263614323238, 1.924474640022e-14, 1.46758227509772e-06, 0.0157729097903149
36, 0.00909786080686989, 4.71763867604192e-15, 3.94353340901765e-06, 0.0468633045056538
37, 0.0618136789094026, 3.95983973659591e-15, 0.000649327336280085, 0.879421604273173
