# ABRIK Speed Comparison Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 0.963094, 132226, 0.594348, 104317, 0.849954, 835129, 0, 0
4, 4, 10, 1.2641, 157742, 0.465614, 201513, 0.849954, 824334, 0, 0
4, 8, 10, 0.168909, 253480, 0.358277, 380177, 0.023928, 1144690, 0, 0
4, 16, 10, 5.19051e-05, 456988, 0.0894943, 786768, 2.72544e-10, 2368963, 0, 0
4, 32, 10, 1.48785e-13, 843269, 0.0265391, 1587763, 3.80004e-14, 3752026, 0, 0
4, 64, 10, 1.47664e-13, 1622251, 0.00766106, 3052842, 3.51155e-14, 5502201, 0, 0
8, 2, 10, 1.12699, 102670, 0.523704, 101532, 0.849954, 870135, 0, 0
8, 4, 10, 0.369109, 145009, 0.365406, 218241, 0.023928, 1228092, 0, 0
8, 8, 10, 0.00495897, 254087, 0.0900275, 401624, 2.72544e-10, 2352109, 0, 0
8, 16, 10, 8.40833e-10, 468917, 0.0278664, 795052, 3.80004e-14, 3836484, 0, 0
8, 32, 10, 1.49365e-13, 910840, 0.00693664, 1605426, 3.51155e-14, 5514228, 0, 0
8, 64, 10, 1.48745e-13, 1802557, 0.00198039, 3332216, 3.51155e-14, 5387758, 0, 0
16, 2, 10, 0.574705, 118482, 0.235709, 136738, 0.023928, 1157842, 0, 0
16, 4, 10, 0.0385067, 194765, 0.0710416, 250143, 2.72544e-10, 2322551, 0, 0
16, 8, 10, 1.9658e-05, 323643, 0.0182335, 529559, 3.80004e-14, 3704981, 0, 0
16, 16, 10, 1.5475e-13, 619806, 0.00567673, 1075588, 3.51155e-14, 5538118, 0, 0
16, 32, 10, 1.52132e-13, 1163479, 0.00138951, 2193525, 3.51155e-14, 5516118, 0, 0
16, 64, 10, 1.52489e-13, 2533825, 0.000384916, 4779014, 3.51155e-14, 5484169, 0, 0
32, 2, 10, 0.219649, 171659, 0.0503945, 184205, 2.72544e-10, 2322995, 0, 0
32, 4, 10, 0.00343428, 250705, 0.0135104, 377207, 3.80004e-14, 3662853, 0, 0
32, 8, 10, 9.24473e-08, 460721, 0.00404403, 719355, 3.51155e-14, 5402832, 0, 0
32, 16, 10, 1.51126e-13, 909199, 0.000920078, 1524316, 3.51155e-14, 5357056, 0, 0
32, 32, 10, 1.50534e-13, 1983258, 0.000251719, 3423569, 3.51155e-14, 5456171, 0, 0
32, 64, 10, 1.5126e-13, 4564979, 6.49953e-05, 7341100, 3.51155e-14, 5291710, 0, 0
64, 2, 10, 0.0541309, 267152, 0.00567032, 297548, 3.80004e-14, 3794497, 0, 0
64, 4, 10, 0.00018536, 443954, 0.00154581, 637007, 3.51155e-14, 5324611, 0, 0
64, 8, 10, 2.88608e-10, 837031, 0.000407384, 1326158, 3.51155e-14, 5400867, 0, 0
64, 16, 10, 1.50543e-13, 1660338, 0.000107452, 2710323, 3.51155e-14, 5384440, 0, 0
64, 32, 10, 1.50973e-13, 3675933, 2.86595e-05, 6178740, 3.51155e-14, 5477491, 0, 0
64, 64, 10, 1.51128e-13, 9695787, 7.78061e-06, 15828473, 3.51155e-14, 5411955, 0, 0
128, 2, 10, 0.0147973, 444346, 0.000901923, 543180, 3.51155e-14, 5447790, 0, 0
128, 4, 10, 1.40245e-05, 849194, 0.000205573, 1108258, 3.51155e-14, 5511118, 0, 0
128, 8, 10, 1.46588e-12, 1545020, 5.33896e-05, 2540490, 3.51155e-14, 5466344, 0, 0
128, 16, 10, 1.49358e-13, 3448128, 1.43041e-05, 5818339, 3.51155e-14, 5510758, 0, 0
128, 32, 10, 1.49863e-13, 9091096, 3.76363e-06, 16515337, 3.51155e-14, 5533787, 0, 0
128, 64, 10, 1.49672e-13, 32974255, 1.05536e-06, 49818600, 3.51155e-14, 5701380, 0, 0
