# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Format: dense
# Block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 609, 1139, 547, 209, 529, 73101, 54129, 3068, 3341, 17, 39, 20603, 103202
4, 4, 1599, 1202, 710, 612, 332, 117027, 104438, 6833, 10497, 5, 13, 15752, 154582
4, 8, 2900, 1185, 3842, 1444, 654, 200121, 197943, 2315, 14460, 8, 30, 15454, 242413
4, 16, 3340, 1674, 2569, 3786, 1162, 382509, 385509, 8106, 17261, 19, 82, 14426, 434934
4, 32, 3945, 2847, 10350, 9435, 2082, 703807, 753047, 3147, 48205, 42, 222, 14475, 798557
4, 64, 10400, 7570, 28485, 31452, 3832, 1418446, 1603616, 2472, 141822, 75, 867, 14468, 1659889
8, 2, 1324, 742, 1068, 249, 357, 72190, 53735, 4804, 5122, 2, 6, 14699, 100563
8, 4, 2871, 842, 4288, 799, 439, 119439, 109081, 13190, 8835, 5, 15, 15226, 165949
8, 8, 2951, 1403, 2579, 1990, 777, 210421, 204891, 13331, 16115, 8, 36, 14920, 264531
8, 16, 8332, 2827, 11228, 5632, 1760, 404041, 434253, 11620, 40693, 19, 110, 15094, 501356
8, 32, 14748, 7540, 34924, 18482, 3705, 780530, 869517, 8919, 56831, 54, 349, 15000, 941082
8, 64, 19790, 27539, 54844, 69541, 7205, 1534396, 1784018, 1810, 139138, 97, 1659, 15051, 1871070
16, 2, 1229, 888, 1974, 440, 640, 87740, 61150, 6127, 1429, 2, 7, 15490, 115966
16, 4, 1187, 1636, 3722, 1446, 1168, 162228, 143704, 3088, 9313, 6, 16, 14604, 198414
16, 8, 5658, 2908, 11361, 4421, 2056, 285587, 293617, 14450, 21679, 12, 55, 14659, 362846
16, 16, 10061, 7818, 23186, 14443, 4120, 537971, 583714, 10045, 44626, 25, 223, 15657, 668175
16, 32, 20249, 28094, 35786, 51421, 7599, 1054032, 1166324, 7042, 52832, 52, 854, 14533, 1272494
16, 64, 60075, 105433, 74769, 204685, 15550, 2042030, 2451018, 4096, 143255, 115, 3909, 14645, 2668562
32, 2, 1726, 1610, 8631, 619, 2217, 124185, 86476, 4266, 2559, 3, 8, 13846, 159670
32, 4, 4441, 3328, 16383, 3135, 3673, 212349, 194668, 6747, 5586, 31, 29, 14846, 270548
32, 8, 15044, 7973, 28566, 11271, 7356, 393183, 404189, 18955, 13371, 37, 109, 16864, 512729
32, 16, 13130, 27147, 66158, 39058, 13453, 759391, 865543, 3630, 32272, 49, 399, 14797, 969484
32, 32, 59153, 96187, 112214, 159460, 24809, 1455292, 1765071, 8456, 57126, 149, 1846, 15253, 1989945
32, 64, 113456, 408749, 237155, 620934, 48437, 2827904, 3842980, 13178, 139348, 443, 10862, 15324, 4435790
64, 2, 2648, 2532, 15459, 2457, 6398, 229758, 179725, 6858, 2315, 17, 17, 14104, 282563
64, 4, 10008, 8575, 26386, 9405, 10715, 348781, 322820, 3378, 6249, 35, 61, 14325, 437918
64, 8, 19021, 27045, 47972, 36845, 19614, 634812, 694233, 4516, 23019, 77, 239, 14375, 827535
64, 16, 38963, 95585, 91230, 139236, 38205, 1198285, 1417019, 8398, 31346, 213, 1258, 13953, 1656672
64, 32, 153668, 409184, 225360, 751070, 94141, 2728509, 3819875, 6199, 89801, 703, 7460, 15120, 4481215
64, 64, 248149, 2041638, 477725, 2716703, 195631, 5529245, 9060736, 13047, 188690, 1509, 43690, 15652, 11471679
128, 2, 13465, 11115, 32886, 11691, 32595, 461583, 365594, 9607, 3068, 17, 50, 16248, 592325
128, 4, 22788, 38038, 52610, 39010, 36798, 729402, 711293, 11758, 11831, 54, 229, 14564, 957082
128, 8, 34399, 104120, 97247, 170955, 68369, 1352699, 1547559, 11660, 17936, 145, 1162, 15367, 1874059
128, 16, 131087, 407474, 167206, 635787, 122278, 2394974, 3211836, 6160, 33269, 238, 4341, 14183, 3916997
128, 32, 230010, 2009189, 338010, 2402132, 225164, 4616399, 7537669, 7326, 100784, 762, 22554, 14560, 9966890
128, 64, 465023, 13737858, 665639, 8762471, 465100, 9136443, 19220219, 6196, 181919, 1856, 156992, 14834, 33594331
