# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 10074, 1702, 0, 3566, 70383, 15510, 60343, 16142, 0, 0, 83, 19042, 136502
4, 4, 8201, 2197, 0, 8542, 112434, 27547, 112779, 19685, 0, 0, 16, 509, 179131
4, 8, 17499, 3873, 0, 21851, 212597, 53093, 254735, 12029, 0, 0, 39, 442, 321423
4, 16, 52633, 10633, 0, 73681, 421842, 100494, 559811, 14278, 0, 0, 113, 449, 674123
4, 32, 105259, 31638, 0, 206587, 760141, 186975, 1121789, 19073, 0, 0, 318, 553, 1310544
4, 64, 199633, 100411, 0, 819035, 1610956, 403474, 2805314, 10866, 0, 0, 1307, 1006, 3146688
4, 128, 519435, 342854, 0, 3191029, 3323048, 781825, 7257403, 17752, 0, 0, 4669, 1241, 8181853
8, 2, 12729, 2134, 0, 3999, 67847, 33182, 66575, 22403, 0, 0, 8, 616, 142918
8, 4, 32178, 4332, 0, 15362, 125972, 61405, 158203, 17557, 0, 0, 23, 434, 257263
8, 8, 52414, 11335, 0, 38663, 213209, 91478, 297184, 14958, 0, 0, 49, 427, 422533
8, 16, 100874, 36038, 0, 129230, 404473, 183811, 672966, 15340, 0, 0, 161, 543, 870470
8, 32, 202204, 99011, 0, 468664, 813846, 344748, 1589777, 19895, 0, 0, 605, 677, 1949650
8, 64, 460423, 336528, 0, 1926003, 1657327, 758914, 4310079, 20552, 0, 0, 2551, 927, 5163225
8, 128, 1222568, 1174348, 0, 7210774, 3365645, 1454679, 12009509, 15707, 0, 0, 11178, 1051, 14455950
16, 2, 27438, 4365, 0, 11189, 84642, 58326, 95140, 20005, 0, 0, 14, 8318, 214297
16, 4, 53287, 11296, 0, 27207, 117181, 87657, 187055, 11960, 0, 0, 25, 786, 309399
16, 8, 104088, 40764, 0, 91509, 215918, 171393, 431468, 19016, 0, 0, 91, 902, 643681
16, 16, 197493, 109299, 0, 298442, 411554, 320598, 973433, 18351, 0, 0, 299, 1148, 1357184
16, 32, 419942, 337386, 0, 1139447, 808268, 650093, 2552501, 18940, 0, 0, 1348, 1085, 3376509
16, 64, 1147629, 1181449, 0, 4415259, 1674692, 1337364, 7384759, 22843, 0, 0, 5941, 1092, 9786269
16, 128, 2450915, 4307016, 0, 16299040, 3473134, 3058254, 22817175, 16384, 0, 0, 33354, 2866, 29640963
32, 2, 60474, 12071, 0, 16137, 100071, 94163, 133630, 24570, 0, 0, 11, 7522, 315019
32, 4, 103233, 35599, 0, 61666, 185541, 171928, 343324, 23219, 0, 0, 39, 800, 582025
32, 8, 206589, 107048, 0, 210850, 315085, 316428, 768523, 27462, 0, 0, 156, 981, 1184599
32, 16, 414060, 337792, 0, 822792, 613225, 621358, 1983029, 33097, 0, 0, 674, 899, 2843897
32, 32, 1080669, 1202807, 0, 3214847, 1240388, 1317000, 5694856, 28051, 0, 0, 3127, 934, 8087823
32, 64, 2683683, 4365424, 0, 12659950, 2614421, 3033281, 18238145, 24929, 0, 0, 17101, 6331, 25405120
32, 128, 5884502, 21177526, 0, 49097878, 5175033, 6575732, 60878276, 26217, 0, 0, 104038, 8201, 88049127
