# ABRIK Speed Comparison Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225
# Format: sparse
# Target rank: 10
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 1.74061, 80956, 1.02433, 43219, 1.42859, 37159, 0, 0
4, 4, 10, 2.00049, 65211, 1.48576, 58938, 1.42859, 31104, 0, 0
4, 8, 10, 0.878328, 82136, 1.58303, 126656, 0.4765, 45171, 0, 0
4, 16, 10, 0.112283, 370098, 1.44251, 305419, 0.00405987, 135782, 0, 0
4, 32, 10, 0.00638001, 572782, 1.27662, 744911, 0.0230708, 240782, 0, 0
4, 64, 10, 0.000338409, 1505654, 1.09807, 1556235, 9.71863e-05, 626759, 0, 0
4, 128, 10, 9.52523e-15, 3510226, 0.90848, 4326307, 4.88093e-05, 1348955, 0, 0
8, 2, 10, 2.52974, 55097, 1.49446, 29459, 1.42859, 27855, 0, 0
8, 4, 10, 1.87037, 56031, 1.56405, 84366, 0.4765, 44503, 0, 0
8, 8, 10, 0.386192, 121414, 1.42249, 231130, 0.00405987, 185070, 0, 0
8, 16, 10, 0.0202514, 323552, 1.26516, 557141, 0.0230708, 384221, 0, 0
8, 32, 10, 0.00498273, 906594, 1.09145, 1097627, 9.71863e-05, 573492, 0, 0
8, 64, 10, 3.72491e-11, 2377856, 0.901896, 3041088, 4.88093e-05, 1403003, 0, 0
8, 128, 10, 8.9055e-15, 7683094, 0.708659, 10370268, 3.46934e-12, 2774579, 0, 0
16, 2, 10, 2.65638, 91142, 1.52673, 79240, 0.4765, 83941, 0, 0
16, 4, 10, 0.745199, 171958, 1.40471, 243143, 0.00405987, 157932, 0, 0
16, 8, 10, 0.175924, 363546, 1.24097, 440255, 0.0230708, 280216, 0, 0
16, 16, 10, 0.00665951, 816502, 1.07493, 867827, 9.71863e-05, 600552, 0, 0
16, 32, 10, 1.28634e-05, 2139101, 0.891747, 2225040, 4.88093e-05, 1379307, 0, 0
16, 64, 10, 9.29755e-15, 5312706, 0.701907, 7680688, 3.46934e-12, 2985037, 0, 0
16, 128, 10, 1.12367e-14, 16495340, 0.530583, 23868093, 1.10841e-14, 4170040, 0, 0
32, 2, 10, 2.45886, 283371, 1.32778, 215284, 0.00405987, 191447, 0, 0
32, 4, 10, 0.617645, 560081, 1.17687, 402094, 0.0230708, 385418, 0, 0
32, 8, 10, 0.087205, 1049270, 1.0245, 782979, 9.71863e-05, 675474, 0, 0
32, 16, 10, 0.000337401, 2253772, 0.863108, 1800072, 4.88093e-05, 1584217, 0, 0
32, 32, 10, 1.23068e-11, 5829386, 0.684037, 6444230, 3.46934e-12, 2756734, 0, 0
32, 64, 10, 1.10659e-14, 15251918, 0.518267, 19935856, 1.10841e-14, 3477629, 0, 0
32, 128, 10, 1.19708e-14, 50463100, 0.372833, 68474440, 1.10841e-14, 4074219, 0, 0
