# ABRIK Per-Triplet Accuracy Analysis
# Precision: double
# Input matrix: input_matrices/10000x10000_rank_10000/ABRIK_test_mat6.txt
# Input size: 10000 x 10000
# b_sz: 16
# num_matmuls: 64
# Total matvecs: 1024
# Singular triplets: 512
# ABRIK time (us): 2699522
# GESDD time (us): 155494792
# Residual metric: sqrt(||E_left||^2 + ||E_right||^2) where E_left = inv(s)*Av - u, E_right = v - A'u*inv(s)
# svec_diff metric: sqrt((sin^2(angle(u_g,u_a)) + sin^2(angle(v_g,v_a)))/2), sin via Householder QR
i, res_err_abrik, res_err_gesdd, sval_diff, svec_diff
1, 3.31439431899585e-15, 3.99349147429337e-15, 1.48745258377498e-15, 1.56834386095262e-15
2, 3.41778177865424e-15, 4.24403205778758e-15, 1.38642808727663e-15, 1.24038768810934e-14
3, 3.65742862610066e-15, 3.93595881726848e-15, 7.72707557009472e-16, 4.61735579202479e-14
4, 3.98437807934746e-15, 5.80558431993383e-15, 2.60993543052742e-15, 4.75063912509709e-14
5, 3.83564263037674e-15, 3.9613339329441e-15, 5.2508878504127e-16, 2.75460037521117e-14
6, 3.56782288749938e-15, 4.0958474052937e-15, 5.38681242319766e-16, 1.73288229832642e-13
7, 4.13975950213974e-15, 4.08359573547767e-15, 2.02767567841477e-15, 1.71267660851944e-13
8, 3.72176800277347e-15, 4.20471721202436e-15, 1.35887396008377e-16, 6.36146149294447e-14
9, 4.19558021441828e-15, 4.44939535242445e-15, 2.60093168214789e-15, 5.15422912463185e-14
10, 3.64182235156815e-15, 3.63068564135571e-15, 1.3806582627449e-16, 6.84865273183617e-14
11, 3.86255031568637e-15, 3.96018937241652e-15, 4.16832762638616e-16, 7.26008789854487e-14
12, 3.76964882236312e-15, 4.09994539765315e-15, 2.81098322205469e-16, 4.04089892841785e-14
13, 3.62052184592166e-15, 4.02796370500384e-15, 1.411428594405e-16, 6.32191100312453e-14
14, 5.08527848842847e-15, 4.07572321886054e-15, 1.41742647933231e-16, 5.73543217638493e-14
15, 8.84181004720155e-15, 4.11755236876497e-15, 7.18228682855188e-16, 6.28244510034397e-14
16, 1.5192056654422e-14, 4.2332194552037e-15, 2.88181751458226e-16, 1.1752525221784e-13
17, 2.3812548544004e-14, 4.29029250451898e-15, 1.44781328013041e-16, 1.18672496621133e-13
18, 4.02190556547664e-14, 3.99027468126387e-15, 5.8135759253749e-16, 1.18385602145022e-13
19, 8.72684352362103e-14, 3.78515304476302e-15, 2.92016266229887e-16, 1.74373595298594e-13
20, 8.04977717887835e-14, 3.84523920337645e-15, 0, 1.66868744422442e-13
21, 1.89520245215811e-13, 3.72057848512366e-15, 1.46752988287918e-16, 2.81724219288585e-13
22, 1.96815648172316e-13, 4.07166433421369e-15, 4.41534405724443e-16, 3.08398156810081e-13
23, 6.26192247945098e-13, 4.17068088669178e-15, 4.45175471975565e-16, 9.39473612119672e-13
24, 7.29576575915997e-13, 4.1088184915267e-15, 5.94576936963557e-16, 1.1247653391018e-12
25, 1.432186187461e-12, 4.00222137553697e-15, 2.9886151457463e-16, 2.22489201202125e-12
26, 1.93197722979375e-12, 4.040235962733e-15, 6.00498047009188e-16, 3.10228420432299e-12
27, 2.22807815430976e-12, 3.58296839296733e-15, 7.52039157066848e-16, 3.31906859866996e-12
28, 3.38508610443654e-12, 3.80986027923134e-15, 0, 5.4030358075066e-12
29, 1.38410622947062e-11, 3.98340729864206e-15, 3.04194010459053e-16, 2.21147409577889e-11
30, 6.97082553526827e-12, 3.91320554038937e-15, 9.19273991625204e-16, 1.12110675874761e-11
31, 8.45202337459427e-11, 4.15224495342349e-15, 1.54288713334186e-16, 1.43249103931926e-10
32, 7.024967202403e-11, 4.11503035216168e-15, 1.54968641641713e-16, 1.13085425824056e-10
33, 1.99951919793418e-10, 3.57229441884895e-15, 0, 3.40159658159391e-10
34, 4.39124864354714e-10, 3.95127505435406e-15, 1.56161024365066e-16, 7.75301177737316e-10
35, 1.31357913400741e-09, 4.03239575351754e-15, 4.74029714771321e-16, 2.32527761172197e-09
36, 1.37162188413932e-09, 4.09761937410241e-15, 3.16364776949588e-16, 2.44466508842568e-09
37, 3.12851029116656e-09, 3.91333130204301e-15, 1.58783587044126e-16, 6.05064225888169e-09
38, 2.59376605627882e-09, 4.11488812395554e-15, 3.17934326820697e-16, 4.84934384556386e-09
39, 5.72464263030811e-09, 3.94043565543417e-15, 0, 1.0846873855528e-08
40, 6.20252290410297e-09, 4.05659694752943e-15, 1.60007787158322e-16, 1.18248069464454e-08
41, 1.07353833265046e-08, 4.01666039770519e-15, 9.60466722203901e-16, 2.19366968715244e-08
42, 5.47888324865056e-09, 4.07797357973755e-15, 0, 1.04081078500379e-08
43, 3.54929499344214e-08, 4.08399366248207e-15, 6.4517891531446e-16, 7.3614473056778e-08
44, 3.03971264569276e-08, 3.87822869597019e-15, 4.84901976286203e-16, 5.99353470219033e-08
45, 2.65189597859091e-08, 4.20292604598063e-15, 4.85034757106305e-16, 5.10059159445017e-08
46, 5.3818199591491e-08, 4.10851423245073e-15, 2.91128730935781e-15, 1.12700618374778e-07
47, 5.22404304934168e-08, 4.04052697437384e-15, 2.4359541757641e-15, 1.06681236229084e-07
48, 4.06575228350287e-08, 3.94928105972848e-15, 1.78683123911878e-15, 8.24824537585442e-08
49, 5.35218457292401e-08, 4.21142127901566e-15, 2.11374953020587e-15, 1.12443366060532e-07
50, 4.83384405317959e-08, 3.972848717347e-15, 1.95552618610697e-15, 1.01078355445513e-07
51, 1.2506432904812e-07, 4.14253148568425e-15, 1.632049045993e-14, 2.74895273461164e-07
52, 1.84016674233106e-07, 4.11340639577282e-15, 3.56891254669756e-14, 4.13274412266355e-07
53, 5.39363513850796e-08, 3.93913498664088e-15, 2.94800265340224e-15, 1.14562360913248e-07
54, 1.30705951293924e-07, 3.8946347572238e-15, 1.81895181363395e-14, 2.85897794688547e-07
55, 3.129256072965e-07, 4.70634963740616e-15, 1.08945346653474e-13, 7.35708425144725e-07
56, 3.2460125377067e-07, 4.16156333602849e-15, 1.10161685763282e-13, 6.93635918964356e-07
57, 6.30525968647807e-07, 3.95813187570246e-15, 4.47237006873052e-13, 1.51125232382671e-06
58, 1.09710731498762e-06, 4.05799742336041e-15, 1.30258575852346e-12, 2.49008102919109e-06
59, 9.11718995384943e-07, 4.39046228751273e-15, 9.13731680139944e-13, 2.11564429940524e-06
60, 5.08287026103035e-07, 4.36923806810518e-15, 2.79409545993234e-13, 1.1498608829351e-06
61, 8.56126187222782e-07, 4.15384349257375e-15, 8.10063478451408e-13, 2.0067084399324e-06
62, 1.41580430841159e-06, 4.46901287467406e-15, 2.32181977429194e-12, 3.56768366356133e-06
63, 1.47560201155149e-06, 4.62584701459885e-15, 2.67930995173788e-12, 4.01088193763782e-06
64, 1.82297543532551e-06, 5.23501744706472e-15, 3.70787929995976e-12, 4.35391420304782e-06
65, 2.30583413846852e-06, 4.35408838794694e-15, 6.41160471088911e-12, 6.20730321169106e-06
66, 2.84639685845295e-06, 4.2887381021158e-15, 9.66698972168883e-12, 7.48518573237765e-06
67, 6.75724399351715e-06, 4.63491823930321e-15, 5.62185587054976e-11, 1.87184109502877e-05
68, 3.56091039230324e-06, 4.52449846319498e-15, 1.47345179693255e-11, 8.96892884973426e-06
69, 1.01906039802318e-05, 4.88105266220442e-15, 1.36445834319548e-10, 3.10690182758172e-05
70, 4.73725359202398e-06, 5.07803762216835e-15, 2.80034565715575e-11, 1.33230589975711e-05
71, 1.70901954916192e-05, 4.393690300444e-15, 3.71316008786718e-10, 5.06023915715873e-05
72, 2.61606052700287e-05, 4.88004354107457e-15, 9.09626880526204e-10, 8.26949130365264e-05
73, 3.40454317933045e-05, 4.89473334521213e-15, 1.63456884365565e-09, 0.000116360744149192
74, 4.22487947606856e-05, 4.46164149932342e-15, 2.38923205621885e-09, 0.000136419894395061
75, 0.00011248494783101, 4.15317356474975e-15, 1.84012532694474e-08, 0.000404046142512455
76, 0.000167056508102415, 4.43732533663351e-15, 4.14105730252841e-08, 0.000647632833084308
77, 7.90503604056016e-05, 4.5508539094904e-15, 8.59660171197688e-09, 0.000314883481816739
78, 5.07421000892129e-05, 4.09606677935072e-15, 3.67037522516036e-09, 0.000180650544839877
79, 0.000333886107276024, 4.29651444195688e-15, 1.70635695485406e-07, 0.00136713360967392
80, 0.000174888278392672, 4.35213085906949e-15, 4.51176539953873e-08, 0.000742726615939096
81, 0.000576217256589825, 4.08512157972574e-15, 5.1815989955237e-07, 0.00246506560005716
82, 5.46648459189928e-05, 4.1089163460848e-15, 3.9608867226013e-09, 0.000195511956813042
83, 0.000487764047277436, 4.39957123048855e-15, 3.75246847853928e-07, 0.00217984673373706
84, 0.000513400629213478, 4.3387844999572e-15, 4.26493234944198e-07, 0.0040373851508479
85, 0.000754436835308779, 4.04773119110255e-15, 9.15159627223576e-07, 0.00469986363088981
86, 0.000637621396728564, 4.25366500586577e-15, 6.62339445464682e-07, 0.00288942108062103
87, 0.000449047112178874, 4.79926472842137e-15, 3.34878768705578e-07, 0.00203206137759705
