# ABRIK Speed Comparison Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_2.mtx
# Input size: 806529 x 806529
# Format: sparse
# Target rank: 10
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 1.72597, 362642, 1.23645, 180630, 1.75454, 324749, 0, 0
4, 4, 10, 2.0725, 308380, 1.77495, 353379, 1.75454, 308039, 0, 0
4, 8, 10, 1.2235, 466105, 1.95422, 701322, 0.493919, 519891, 0, 0
4, 16, 10, 0.280461, 877418, 1.94023, 1763546, 0.137444, 1387329, 0, 0
4, 32, 10, 0.101184, 1729118, 1.87147, 3038203, 0.0417084, 2656888, 0, 0
4, 64, 10, 0.00541602, 3583812, 1.8283, 5690580, 0.000222589, 6091158, 0, 0
4, 128, 10, 3.47149e-11, 7753805, 1.72087, 11514734, 3.7095e-13, 13035456, 0, 0
8, 2, 10, 2.48785, 349737, 1.77834, 267734, 1.75454, 301838, 0, 0
8, 4, 10, 2.20847, 409779, 1.95634, 515426, 0.493919, 459650, 0, 0
8, 8, 10, 0.518179, 741260, 1.93266, 1276638, 0.137444, 1363528, 0, 0
8, 16, 10, 0.161276, 1347612, 1.86893, 2354054, 0.0417084, 2483117, 0, 0
8, 32, 10, 0.0314827, 2477773, 1.82327, 4182920, 0.000222589, 6157132, 0, 0
8, 64, 10, 1.2334e-05, 5551981, 1.7169, 8358291, 3.7095e-13, 13194752, 0, 0
8, 128, 10, 7.94174e-15, 13001708, 1.56849, 25804589, 1.47904e-14, 19223538, 0, 0
16, 2, 10, 2.79015, 503399, 1.95945, 448914, 0.493919, 492280, 0, 0
16, 4, 10, 1.00438, 865053, 1.91455, 1171922, 0.137444, 1375006, 0, 0
16, 8, 10, 0.322358, 1607272, 1.85793, 2085142, 0.0417084, 2615219, 0, 0
16, 16, 10, 0.0975591, 3020454, 1.81474, 3479774, 0.000222589, 6175484, 0, 0
16, 32, 10, 0.00265697, 6028311, 1.70786, 6939091, 3.7095e-13, 13080044, 0, 0
16, 64, 10, 2.16583e-09, 14009290, 1.56268, 22579889, 1.47904e-14, 19107740, 0, 0
16, 128, 10, 9.09306e-15, 30679750, 1.37574, 42468822, 1.47904e-14, 19176752, 0, 0
32, 2, 10, 2.78772, 1580433, 1.88849, 857668, 0.137444, 1374340, 0, 0
32, 4, 10, 0.958877, 2698939, 1.83247, 1442566, 0.0417084, 2590249, 0, 0
32, 8, 10, 0.278692, 5018669, 1.79168, 2294595, 0.000222589, 6086627, 0, 0
32, 16, 10, 0.0445851, 9677133, 1.69596, 4570844, 3.7095e-13, 13216966, 0, 0
32, 32, 10, 5.1734e-05, 20113337, 1.55309, 17505653, 1.47904e-14, 19099438, 0, 0
32, 64, 10, 1.84382e-14, 42528848, 1.36957, 31700294, 1.47904e-14, 19153636, 0, 0
32, 128, 10, 9.22056e-15, 94516300, 1.15417, 69350993, 1.47904e-14, 18989875, 0, 0
