# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 11579, 1268, 42831, 18686, 12436, 71657, 100769, 32967, 6803, 26, 48, 45079, 243380
4, 4, 24819, 1724, 74019, 45945, 9700, 111930, 207837, 25434, 14632, 5, 12, 638, 308858
4, 8, 43718, 5269, 151261, 78450, 7971, 207623, 417997, 29160, 38898, 10, 27, 734, 563121
4, 16, 86056, 10680, 252298, 198941, 31018, 378581, 894231, 29387, 79579, 22, 81, 577, 1067220
4, 32, 171845, 54185, 452031, 407060, 48345, 686756, 1663051, 33180, 134878, 42, 223, 785, 1989330
4, 64, 340661, 32152, 937321, 1065440, 105445, 1368449, 3666010, 27327, 261454, 89, 831, 832, 4140001
4, 128, 720219, 307246, 1806236, 3318034, 60231, 2720642, 8359645, 33170, 509448, 170, 3154, 1180, 9479730
8, 2, 23437, 2147, 112162, 14494, 17966, 87295, 154739, 30273, 8409, 3, 9, 1480, 297675
8, 4, 44303, 6166, 175142, 47831, 19551, 137791, 322938, 33230, 17035, 5, 20, 1366, 482440
8, 8, 85836, 11322, 346000, 65672, 32916, 239093, 622566, 32948, 33408, 12, 52, 603, 847862
8, 16, 174957, 49236, 681152, 185628, 12690, 464175, 1330702, 32740, 69488, 21, 136, 735, 1670958
8, 32, 343957, 31584, 1240977, 508337, 54945, 887094, 2744028, 33181, 143307, 46, 446, 715, 3244589
8, 64, 695898, 239432, 2483105, 1532553, 54439, 1745686, 6024593, 33395, 291768, 90, 1725, 882, 7078973
8, 128, 1409748, 591837, 4909193, 6145102, 93082, 3464864, 15136287, 31434, 592053, 193, 8078, 4739, 17250323
16, 2, 49589, 7512, 443047, 45788, 17141, 122505, 429542, 36265, 10611, 3, 12, 1360, 733833
16, 4, 86439, 11063, 725199, 52525, 38298, 201474, 819055, 34080, 20384, 6, 30, 750, 1170248
16, 8, 171945, 50959, 1297415, 142773, 45529, 356760, 1664621, 32997, 40353, 12, 72, 731, 2139546
16, 16, 529916, 47220, 2636449, 412738, 44353, 731156, 3723388, 35881, 102489, 25, 253, 674, 4541154
16, 32, 1160008, 287436, 5172036, 1317009, 104134, 1448162, 8014585, 36400, 201758, 60, 1011, 883, 9728897
16, 64, 2255408, 650409, 10039334, 4840991, 176942, 2779785, 17966717, 36960, 347631, 118, 4558, 2054, 21134190
16, 128, 4626610, 1857587, 20639857, 15482583, 424223, 5712787, 42766793, 36421, 701834, 231, 26020, 2104, 49510257
32, 2, 102594, 13474, 1941410, 40304, 79749, 196565, 1513272, 36494, 15167, 5, 18, 1812, 2427592
32, 4, 195827, 63654, 3222356, 88126, 136455, 354248, 3063471, 34576, 29782, 8, 44, 779, 4125855
32, 8, 500526, 46090, 5897178, 280333, 229628, 636392, 6329312, 44615, 60594, 17, 125, 10270, 7705768
32, 16, 1132428, 288529, 11131733, 777427, 418106, 1195108, 12840985, 35709, 123243, 35, 480, 995, 15103793
32, 32, 2239338, 824649, 21664802, 3031526, 883944, 2303146, 27360416, 36655, 232412, 71, 2327, 2266, 31221136
32, 64, 4717882, 1620114, 42535835, 9889961, 1532055, 4608047, 58303561, 36862, 462693, 138, 12769, 2101, 65418457
32, 128, 7126936, 6260852, 85042901, 33222996, 3391876, 9080409, 130989182, 34860, 920775, 284, 84556, 9565, 145176010
