# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 8530, 5037, 41942, 15833, 40687, 55466, 90036, 26043, 6471, 27, 47, 32530, 232613
4, 4, 21627, 1563, 69527, 45511, 41093, 89353, 204227, 25838, 13586, 4, 12, 4418, 312532
4, 8, 39248, 4932, 120299, 52519, 8362, 163036, 344384, 25485, 35521, 8, 31, 628, 450069
4, 16, 74781, 10525, 209356, 130693, 7774, 310374, 689445, 25812, 64092, 20, 77, 570, 834074
4, 32, 145842, 28551, 482783, 417078, 59257, 647753, 1693893, 26811, 155835, 41, 256, 795, 1965002
4, 64, 291754, 29897, 922890, 1006884, 38367, 1255769, 3482586, 26605, 293106, 80, 768, 859, 3866979
4, 128, 579616, 323932, 1788710, 3068303, 79296, 2560270, 8100418, 32211, 645485, 167, 3126, 1095, 9082211
4, 256, 1148096, 630067, 3346908, 11076920, 119725, 4780496, 20304106, 26949, 1025537, 333, 14994, 1634, 22171659
4, 512, 2342792, 1618812, 6809507, 44434261, 424264, 9393047, 63026280, 26464, 1916906, 684, 85835, 2517, 67055089
4, 1024, 4727590, 6132959, 13540096, 176426266, 849406, 18581145, 213585163, 25971, 3637188, 18337, 573351, 4515, 224516824
8, 2, 20371, 1909, 114499, 33187, 68075, 74991, 213106, 27783, 8397, 3, 10, 679, 349904
8, 4, 39038, 65021, 169574, 40032, 10990, 113834, 284782, 26299, 15863, 4, 25, 620, 481300
8, 8, 72629, 10105, 329951, 61562, 12421, 202855, 575649, 26517, 32021, 9, 50, 589, 748709
8, 16, 145335, 31546, 617700, 174170, 19247, 391841, 1202103, 26147, 63117, 24, 136, 687, 1469950
8, 32, 290904, 28890, 1154648, 499451, 51478, 747490, 2493564, 26275, 128122, 46, 446, 745, 2928495
8, 64, 578902, 225231, 2326575, 1496085, 60655, 1478690, 5540264, 39598, 255858, 96, 1695, 942, 6464327
8, 128, 1175273, 545263, 4660696, 5745379, 256405, 3096758, 14378048, 33748, 675648, 185, 7678, 1175, 16198208
8, 256, 2311591, 1654599, 9147772, 23355466, 374773, 6119485, 40315606, 40668, 1350932, 372, 43046, 1649, 44400353
8, 512, 4685571, 5942352, 18104005, 91370673, 584945, 12259217, 125223384, 29287, 2689580, 745, 287697, 2685, 135956757
8, 1024, 9162106, 22703187, 36089085, 373202296, 1334779, 24352624, 442208334, 29286, 5297688, 1459, 2020765, 4552, 474197827
16, 2, 37933, 6343, 367286, 34515, 22465, 101046, 356191, 26972, 9234, 3, 13, 749, 606559
16, 4, 74277, 10017, 649210, 71684, 30114, 170273, 751108, 26230, 18338, 7, 29, 708, 1050887
16, 8, 145286, 32015, 1117844, 145096, 22141, 304513, 1459393, 26333, 37571, 12, 71, 765, 1831647
16, 16, 294351, 30554, 2122190, 410025, 43066, 581087, 3048226, 26650, 74392, 24, 233, 780, 3583352
16, 32, 582697, 233652, 4259054, 1400004, 72912, 1147094, 6856585, 26402, 150826, 48, 834, 852, 7874375
16, 64, 1160810, 522767, 8291103, 4637697, 162428, 2233138, 15436017, 26552, 300506, 99, 3980, 1114, 17340194
16, 128, 2324649, 1604653, 16524179, 14767248, 291352, 4406976, 36431928, 26892, 593228, 214, 22397, 1249, 40563037
16, 256, 4740174, 6037888, 32735854, 52702604, 612183, 8834032, 96064170, 27095, 1209850, 399, 143332, 1777, 107045188
16, 512, 9358261, 22121576, 65859675, 189999023, 1341694, 17507793, 277979910, 26848, 2437866, 1017, 1028397, 2778, 309684928
16, 1024, 18164979, 91673544, 132484740, 749551423, 3569783, 35040340, 932683253, 27033, 4830539, 1658, 7374209, 4908, 1042723156
32, 2, 73479, 11439, 1458608, 35199, 146590, 162767, 1154342, 26634, 10542, 4, 17, 851, 1926130
32, 4, 148617, 29035, 2397493, 82535, 103232, 284602, 2325548, 26134, 20972, 8, 40, 745, 3093413
32, 8, 296888, 32214, 4346592, 230273, 194016, 510769, 4733203, 26573, 42862, 18, 123, 793, 5681121
32, 16, 582655, 264098, 8169493, 759450, 360225, 961304, 9749463, 25953, 83324, 34, 443, 891, 11207870
32, 32, 1147679, 532072, 15921551, 2947492, 807395, 1868992, 21152029, 26503, 168036, 66, 2022, 913, 23422721
32, 64, 2389125, 1566950, 30909689, 9240938, 1285196, 3669436, 44889252, 26915, 335404, 129, 11083, 1124, 49435989
32, 128, 4713085, 6188119, 62246240, 31342398, 2620504, 7316756, 103687271, 43537, 671188, 263, 71708, 1340, 115215138
32, 256, 9311784, 22382324, 123785282, 117840336, 5225080, 14531023, 262686543, 26527, 1347951, 542, 513579, 1955, 294966383
32, 512, 18665365, 91063456, 247133800, 415073465, 10922807, 28975829, 707973459, 40850, 2726279, 1366, 3717161, 3017, 818323395
32, 1024, 69507204, 636354014, 495740851, 1618542195, 22964369, 57951053, 2227982135, 28429, 5470413, 2506, 27859560, 5001, 2934425595
