# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_1.mtx
# Input size: 226451 x 226451
# Format: sparse
# Target rank: 10
# Budget (total matvecs): 4096
# Block sizes: 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
method, b_sz, total_matvecs, err, elapsed_us
ABRIK, 4, 4, 2.25432, 243314
ABRIK, 4, 8, 1.88193, 298651
ABRIK, 4, 16, 2.05381, 412601
ABRIK, 4, 32, 0.917971, 607707
ABRIK, 4, 64, 0.114303, 843284
ABRIK, 4, 128, 0.00461746, 1364481
ABRIK, 4, 256, 0.000563676, 2304628
ABRIK, 4, 512, 7.68961e-15, 4480978
ABRIK, 4, 1024, 7.56245e-15, 9611821
ABRIK, 4, 2048, 9.15311e-15, 22214463
ABRIK, 4, 4096, 7.99947e-15, 58457271
ABRIK, 8, 8, 3.24471, 57946
ABRIK, 8, 16, 2.6854, 98678
ABRIK, 8, 32, 2.02876, 175248
ABRIK, 8, 64, 0.413453, 306577
ABRIK, 8, 128, 0.0214673, 712838
ABRIK, 8, 256, 0.00288299, 1328690
ABRIK, 8, 512, 3.58452e-11, 2690941
ABRIK, 8, 1024, 8.30124e-15, 5690443
ABRIK, 8, 2048, 8.75383e-15, 12999248
ABRIK, 8, 4096, 8.41194e-15, 34036467
ABRIK, 16, 16, 4.51235, 105711
ABRIK, 16, 32, 2.90991, 190319
ABRIK, 16, 64, 0.802831, 307229
ABRIK, 16, 128, 0.166093, 583001
ABRIK, 16, 256, 0.00801982, 1072154
ABRIK, 16, 512, 1.66285e-05, 2124036
ABRIK, 16, 1024, 9.41579e-15, 4529265
ABRIK, 16, 2048, 8.86879e-15, 10095335
ABRIK, 16, 4096, 9.76268e-15, 25136756
ABRIK, 32, 32, 5.12291, 219276
ABRIK, 32, 64, 2.623, 395949
ABRIK, 32, 128, 0.662582, 666324
ABRIK, 32, 256, 0.0886589, 1207481
ABRIK, 32, 512, 0.000462077, 2379529
ABRIK, 32, 1024, 2.38806e-11, 4878269
ABRIK, 32, 2048, 9.84348e-15, 10437248
ABRIK, 32, 4096, 1.05043e-14, 24173012
Spectra, 0, 4, 1.49291, 52300
Spectra, 0, 8, 1.49291, 55265
Spectra, 0, 16, 1.49291, 54112
Spectra, 0, 32, 0.465014, 80022
Spectra, 0, 64, 0.00529075, 234867
Spectra, 0, 128, 0.0184041, 374173
Spectra, 0, 256, 0.000163042, 912840
Spectra, 0, 512, 1.39422e-05, 1990673
Spectra, 0, 1024, 8.20267e-11, 4063183
Spectra, 0, 2048, 1.1683e-14, 6083304
Spectra, 0, 4096, 1.1683e-14, 6140026
RSVD, 32, 4, 0.729151, 75548
RSVD, 32, 8, 1.1156, 92735
RSVD, 32, 16, 1.63984, 122736
RSVD, 32, 32, 1.67601, 115025
RSVD, 32, 64, 1.4375, 205185
RSVD, 32, 128, 1.29786, 407267
RSVD, 32, 256, 1.16109, 757802
RSVD, 32, 512, 0.980828, 1375734
RSVD, 32, 1024, 0.792827, 4614158
RSVD, 32, 2048, 0.608906, 8608571
RSVD, 32, 4096, 0.449651, 19576292
