# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat6.bin
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Budget (total matvecs): 4096
# Block sizes: 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
method, b_sz, total_matvecs, err, elapsed_us
ABRIK, 4, 4, 1.19467, 66929
ABRIK, 4, 8, 1.29346, 114324
ABRIK, 4, 16, 1.8739, 258912
ABRIK, 4, 32, 0.981188, 444026
ABRIK, 4, 64, 0.265287, 731568
ABRIK, 4, 128, 0.00739697, 1169530
ABRIK, 4, 256, 3.95594e-08, 2211817
ABRIK, 4, 512, 7.8231e-15, 4084909
ABRIK, 4, 1024, 9.10037e-15, 7984772
ABRIK, 4, 2048, 7.8653e-15, 15862361
ABRIK, 4, 4096, 9.25452e-15, 32699146
ABRIK, 8, 8, 1.67918, 64923
ABRIK, 8, 16, 1.80906, 95340
ABRIK, 8, 32, 1.76579, 180660
ABRIK, 8, 64, 0.522763, 278393
ABRIK, 8, 128, 0.0448436, 470252
ABRIK, 8, 256, 0.000216156, 894723
ABRIK, 8, 512, 6.48459e-12, 1915939
ABRIK, 8, 1024, 8.21274e-15, 4035582
ABRIK, 8, 2048, 8.11942e-15, 8069200
ABRIK, 8, 4096, 9.15827e-15, 16368582
ABRIK, 16, 16, 2.38832, 65214
ABRIK, 16, 32, 1.99386, 103591
ABRIK, 16, 64, 1.0545, 174664
ABRIK, 16, 128, 0.268473, 268189
ABRIK, 16, 256, 0.0088336, 555455
ABRIK, 16, 512, 2.87129e-06, 1082061
ABRIK, 16, 1024, 8.15084e-15, 2086786
ABRIK, 16, 2048, 8.84335e-15, 4291985
ABRIK, 16, 4096, 8.7187e-15, 9131703
ABRIK, 32, 32, 2.68631, 78405
ABRIK, 32, 64, 2.04202, 99939
ABRIK, 32, 128, 0.905572, 166449
ABRIK, 32, 256, 0.140773, 281328
ABRIK, 32, 512, 0.00254407, 580398
ABRIK, 32, 1024, 3.01452e-08, 1235237
ABRIK, 32, 2048, 8.70214e-15, 2503233
ABRIK, 32, 4096, 8.63612e-15, 6094902
Spectra, 0, 4, 1.43453, 996721
Spectra, 0, 8, 1.43453, 987097
Spectra, 0, 16, 1.43453, 1025610
Spectra, 0, 32, 0.502406, 1409868
Spectra, 0, 64, 0.0538932, 2737955
Spectra, 0, 128, 0.00152536, 4519910
Spectra, 0, 256, 5.00114e-05, 10120161
Spectra, 0, 512, 8.13231e-15, 16831593
Spectra, 0, 1024, 8.08054e-15, 24030299
Spectra, 0, 2048, 8.08054e-15, 24020046
Spectra, 0, 4096, 8.08054e-15, 24004879
RSVD, 32, 4, 0.745706, 58294
RSVD, 32, 8, 1.04717, 66702
RSVD, 32, 16, 1.43679, 69975
RSVD, 32, 32, 1.57234, 77514
RSVD, 32, 64, 1.53845, 65915
RSVD, 32, 128, 1.45307, 170464
RSVD, 32, 256, 1.31895, 295764
RSVD, 32, 512, 1.10899, 606952
RSVD, 32, 1024, 0.861838, 1238589
RSVD, 32, 2048, 0.612617, 2775622
RSVD, 32, 4096, 0.366084, 5675527
GESDD, 0, 0, 8.78312e-15, 72869229
