# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat1.bin
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
0, ABRIK, 1, 0, 1, 205384
0, ABRIK, 4, 4, 1.21559, 485838
0, ABRIK, 4, 8, 0.777446, 708735
0, ABRIK, 4, 16, 1.53385, 1386326
0, ABRIK, 4, 32, 0.187535, 2623839
0, ABRIK, 4, 64, 7.25432e-05, 5257164
0, ABRIK, 4, 128, 1.15543e-13, 10367483
0, ABRIK, 4, 256, 1.15546e-13, 20436696
0, ABRIK, 4, 512, 1.15223e-13, 38604478
0, ABRIK, 4, 1024, 1.15191e-13, 77636895
0, ABRIK, 4, 2048, 1.15066e-13, 151213961
0, ABRIK, 4, 4096, 1.15572e-13, 298557258
0, ABRIK, 8, 8, 3.28229, 166034
0, ABRIK, 8, 16, 1.6675, 603634
0, ABRIK, 8, 32, 0.533627, 1358707
0, ABRIK, 8, 64, 0.00808675, 2908518
0, ABRIK, 8, 128, 2.36144e-09, 6597288
0, ABRIK, 8, 256, 1.15626e-13, 13241373
0, ABRIK, 8, 512, 1.15914e-13, 25819705
0, ABRIK, 8, 1024, 1.16132e-13, 52193694
0, ABRIK, 8, 2048, 1.16215e-13, 99570074
0, ABRIK, 8, 4096, 1.16091e-13, 197729075
0, ABRIK, 16, 16, 6.94003, 249293
0, ABRIK, 16, 32, 0.724028, 587672
0, ABRIK, 16, 64, 0.0328767, 1267631
0, ABRIK, 16, 128, 1.71246e-05, 2674546
0, ABRIK, 16, 256, 1.32234e-13, 4652674
0, ABRIK, 16, 512, 1.26836e-13, 11020449
0, ABRIK, 16, 1024, 1.27398e-13, 19352594
0, ABRIK, 16, 2048, 1.27382e-13, 34541834
0, ABRIK, 16, 4096, 1.27195e-13, 62720823
0, ABRIK, 32, 32, 3.49959, 378055
0, ABRIK, 32, 64, 0.273992, 1013958
0, ABRIK, 32, 128, 0.00545636, 2647954
0, ABRIK, 32, 256, 2.47748e-07, 4979375
0, ABRIK, 32, 512, 1.15831e-13, 8477555
0, ABRIK, 32, 1024, 1.15803e-13, 15441892
0, ABRIK, 32, 2048, 1.15915e-13, 28592322
0, ABRIK, 32, 4096, 1.1643e-13, 54998833
0, Spectra, 0, 1, 1.07751, 608462
0, Spectra, 0, 2, 1.07751, 608212
0, Spectra, 0, 4, 1.07751, 602018
0, Spectra, 0, 8, 1.07751, 603532
0, Spectra, 0, 16, 1.07751, 603355
0, Spectra, 0, 32, 0.0639794, 855348
0, Spectra, 0, 64, 2.28951e-10, 1658049
0, Spectra, 0, 128, 5.7612e-14, 2663784
0, Spectra, 0, 256, 5.68262e-14, 4324192
0, Spectra, 0, 512, 5.68262e-14, 4326878
0, Spectra, 0, 1024, 5.68262e-14, 4324551
0, Spectra, 0, 2048, 5.68262e-14, 4360906
0, Spectra, 0, 4096, 5.68262e-14, 4359733
0, RSVD, 32, 1, 0.0229545, 181276
0, RSVD, 32, 2, 0.0229545, 145308
0, RSVD, 32, 4, 0.259389, 152524
0, RSVD, 32, 8, 0.354259, 420832
0, RSVD, 32, 16, 0.81421, 565820
0, RSVD, 32, 32, 0.255266, 397955
0, RSVD, 32, 64, 0.0731041, 414625
0, RSVD, 32, 128, 0.0202152, 1744285
0, RSVD, 32, 256, 0.00444128, 2968672
0, RSVD, 32, 512, 0.00103694, 5134676
0, RSVD, 32, 1024, 0.000280286, 11210316
0, RSVD, 32, 2048, 7.56812e-05, 18695400
0, RSVD, 32, 4096, 2.45061e-05, 36773088
0, GESDD, 0, 0, 1.32786e-13, 176480400
1, ABRIK, 1, 0, 1, 89763
1, ABRIK, 4, 4, 1.49942, 291501
1, ABRIK, 4, 8, 0.59223, 677465
1, ABRIK, 4, 16, 1.49878, 1307473
1, ABRIK, 4, 32, 0.189834, 2555915
1, ABRIK, 4, 64, 9.90269e-05, 4993287
1, ABRIK, 4, 128, 1.38155e-13, 10162905
1, ABRIK, 4, 256, 1.37135e-13, 20414707
