# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat6.bin
# Input size: 10000 x 10000
# Format: dense
# Block sizes: 1, 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
1, 2, 208, 217, 7799, 22, 551, 94977, 81776, 759, 16811, 47, 152, 49751, 171294
1, 2, 408, 44, 642, 19, 477, 82113, 66594, 12564, 15382, 3, 5, 25412, 137069
1, 2, 396, 38, 6792, 19, 537, 83160, 74796, 391, 17248, 1, 5, 18477, 127064
1, 2, 45, 35, 6837, 18, 478, 81061, 74437, 18771, 16916, 2, 4, 25882, 150049
1, 2, 39, 35, 6780, 18, 502, 83908, 74388, 377, 17056, 1, 5, 18304, 127025
1, 2, 55, 35, 6786, 17, 502, 83865, 74668, 392, 17192, 1, 4, 18424, 127273
1, 2, 54, 35, 5769, 18, 543, 82001, 73736, 7009, 17318, 1, 4, 26153, 138905
1, 2, 41, 37, 7549, 18, 509, 81282, 75705, 13950, 17917, 1, 5, 26179, 147488
1, 2, 49, 36, 6952, 18, 541, 82788, 74259, 386, 16996, 2, 3, 16108, 123879
1, 2, 49, 37, 6006, 20, 491, 82270, 73699, 380, 17191, 2, 4, 25204, 131654
1, 4, 195, 37556, 14115, 59, 564, 131660, 148616, 379, 34592, 3, 10, 22028, 241161
1, 4, 298, 49689, 13050, 63, 547, 134154, 147942, 371, 34544, 3, 16, 2311, 235046
1, 4, 311, 30581, 12535, 60, 571, 134787, 148935, 379, 35521, 4, 10, 2342, 217101
1, 4, 346, 37843, 13415, 61, 563, 134285, 150804, 373, 36572, 3, 13, 2287, 225761
1, 4, 345, 38952, 13259, 59, 571, 134496, 149541, 372, 35614, 4, 18, 2350, 226040
1, 4, 352, 37117, 13546, 69, 579, 134545, 150515, 360, 36104, 3, 18, 2363, 225056
1, 4, 341, 24048, 13709, 62, 602, 134408, 150943, 361, 36374, 3, 7, 2230, 212145
1, 4, 360, 37569, 13200, 60, 564, 134118, 151209, 386, 37241, 4, 17, 2579, 226098
1, 4, 338, 56392, 6054, 59, 616, 134764, 141091, 370, 34045, 3, 7, 2303, 234951
1, 4, 293, 43455, 12001, 64, 590, 134825, 149162, 368, 36183, 3, 9, 2236, 230027
1, 8, 1130, 49581, 27303, 214, 783, 228687, 293164, 371, 69764, 5, 27, 2188, 380053
1, 8, 575, 30375, 20092, 209, 719, 229765, 287642, 367, 70846, 5, 15, 2280, 355248
1, 8, 612, 22579, 12073, 206, 705, 229809, 275631, 370, 66911, 5, 13, 2290, 335573
1, 8, 628, 44101, 27005, 204, 670, 229540, 292123, 382, 68609, 6, 17, 2505, 373667
1, 8, 560, 25382, 26680, 201, 700, 229131, 291703, 372, 68754, 5, 16, 2335, 354136
1, 8, 604, 30168, 26195, 206, 680, 229415, 291893, 369, 69156, 4, 12, 2333, 359142
1, 8, 581, 37054, 28022, 214, 670, 228894, 294624, 378, 70460, 5, 25, 2574, 368877
1, 8, 587, 30294, 13750, 206, 731, 229476, 278634, 363, 68206, 5, 14, 2522, 346154
1, 8, 586, 41273, 20523, 222, 686, 229510, 287423, 374, 70168, 4, 17, 2628, 365991
1, 8, 571, 24104, 26782, 209, 711, 229298, 291377, 369, 68135, 4, 32, 2397, 352612
1, 16, 1649, 35955, 44617, 766, 1025, 423773, 569491, 375, 133521, 9, 29, 2597, 644316
1, 16, 1697, 57344, 40182, 751, 1016, 427102, 580013, 369, 145314, 8, 52, 2381, 676216
1, 16, 1648, 57502, 54895, 740, 1037, 424593, 589692, 20216, 139870, 9, 42, 18285, 718837
1, 16, 1677, 44129, 57049, 763, 1047, 427330, 596780, 20003, 143220, 9, 35, 18417, 713679
1, 16, 1733, 30223, 20367, 742, 1036, 428907, 555110, 370, 138965, 10, 27, 2408, 624788
