# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
0, ABRIK, 1, 0, 1, 134370
0, ABRIK, 4, 4, 1.39644, 98497
0, ABRIK, 4, 8, 1.07022, 184071
0, ABRIK, 4, 16, 1.67994, 341226
0, ABRIK, 4, 32, 0.976964, 671937
0, ABRIK, 4, 64, 0.270991, 1348634
0, ABRIK, 4, 128, 0.0925977, 2833368
0, ABRIK, 4, 256, 0.0375253, 6597404
0, ABRIK, 4, 512, 0.0101212, 16384974
0, ABRIK, 4, 1024, 0.000199626, 42082892
0, ABRIK, 4, 2048, 5.58182e-14, 102349555
0, ABRIK, 4, 4096, 5.80938e-14, 304389176
0, ABRIK, 8, 8, 1.98002, 159812
0, ABRIK, 8, 16, 1.51159, 315424
0, ABRIK, 8, 32, 1.54439, 603933
0, ABRIK, 8, 64, 0.458559, 1250923
0, ABRIK, 8, 128, 0.152595, 2796109
0, ABRIK, 8, 256, 0.057304, 6711136
0, ABRIK, 8, 512, 0.0207185, 16770389
0, ABRIK, 8, 1024, 0.00286299, 40992920
0, ABRIK, 8, 2048, 3.3878e-09, 102982446
0, ABRIK, 8, 4096, 6.50375e-14, 267092698
0, ABRIK, 16, 16, 2.80697, 401483
0, ABRIK, 16, 32, 1.67363, 722051
0, ABRIK, 16, 64, 0.722203, 1363368
0, ABRIK, 16, 128, 0.289302, 2941695
0, ABRIK, 16, 256, 0.109664, 5993702
0, ABRIK, 16, 512, 0.0445065, 12541351
0, ABRIK, 16, 1024, 0.0103297, 25502852
0, ABRIK, 16, 2048, 4.03756e-05, 55322817
0, ABRIK, 16, 4096, 1.40409e-13, 128120637
0, ABRIK, 32, 32, 3.12195, 1342250
0, ABRIK, 32, 64, 1.66347, 2180375
0, ABRIK, 32, 128, 0.711041, 4051732
0, ABRIK, 32, 256, 0.279248, 7782403
0, ABRIK, 32, 512, 0.106754, 15254842
0, ABRIK, 32, 1024, 0.0389792, 30934822
0, ABRIK, 32, 2048, 0.00259693, 63342506
0, ABRIK, 32, 4096, 1.63986e-07, 136264968
0, Spectra, 0, 1, 1.6738, 363837
0, Spectra, 0, 2, 1.6738, 352362
0, Spectra, 0, 4, 1.6738, 354094
0, Spectra, 0, 8, 1.6738, 353120
0, Spectra, 0, 16, 1.6738, 353084
0, Spectra, 0, 32, 0.468584, 566005
0, Spectra, 0, 64, 0.126526, 1364896
0, Spectra, 0, 128, 0.0554115, 2672044
0, Spectra, 0, 256, 0.0276864, 6170387
0, Spectra, 0, 512, 0.00640218, 13001812
0, Spectra, 0, 1024, 0.00125094, 26538219
0, Spectra, 0, 2048, 1.41446e-11, 55724107
0, Spectra, 0, 4096, 2.44454e-14, 69561725
0, RSVD, 32, 1, 0.359287, 249990
0, RSVD, 32, 2, 0.359287, 102839
0, RSVD, 32, 4, 0.506091, 125519
0, RSVD, 32, 8, 0.7151, 201824
0, RSVD, 32, 16, 1.00763, 323393
0, RSVD, 32, 32, 1.11695, 621183
0, RSVD, 32, 64, 1.10755, 1181050
0, RSVD, 32, 128, 1.09794, 2546717
0, RSVD, 32, 256, 1.08804, 5106508
0, RSVD, 32, 512, 1.0736, 11118695
0, RSVD, 32, 1024, 1.05199, 30628200
0, RSVD, 32, 2048, 1.01957, 65672198
0, RSVD, 32, 4096, 0.968903, 136829890
1, ABRIK, 1, 0, 1, 66668
1, ABRIK, 4, 4, 1.39607, 94928
1, ABRIK, 4, 8, 1.06582, 175015
1, ABRIK, 4, 16, 1.68214, 327316
1, ABRIK, 4, 32, 0.976783, 647860
1, ABRIK, 4, 64, 0.272297, 1302308
1, ABRIK, 4, 128, 0.0944149, 2828094
1, ABRIK, 4, 256, 0.0370362, 6379389
1, ABRIK, 4, 512, 0.0101099, 17483238
1, ABRIK, 4, 1024, 0.000272671, 43228167
1, ABRIK, 4, 2048, 5.84081e-14, 103688906
1, ABRIK, 4, 4096, 6.02627e-14, 318226082
1, ABRIK, 8, 8, 1.97587, 160815
1, ABRIK, 8, 16, 1.5137, 314567
1, ABRIK, 8, 32, 1.55025, 600456
1, ABRIK, 8, 64, 0.45978, 1245016
1, ABRIK, 8, 128, 0.155175, 2687729
1, ABRIK, 8, 256, 0.0572419, 7154678
1, ABRIK, 8, 512, 0.0206062, 16747205
1, ABRIK, 8, 1024, 0.00358168, 35353159
1, ABRIK, 8, 2048, 3.25637e-09, 92902090
1, ABRIK, 8, 4096, 6.41278e-14, 271159340
1, ABRIK, 16, 16, 2.80605, 856973
1, ABRIK, 16, 32, 1.67824, 1175659
1, ABRIK, 16, 64, 0.724867, 1799705
1, ABRIK, 16, 128, 0.290549, 3236743
1, ABRIK, 16, 256, 0.10943, 6709424
1, ABRIK, 16, 512, 0.0432509, 12967159
1, ABRIK, 16, 1024, 0.00969473, 26868840
1, ABRIK, 16, 2048, 3.4129e-05, 57211586
1, ABRIK, 16, 4096, 1.16011e-13, 132344758
1, ABRIK, 32, 32, 3.12554, 1189032
1, ABRIK, 32, 64, 1.66702, 2028609
1, ABRIK, 32, 128, 0.710818, 3752987
1, ABRIK, 32, 256, 0.282429, 7522039
1, ABRIK, 32, 512, 0.108876, 14946139
1, ABRIK, 32, 1024, 0.036419, 30049604
1, ABRIK, 32, 2048, 0.00255965, 62409829
1, ABRIK, 32, 4096, 1.94675e-07, 134586787
1, Spectra, 0, 1, 1.6738, 360682
1, Spectra, 0, 2, 1.6738, 357535
1, Spectra, 0, 4, 1.6738, 356787
1, Spectra, 0, 8, 1.6738, 356337
1, Spectra, 0, 16, 1.6738, 358738
1, Spectra, 0, 32, 0.468584, 575703
1, Spectra, 0, 64, 0.126526, 1375653
1, Spectra, 0, 128, 0.0554115, 2575842
1, Spectra, 0, 256, 0.0276864, 6106070
1, Spectra, 0, 512, 0.00640218, 13212883
1, Spectra, 0, 1024, 0.00125094, 26605401
1, Spectra, 0, 2048, 1.41446e-11, 54277533
1, Spectra, 0, 4096, 2.44454e-14, 69581939
1, RSVD, 32, 1, 0.353108, 90982
1, RSVD, 32, 2, 0.353108, 103380
1, RSVD, 32, 4, 0.502302, 120990
1, RSVD, 32, 8, 0.712507, 190607
1, RSVD, 32, 16, 1.01048, 331871
1, RSVD, 32, 32, 1.12087, 609044
1, RSVD, 32, 64, 1.10594, 1155864
1, RSVD, 32, 128, 1.09953, 2449698
1, RSVD, 32, 256, 1.0864, 5231229
1, RSVD, 32, 512, 1.07287, 11222660
1, RSVD, 32, 1024, 1.04731, 30612556
1, RSVD, 32, 2048, 1.01712, 66291611
1, RSVD, 32, 4096, 0.970581, 133969151
2, ABRIK, 1, 0, 1, 64689
2, ABRIK, 4, 4, 1.3937, 111196
2, ABRIK, 4, 8, 1.06051, 191342
2, ABRIK, 4, 16, 1.67953, 344190
2, ABRIK, 4, 32, 0.972285, 665453
2, ABRIK, 4, 64, 0.274126, 1416782
2, ABRIK, 4, 128, 0.0910907, 3002167
2, ABRIK, 4, 256, 0.036718, 7064058
2, ABRIK, 4, 512, 0.0128231, 15924667
2, ABRIK, 4, 1024, 0.000607162, 36616484
2, ABRIK, 4, 2048, 5.78153e-14, 97814971
2, ABRIK, 4, 4096, 6.00313e-14, 301761767
2, ABRIK, 8, 8, 1.97199, 170983
2, ABRIK, 8, 16, 1.50228, 348601
2, ABRIK, 8, 32, 1.55187, 637175
2, ABRIK, 8, 64, 0.458371, 1252573
2, ABRIK, 8, 128, 0.152081, 2692194
2, ABRIK, 8, 256, 0.0574693, 6078016
2, ABRIK, 8, 512, 0.0212716, 14835671
2, ABRIK, 8, 1024, 0.00514343, 36124910
2, ABRIK, 8, 2048, 6.03895e-09, 91951886
2, ABRIK, 8, 4096, 6.34929e-14, 268327125
2, ABRIK, 16, 16, 2.7961, 397412
2, ABRIK, 16, 32, 1.67474, 725361
2, ABRIK, 16, 64, 0.72215, 1359473
2, ABRIK, 16, 128, 0.287348, 2817421
2, ABRIK, 16, 256, 0.106746, 5882159
2, ABRIK, 16, 512, 0.0441675, 12058535
2, ABRIK, 16, 1024, 0.0113071, 24791658
2, ABRIK, 16, 2048, 3.44279e-05, 55937750
2, ABRIK, 16, 4096, 1.18716e-13, 127534706
2, ABRIK, 32, 32, 3.12411, 1196102
2, ABRIK, 32, 64, 1.6624, 2034382
2, ABRIK, 32, 128, 0.710258, 3733271
2, ABRIK, 32, 256, 0.281765, 7475035
2, ABRIK, 32, 512, 0.106646, 14844896
2, ABRIK, 32, 1024, 0.0365305, 31147391
2, ABRIK, 32, 2048, 0.00280652, 63856305
2, ABRIK, 32, 4096, 1.79203e-07, 137337235
2, Spectra, 0, 1, 1.6738, 359949
2, Spectra, 0, 2, 1.6738, 353575
2, Spectra, 0, 4, 1.6738, 354263
2, Spectra, 0, 8, 1.6738, 356483
2, Spectra, 0, 16, 1.6738, 360051
2, Spectra, 0, 32, 0.468584, 566496
2, Spectra, 0, 64, 0.126526, 1349710
2, Spectra, 0, 128, 0.0554115, 2562063
2, Spectra, 0, 256, 0.0276864, 6084421
2, Spectra, 0, 512, 0.00640218, 13076936
2, Spectra, 0, 1024, 0.00125094, 26410823
2, Spectra, 0, 2048, 1.41446e-11, 54304397
2, Spectra, 0, 4096, 2.44454e-14, 69139819
2, RSVD, 32, 1, 0.351034, 90086
2, RSVD, 32, 2, 0.351034, 103441
2, RSVD, 32, 4, 0.499486, 120436
2, RSVD, 32, 8, 0.708012, 199740
2, RSVD, 32, 16, 1.00315, 334094
2, RSVD, 32, 32, 1.11867, 615717
2, RSVD, 32, 64, 1.1034, 1164617
2, RSVD, 32, 128, 1.09694, 2460491
2, RSVD, 32, 256, 1.08816, 5556867
2, RSVD, 32, 512, 1.07289, 11009392
2, RSVD, 32, 1024, 1.0518, 30623052
2, RSVD, 32, 2048, 1.01743, 66085622
2, RSVD, 32, 4096, 0.965876, 133746668
3, ABRIK, 1, 0, 1, 61425
3, ABRIK, 4, 4, 1.39444, 98660
3, ABRIK, 4, 8, 1.06343, 179685
3, ABRIK, 4, 16, 1.68154, 335832
3, ABRIK, 4, 32, 0.973564, 657287
3, ABRIK, 4, 64, 0.26803, 1329467
3, ABRIK, 4, 128, 0.0932727, 2893357
3, ABRIK, 4, 256, 0.0360507, 6578666
3, ABRIK, 4, 512, 0.0092427, 17075260
3, ABRIK, 4, 1024, 0.000386876, 41890348
3, ABRIK, 4, 2048, 5.42531e-14, 105984289
3, ABRIK, 4, 4096, 5.68085e-14, 314199615
3, ABRIK, 8, 8, 1.98028, 157028
3, ABRIK, 8, 16, 1.50897, 313449
3, ABRIK, 8, 32, 1.54731, 600405
3, ABRIK, 8, 64, 0.460437, 1209931
3, ABRIK, 8, 128, 0.152291, 2674164
3, ABRIK, 8, 256, 0.0579383, 6201112
3, ABRIK, 8, 512, 0.0219814, 14817489
3, ABRIK, 8, 1024, 0.00314777, 37315559
3, ABRIK, 8, 2048, 3.44768e-09, 92049300
3, ABRIK, 8, 4096, 5.96148e-14, 280080516
3, ABRIK, 16, 16, 2.80977, 439605
3, ABRIK, 16, 32, 1.67942, 772779
3, ABRIK, 16, 64, 0.718831, 1399079
3, ABRIK, 16, 128, 0.291717, 2881547
3, ABRIK, 16, 256, 0.109097, 5878646
3, ABRIK, 16, 512, 0.0441236, 11986406
3, ABRIK, 16, 1024, 0.0109585, 24726094
3, ABRIK, 16, 2048, 2.9328e-05, 54750648
3, ABRIK, 16, 4096, 1.19624e-13, 131427403
3, ABRIK, 32, 32, 3.11974, 1674711
3, ABRIK, 32, 64, 1.65982, 2510838
3, ABRIK, 32, 128, 0.709166, 4197295
3, ABRIK, 32, 256, 0.284446, 7874592
3, ABRIK, 32, 512, 0.107438, 15409688
3, ABRIK, 32, 1024, 0.0367328, 30665535
3, ABRIK, 32, 2048, 0.00253289, 63012635
3, ABRIK, 32, 4096, 1.94305e-07, 135375583
3, Spectra, 0, 1, 1.6738, 361831
3, Spectra, 0, 2, 1.6738, 360152
3, Spectra, 0, 4, 1.6738, 360383
3, Spectra, 0, 8, 1.6738, 361771
3, Spectra, 0, 16, 1.6738, 382769
3, Spectra, 0, 32, 0.468584, 571168
3, Spectra, 0, 64, 0.126526, 1375517
3, Spectra, 0, 128, 0.0554115, 2578811
3, Spectra, 0, 256, 0.0276864, 6153571
3, Spectra, 0, 512, 0.00640218, 13166389
3, Spectra, 0, 1024, 0.00125094, 26850360
3, Spectra, 0, 2048, 1.41446e-11, 55366120
3, Spectra, 0, 4096, 2.44454e-14, 70128907
3, RSVD, 32, 1, 0.353233, 118697
3, RSVD, 32, 2, 0.353233, 104480
3, RSVD, 32, 4, 0.499478, 127605
3, RSVD, 32, 8, 0.708627, 200318
3, RSVD, 32, 16, 1.00512, 328647
3, RSVD, 32, 32, 1.11659, 610901
3, RSVD, 32, 64, 1.10395, 1174226
3, RSVD, 32, 128, 1.09582, 2461791
3, RSVD, 32, 256, 1.08796, 5306971
3, RSVD, 32, 512, 1.07407, 10866674
3, RSVD, 32, 1024, 1.05266, 30614535
3, RSVD, 32, 2048, 1.0177, 65489722
3, RSVD, 32, 4096, 0.96929, 136127292
4, ABRIK, 1, 0, 1, 64864
4, ABRIK, 4, 4, 1.39043, 97830
4, ABRIK, 4, 8, 1.06468, 178171
4, ABRIK, 4, 16, 1.68263, 331253
4, ABRIK, 4, 32, 0.970033, 683162
4, ABRIK, 4, 64, 0.27206, 1574266
4, ABRIK, 4, 128, 0.0917628, 3185739
4, ABRIK, 4, 256, 0.0377822, 6749253
4, ABRIK, 4, 512, 0.0119478, 15522019
4, ABRIK, 4, 1024, 0.000166046, 38879744
4, ABRIK, 4, 2048, 5.49011e-14, 99679801
4, ABRIK, 4, 4096, 5.76177e-14, 311064765
4, ABRIK, 8, 8, 1.9748, 165154
4, ABRIK, 8, 16, 1.5084, 321788
4, ABRIK, 8, 32, 1.55092, 607976
4, ABRIK, 8, 64, 0.458194, 1242772
4, ABRIK, 8, 128, 0.155703, 2653251
4, ABRIK, 8, 256, 0.0566413, 7817562
4, ABRIK, 8, 512, 0.0203371, 17036460
4, ABRIK, 8, 1024, 0.00645914, 38549166
4, ABRIK, 8, 2048, 9.99723e-09, 103251303
4, ABRIK, 8, 4096, 6.13778e-14, 275564408
4, ABRIK, 16, 16, 2.79893, 472860
4, ABRIK, 16, 32, 1.67637, 874136
4, ABRIK, 16, 64, 0.723642, 1527341
4, ABRIK, 16, 128, 0.288291, 2999952
4, ABRIK, 16, 256, 0.110256, 5977291
4, ABRIK, 16, 512, 0.0436097, 13169879
4, ABRIK, 16, 1024, 0.0105689, 25797524
4, ABRIK, 16, 2048, 3.41775e-05, 55230264
4, ABRIK, 16, 4096, 1.35393e-13, 128683742
4, ABRIK, 32, 32, 3.11881, 1199904
4, ABRIK, 32, 64, 1.66574, 2034826
4, ABRIK, 32, 128, 0.709903, 3756193
4, ABRIK, 32, 256, 0.283767, 7405999
4, ABRIK, 32, 512, 0.10765, 14784697
4, ABRIK, 32, 1024, 0.0372365, 30541157
4, ABRIK, 32, 2048, 0.00240373, 62759246
4, ABRIK, 32, 4096, 1.61461e-07, 135265461
4, Spectra, 0, 1, 1.6738, 365276
4, Spectra, 0, 2, 1.6738, 359578
4, Spectra, 0, 4, 1.6738, 368693
4, Spectra, 0, 8, 1.6738, 378467
4, Spectra, 0, 16, 1.6738, 359372
4, Spectra, 0, 32, 0.468584, 577642
4, Spectra, 0, 64, 0.126526, 1408102
4, Spectra, 0, 128, 0.0554115, 2571920
4, Spectra, 0, 256, 0.0276864, 6090005
4, Spectra, 0, 512, 0.00640218, 13070449
4, Spectra, 0, 1024, 0.00125094, 26515419
4, Spectra, 0, 2048, 1.41446e-11, 54843540
4, Spectra, 0, 4096, 2.44454e-14, 70142391
4, RSVD, 32, 1, 0.352231, 95343
4, RSVD, 32, 2, 0.352231, 105176
4, RSVD, 32, 4, 0.499287, 125497
4, RSVD, 32, 8, 0.71089, 202152
4, RSVD, 32, 16, 1.0063, 333368
4, RSVD, 32, 32, 1.11858, 613242
4, RSVD, 32, 64, 1.10763, 1174481
4, RSVD, 32, 128, 1.09747, 2477506
4, RSVD, 32, 256, 1.08991, 5158131
4, RSVD, 32, 512, 1.07448, 10723501
4, RSVD, 32, 1024, 1.05221, 30755551
4, RSVD, 32, 2048, 1.01747, 65795290
4, RSVD, 32, 4096, 0.969032, 134793571
5, ABRIK, 1, 0, 1, 192971
5, ABRIK, 4, 4, 1.39238, 481027
