# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Block sizes: 1, 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
1, 2, 3381, 2411, 6056, 2307, 35715, 74400, 59249, 40728, 93, 46, 44, 79999, 245180
1, 2, 8802, 2192, 512, 2406, 940, 42543, 30358, 33918, 70, 3, 4, 499, 91889
1, 2, 8567, 2186, 480, 2397, 981, 41990, 30229, 33951, 70, 2, 3, 492, 91119
1, 2, 8615, 2208, 544, 2372, 917, 41626, 30119, 33879, 71, 2, 3, 521, 90758
1, 2, 8325, 2156, 474, 2363, 948, 41903, 30222, 33890, 70, 2, 3, 520, 90654
1, 2, 8630, 2201, 515, 2364, 945, 41881, 30231, 33871, 70, 2, 3, 498, 90980
1, 2, 8395, 2254, 482, 2402, 962, 42084, 30351, 33863, 70, 2, 4, 543, 91061
1, 2, 8620, 2133, 509, 2409, 971, 41826, 30192, 33906, 71, 2, 3, 495, 90945
1, 2, 8461, 2278, 522, 2409, 923, 41905, 30200, 33867, 69, 2, 3, 524, 90963
1, 2, 8594, 2265, 482, 2411, 940, 42093, 30335, 33911, 71, 2, 2, 559, 91330
1, 4, 4321, 1972, 846, 9268, 1774, 57585, 54933, 33904, 139, 2, 4, 503, 110318
1, 4, 27419, 1175, 862, 9490, 1735, 58116, 55038, 33817, 141, 2, 6, 493, 133256
1, 4, 31265, 1163, 898, 9158, 1738, 58288, 54722, 34137, 139, 3, 4, 522, 137315
1, 4, 28051, 1163, 851, 8952, 1700, 58082, 54170, 33922, 140, 2, 5, 1398, 134266
1, 4, 28401, 1185, 888, 9013, 1793, 58305, 54513, 33896, 141, 2, 5, 531, 134160
1, 4, 27434, 1169, 878, 8883, 1714, 62135, 58441, 33909, 140, 1, 4, 495, 136762
1, 4, 27212, 1176, 853, 9033, 1660, 59639, 55745, 33911, 139, 2, 4, 684, 134313
1, 4, 27653, 1169, 827, 8964, 1765, 59567, 55875, 34037, 140, 1, 4, 529, 134656
1, 4, 27664, 1141, 865, 8958, 1704, 60384, 56758, 33868, 138, 2, 3, 504, 135231
1, 4, 27375, 1175, 878, 8943, 1754, 61377, 57542, 33825, 140, 1, 4, 522, 135994
1, 8, 1961, 4121, 1486, 33439, 3254, 97937, 120922, 35205, 749, 2, 9, 509, 178672
1, 8, 2417, 1458, 1498, 33522, 3308, 101792, 123340, 35653, 1012, 3, 9, 486, 181158
1, 8, 2311, 1421, 1439, 33429, 3127, 101711, 123120, 35516, 1117, 2, 8, 296, 180377
1, 8, 1906, 1203, 1494, 33232, 3192, 101817, 122805, 35659, 726, 2, 8, 289, 179528
1, 8, 2518, 1627, 1499, 33797, 3329, 100297, 122426, 35585, 811, 3, 8, 257, 179731
1, 8, 2854, 1881, 1476, 33357, 3233, 99900, 121319, 35656, 704, 4, 7, 325, 179397
1, 8, 2716, 1807, 1473, 33044, 3299, 100106, 121289, 35524, 728, 2, 7, 442, 179148
1, 8, 2224, 1428, 1485, 34142, 3362, 101429, 123484, 35590, 711, 2, 9, 358, 180740
1, 8, 1799, 1081, 1459, 33850, 3245, 101990, 123539, 35476, 721, 3, 9, 499, 180132
1, 8, 1803, 1014, 1486, 33859, 3289, 101078, 122887, 35563, 717, 2, 9, 244, 179064
1, 16, 22682, 5916, 2876, 110634, 6654, 180465, 285579, 35872, 1834, 6, 16, 290, 367245
1, 16, 22857, 1830, 2824, 109887, 10582, 179170, 286952, 35825, 1580, 6, 14, 588, 365163
1, 16, 22882, 1923, 7877, 110547, 60107, 184798, 347869, 35729, 1474, 7, 16, 779, 426139
1, 16, 22815, 49913, 153167, 108591, 328835, 249634, 885222, 35702, 62041, 12, 29, 593, 1011332
1, 16, 22442, 49922, 269693, 133255, 625403, 301191, 1378055, 48944, 115533, 27, 41, 7075, 1573526
1, 16, 29328, 51028, 257384, 139664, 520962, 318138, 1294891, 49172, 125219, 16, 30, 7110, 1498051
1, 16, 22839, 1934, 222017, 119785, 449390, 271004, 1118149, 50083, 117209, 20, 35, 14444, 1268760
1, 16, 23366, 1910, 2598, 108850, 6840, 170683, 273340, 35906, 1474, 8, 20, 367, 352022
1, 16, 23467, 1917, 2617, 109030, 6777, 172833, 275616, 35695, 1471, 6, 30, 370, 354213
1, 16, 23460, 1959, 2649, 109767, 6750, 171426, 275050, 35684, 1515, 7, 21, 408, 353646
