# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/ABRIK_input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 16, 32, 64, 128, 
# Matmul counts: 4, 8, 16, 32, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||AV - US||^2_F + ||A'U - VS||^2_F) / sigma_{target_rank}
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
16, 4, 10, 0.802831, 593675, 1.43308e-14, 7163520
16, 4, 10, 0.802831, 556651, 1.43308e-14, 6820079
16, 4, 10, 0.802831, 525607, 1.43308e-14, 6896911
16, 8, 10, 0.166093, 995805, 2.45009e-14, 16527793
16, 8, 10, 0.166093, 978328, 2.45009e-14, 16582823
16, 8, 10, 0.166093, 945564, 2.45009e-14, 16457741
16, 16, 10, 0.00801982, 2015898, 2.6075e-14, 85244015
16, 16, 10, 0.00801982, 1959063, 2.6075e-14, 85416567
16, 16, 10, 0.00801982, 1969429, 2.6075e-14, 85601101
16, 32, 10, 1.66285e-05, 4366924, 1.99881e-14, 203580348
16, 32, 10, 1.66285e-05, 4293119, 1.99881e-14, 206911584
16, 32, 10, 1.66285e-05, 4284014, 1.99881e-14, 206568569
32, 4, 10, 0.662582, 1275182, 2.45009e-14, 16370871
32, 4, 10, 0.662582, 1229797, 2.45009e-14, 16377207
32, 4, 10, 0.662582, 1308273, 2.45009e-14, 16699140
32, 8, 10, 0.0886589, 2475228, 2.6075e-14, 85834278
32, 8, 10, 0.0886589, 2438852, 2.6075e-14, 85330090
32, 8, 10, 0.0886589, 2359564, 2.6075e-14, 85754966
32, 16, 10, 0.000462077, 4934765, 1.99881e-14, 207242357
32, 16, 10, 0.000462077, 4847512, 1.99881e-14, 207736999
32, 16, 10, 0.000462077, 5048491, 1.99881e-14, 206337962
32, 32, 10, 2.38806e-11, 12444582, 3.6458e-14, 833979933
32, 32, 10, 2.38806e-11, 12147243, 3.6458e-14, 832240390
32, 32, 10, 2.38806e-11, 11882353, 3.6458e-14, 841007655
64, 4, 10, 0.488983, 2264501, 2.6075e-14, 87275657
64, 4, 10, 0.488983, 2274837, 2.6075e-14, 86261306
64, 4, 10, 0.488983, 2241280, 2.6075e-14, 86164253
64, 8, 10, 0.024717, 4651721, 1.99881e-14, 207454423
64, 8, 10, 0.024717, 4564958, 1.99881e-14, 207294100
64, 8, 10, 0.024717, 4528652, 1.99881e-14, 210080135
64, 16, 10, 1.22086e-05, 11028724, 3.6458e-14, 835168047
64, 16, 10, 1.22086e-05, 11167354, 3.6458e-14, 831194019
64, 16, 10, 1.22086e-05, 10864798, 3.6458e-14, 830300826
64, 32, 10, 1.02993e-13, 29751707, 4.90304e-14, 2056187299
64, 32, 10, 1.02993e-13, 31685494, 4.90304e-14, 2073998621
64, 32, 10, 1.02993e-13, 32049394, 4.90304e-14, 2057869201
128, 4, 10, 0.338314, 5894760, 1.99881e-14, 245757555
128, 4, 10, 0.338314, 4735116, 1.99881e-14, 218702508
128, 4, 10, 0.338314, 4685199, 1.99881e-14, 224958492
128, 8, 10, 0.0079965, 10935446, 3.6458e-14, 883277682
128, 8, 10, 0.0079965, 11028186, 3.6458e-14, 890449579
128, 8, 10, 0.0079965, 10884819, 3.6458e-14, 887613076
128, 16, 10, 7.47668e-07, 29839914, 4.90304e-14, 2101784566
128, 16, 10, 7.47668e-07, 31330707, 4.90304e-14, 2100860328
128, 16, 10, 7.47668e-07, 31203385, 4.90304e-14, 2122814715
128, 32, 10, 0, 0, 0, 0
128, 32, 10, 0, 0, 0, 0
128, 32, 10, 0, 0, 0, 0
