# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/input_matrices/2000x2000_rank_2000/ABRIK_test_mat5.txt
# Input size: 2000 x 2000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# RSVD p values: 0, 1, 2, 4, 8, 16, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: yes
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 4, 2, 0, 10, 0.593352, 35008
ABRIK, 4, 2, 0, 10, 0.593352, 40601
ABRIK, 4, 2, 0, 10, 0.593352, 58574
ABRIK, 4, 4, 0, 10, 1.01064, 40210
ABRIK, 4, 4, 0, 10, 1.01064, 66982
ABRIK, 4, 4, 0, 10, 1.01064, 46600
ABRIK, 4, 8, 0, 10, 0.620001, 67634
ABRIK, 4, 8, 0, 10, 0.620001, 84693
ABRIK, 4, 8, 0, 10, 0.620001, 93220
ABRIK, 4, 16, 0, 10, 0.231845, 143297
ABRIK, 4, 16, 0, 10, 0.231845, 141708
ABRIK, 4, 16, 0, 10, 0.231845, 137245
ABRIK, 4, 32, 0, 10, 0.0928297, 236030
ABRIK, 4, 32, 0, 10, 0.0928297, 234474
ABRIK, 4, 32, 0, 10, 0.0928297, 194264
ABRIK, 8, 2, 0, 10, 0.841253, 29422
ABRIK, 8, 2, 0, 10, 0.841253, 49188
ABRIK, 8, 2, 0, 10, 0.841253, 30760
ABRIK, 8, 4, 0, 10, 0.788085, 51801
ABRIK, 8, 4, 0, 10, 0.788085, 32380
ABRIK, 8, 4, 0, 10, 0.788085, 44902
ABRIK, 8, 8, 0, 10, 0.308189, 100730
ABRIK, 8, 8, 0, 10, 0.308189, 75618
ABRIK, 8, 8, 0, 10, 0.308189, 81321
ABRIK, 8, 16, 0, 10, 0.130264, 111955
ABRIK, 8, 16, 0, 10, 0.130264, 121754
ABRIK, 8, 16, 0, 10, 0.130264, 88932
ABRIK, 8, 32, 0, 10, 0.0506054, 228722
ABRIK, 8, 32, 0, 10, 0.0506054, 201059
ABRIK, 8, 32, 0, 10, 0.0506054, 267251
ABRIK, 16, 2, 0, 10, 0.922792, 30023
ABRIK, 16, 2, 0, 10, 0.922792, 16951
ABRIK, 16, 2, 0, 10, 0.922792, 22075
ABRIK, 16, 4, 0, 10, 0.481337, 40767
ABRIK, 16, 4, 0, 10, 0.481337, 40775
ABRIK, 16, 4, 0, 10, 0.481337, 53445
ABRIK, 16, 8, 0, 10, 0.212639, 51556
ABRIK, 16, 8, 0, 10, 0.212639, 56016
ABRIK, 16, 8, 0, 10, 0.212639, 80550
ABRIK, 16, 16, 0, 10, 0.0865637, 117112
ABRIK, 16, 16, 0, 10, 0.0865637, 96098
ABRIK, 16, 16, 0, 10, 0.0865637, 122802
ABRIK, 16, 32, 0, 10, 0.030165, 196969
ABRIK, 16, 32, 0, 10, 0.030165, 210821
ABRIK, 16, 32, 0, 10, 0.030165, 199987
ABRIK, 32, 2, 0, 10, 0.887761, 40066
ABRIK, 32, 2, 0, 10, 0.887761, 35627
ABRIK, 32, 2, 0, 10, 0.887761, 47099
ABRIK, 32, 4, 0, 10, 0.450119, 68695
ABRIK, 32, 4, 0, 10, 0.450119, 43235
ABRIK, 32, 4, 0, 10, 0.450119, 46407
ABRIK, 32, 8, 0, 10, 0.19858, 98239
ABRIK, 32, 8, 0, 10, 0.19858, 131732
ABRIK, 32, 8, 0, 10, 0.19858, 98652
ABRIK, 32, 16, 0, 10, 0.0717231, 184971
ABRIK, 32, 16, 0, 10, 0.0717231, 156692
ABRIK, 32, 16, 0, 10, 0.0717231, 162404
ABRIK, 32, 32, 0, 10, 0.0104504, 338864
ABRIK, 32, 32, 0, 10, 0.0104504, 400191
ABRIK, 32, 32, 0, 10, 0.0104504, 355314
RSVD, 0, 0, 0, 10, 1.38388, 33467
RSVD, 0, 0, 0, 10, 1.38388, 60572
RSVD, 0, 0, 0, 10, 1.38388, 48189
RSVD, 0, 0, 1, 10, 0.939943, 51003
RSVD, 0, 0, 1, 10, 0.939943, 27791
RSVD, 0, 0, 1, 10, 0.939943, 46948
RSVD, 0, 0, 2, 10, 0.722709, 32783
RSVD, 0, 0, 2, 10, 0.722709, 52525
RSVD, 0, 0, 2, 10, 0.722709, 33463
RSVD, 0, 0, 4, 10, 0.496356, 58987
RSVD, 0, 0, 4, 10, 0.496356, 48349
RSVD, 0, 0, 4, 10, 0.496356, 34822
RSVD, 0, 0, 8, 10, 0.307476, 29099
RSVD, 0, 0, 8, 10, 0.307476, 33937
RSVD, 0, 0, 8, 10, 0.307476, 35660
RSVD, 0, 0, 16, 10, 0.171665, 46638
RSVD, 0, 0, 16, 10, 0.171665, 59981
RSVD, 0, 0, 16, 10, 0.171665, 72491
SVDS, 0, 0, 0, 10, 5.32034e-11, 1076442
SVDS, 0, 0, 0, 10, 5.32034e-11, 1061172
SVDS, 0, 0, 0, 10, 5.32034e-11, 1071307
GESDD, 0, 0, 0, 10, 6.86513e-15, 1080384
