# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
4, 2, 10, 1.62073, 130259, 0.932317, 80731
4, 4, 10, 1.69114, 157321, 0.932317, 91116
4, 8, 10, 0.689971, 170184, 0.391702, 46052
4, 16, 10, 0.110163, 441282, 0.0036682, 152804
4, 32, 10, 0.00633439, 867753, 0.0208867, 267468
8, 2, 10, 2.29134, 65117, 0.932317, 32093
8, 4, 10, 1.31915, 156692, 0.391702, 47430
8, 8, 10, 0.361439, 242881, 0.0036682, 142542
8, 16, 10, 0.0200853, 634159, 0.0208867, 288913
8, 32, 10, 0.00498245, 1269477, 9.7179e-05, 605552
16, 2, 10, 2.45429, 134600, 0.391702, 87834
16, 4, 10, 0.716353, 243204, 0.0036682, 152114
16, 8, 10, 0.175155, 535878, 0.0208867, 242494
16, 16, 10, 0.006659, 1149876, 9.7179e-05, 818926
16, 32, 10, 1.28625e-05, 2626150, 4.88093e-05, 1931762
32, 2, 10, 2.27271, 406397, 0.0036682, 198631
32, 4, 10, 0.605815, 645233, 0.0208867, 290909
32, 8, 10, 0.0871718, 1357245, 9.7179e-05, 591311
32, 16, 10, 0.00033738, 2693011, 4.88093e-05, 1378293
32, 32, 10, 1.23062e-11, 6600562, 3.46934e-12, 3712529
