# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 0.852694, 112170, 0.505671, 150353, 0.672122, 869032, 0, 0
4, 4, 10, 0.987544, 152108, 0.33138, 271356, 0.672122, 839131, 0, 0
4, 8, 10, 0.156782, 256034, 0.299365, 522821, 0.023815, 1168052, 0, 0
4, 16, 10, 5.16564e-05, 440652, 0.0738091, 1088430, 2.72544e-10, 2243109, 0, 0
4, 32, 10, 2.47884e-14, 884285, 0.0220703, 2182660, 1.92089e-14, 3656082, 0, 0
8, 2, 10, 0.674552, 104116, 0.370394, 155180, 0.672122, 819312, 0, 0
8, 4, 10, 0.327692, 180169, 0.308582, 300982, 0.023815, 1159221, 0, 0
8, 8, 10, 0.00432767, 255779, 0.0735153, 566401, 2.72544e-10, 2257899, 0, 0
8, 16, 10, 8.11906e-10, 519535, 0.0244265, 1135327, 1.92089e-14, 3484523, 0, 0
8, 32, 10, 2.51829e-14, 939567, 0.00603891, 2167964, 1.60005e-14, 5323629, 0, 0
16, 2, 10, 0.450422, 119452, 0.205286, 174903, 0.023815, 1167627, 0, 0
16, 4, 10, 0.0351239, 207402, 0.0598332, 346249, 2.72544e-10, 2279924, 0, 0
16, 8, 10, 1.91871e-05, 346049, 0.0158263, 694465, 1.92089e-14, 3700148, 0, 0
16, 16, 10, 3.65664e-14, 643462, 0.00497592, 1354560, 1.60005e-14, 5318559, 0, 0
16, 32, 10, 2.55507e-14, 1346505, 0.00122959, 2692508, 1.60005e-14, 5109051, 0, 0
32, 2, 10, 0.181036, 178611, 0.0443348, 223322, 2.72544e-10, 2268395, 0, 0
32, 4, 10, 0.00315473, 245292, 0.012215, 463181, 1.92089e-14, 3661297, 0, 0
32, 8, 10, 8.93375e-08, 482568, 0.00374604, 927491, 1.60005e-14, 5370138, 0, 0
32, 16, 10, 2.53698e-14, 1046115, 0.000838602, 1843303, 1.60005e-14, 5349641, 0, 0
32, 32, 10, 2.52324e-14, 2116804, 0.000228624, 3877189, 1.60005e-14, 5311225, 0, 0
