# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 4, 8, 
# Matmul counts: 16, 32, 2, 4, 8, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
4, 16, 10, 0.111422, 618941, 0.00477701, 361126
4, 32, 10, 0.00453762, 1000439, 0.016732, 717793
4, 2, 10, 1.71452, 45215, 0.936024, 87407
4, 4, 10, 1.71041, 84365, 0.936024, 102200
4, 8, 10, 0.70549, 222178, 0.378155, 145659
8, 16, 10, 0.0212923, 752769, 0.016732, 628112
8, 32, 10, 0.00288281, 1780210, 0.000163021, 1711675
8, 2, 10, 2.42722, 100001, 0.936024, 90433
8, 4, 10, 1.38837, 177667, 0.378155, 137272
8, 8, 10, 0.389832, 369805, 0.00477701, 416319
