# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64,
# Matmul counts: 2, 4, 8, 16, 32, 64,
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
4, 2, 10, 1.62073, 42109, 0.932317, 27814
4, 4, 10, 1.69114, 97717, 0.932317, 81292
4, 8, 10, 0.689971, 264587, 0.391702, 125086
4, 16, 10, 0.110163, 362315, 0.0036682, 162135
4, 32, 10, 0.00633439, 833989, 0.0208867, 283657
4, 64, 10, 0.000338394, 1648514, 9.7179e-05, 535236
8, 2, 10, 2.29134, 62023, 0.932317, 105143
8, 4, 10, 1.31915, 118459, 0.391702, 114876
8, 8, 10, 0.361439, 249629, 0.0036682, 207735
8, 16, 10, 0.0200853, 466320, 0.0208867, 316807
8, 32, 10, 0.00498245, 897720, 9.7179e-05, 601120
8, 64, 10, 3.7247e-11, 2415616, 4.88093e-05, 1629737
16, 2, 10, 2.45429, 108262, 0.391702, 159107
16, 4, 10, 0.716353, 212022, 0.0036682, 222040
16, 8, 10, 0.175155, 359402, 0.0208867, 355270
16, 16, 10, 0.006659, 920597, 9.7179e-05, 637792
16, 32, 10, 1.28625e-05, 2193305, 4.88093e-05, 1415004
16, 64, 10, 9.07187e-15, 5736931, 3.46934e-12, 3317310
32, 2, 10, 2.27271, 295414, 0.0036682, 250634
32, 4, 10, 0.605815, 548391, 0.0208867, 292605
32, 8, 10, 0.0871718, 1106397, 9.7179e-05, 830423
32, 16, 10, 0.00033738, 2427230, 4.88093e-05, 1476751
32, 32, 10, 1.23062e-11, 5722997, 3.46934e-12, 2647830
32, 64, 10, 1.04212e-14, 15901702, 1.10261e-14, 4073720
64, 2, 10, 1.98707, 511419, 0.0208867, 292436
64, 4, 10, 0.444477, 1042236, 9.7179e-05, 838195
64, 8, 10, 0.0239434, 2213578, 4.88093e-05, 1886949
64, 16, 10, 8.4118e-06, 5419844, 3.46934e-12, 3432712
64, 32, 10, 4.02835e-14, 14649999, 1.10261e-14, 4595249
64, 64, 10, 1.09244e-14, 47446198, 1.10261e-14, 4199315
