# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64,
# Matmul counts: 2, 4, 8, 16, 32, 64,
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_SVDS, dur_SVDS
4, 2, 10, 1.71452, 101903, 0.936024, 84423
4, 4, 10, 1.71041, 87965, 0.936024, 82332
4, 8, 10, 0.70549, 205853, 0.378155, 122115
4, 16, 10, 0.111422, 456577, 0.00477701, 367785
4, 32, 10, 0.00453762, 880644, 0.016732, 558165
4, 64, 10, 0.000563622, 2206829, 0.000163021, 1452318
8, 2, 10, 2.42722, 93127, 0.936024, 81288
8, 4, 10, 1.38837, 172387, 0.378155, 142882
8, 8, 10, 0.389832, 309769, 0.00477701, 395321
8, 16, 10, 0.0212923, 743218, 0.016732, 583657
8, 32, 10, 0.00288281, 1739277, 0.000163021, 1497861
8, 64, 10, 3.58426e-11, 4434407, 1.39422e-05, 3593531
16, 2, 10, 2.6216, 238051, 0.378155, 181633
16, 4, 10, 0.777863, 447084, 0.00477701, 421428
16, 8, 10, 0.165517, 892644, 0.016732, 679624
16, 16, 10, 0.00801925, 1761392, 0.000163021, 1595204
16, 32, 10, 1.66276e-05, 4095162, 1.39422e-05, 3590331
16, 64, 10, 1.1057e-14, 10854423, 8.20265e-11, 7062149
32, 2, 10, 2.45736, 700329, 0.00477701, 411787
32, 4, 10, 0.647902, 1208862, 0.016732, 653881
32, 8, 10, 0.0886032, 2401851, 0.000163021, 1564700
32, 16, 10, 0.000462048, 4832711, 1.39422e-05, 3455089
32, 32, 10, 2.38791e-11, 11966058, 8.20265e-11, 6884070
32, 64, 10, 1.15236e-14, 31121573, 1.96201e-14, 11672607
64, 2, 10, 2.21913, 1245338, 0.016732, 728211
64, 4, 10, 0.484718, 2249262, 0.000163021, 1692946
64, 8, 10, 0.0247149, 4604896, 1.39422e-05, 3781149
64, 16, 10, 1.22078e-05, 10769380, 8.20265e-11, 7352847
64, 32, 10, 1.0299e-13, 28561317, 1.96201e-14, 10175190
64, 64, 10, 1.09818e-14, 95130133, 1.96201e-14, 10824777
