# ABRIK Runtime Breakdown Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 6842, 987, 0, 1765, 64983, 8858, 42180, 19027, 0, 0, 59, 35671, 138192
4, 4, 3119, 969, 0, 13319, 94737, 31186, 122414, 6046, 0, 0, 14, 253, 149643
4, 8, 38938, 2116, 0, 25820, 193911, 49630, 254833, 5881, 0, 0, 34, 279, 316609
4, 16, 41671, 6952, 0, 66496, 335580, 116236, 499309, 6629, 0, 0, 91, 255, 573910
4, 32, 96064, 16125, 0, 144247, 719454, 199912, 1046436, 7959, 0, 0, 297, 303, 1184361
4, 64, 177628, 58189, 0, 541310, 1686404, 530365, 2723360, 13542, 0, 0, 1073, 502, 3009013
8, 2, 6727, 762, 0, 5842, 84057, 32352, 86451, 16889, 0, 0, 39, 436, 147104
8, 4, 10935, 1902, 0, 14864, 127845, 43869, 159392, 9886, 0, 0, 22, 242, 209565
8, 8, 30533, 5751, 0, 32416, 224804, 72590, 299861, 6696, 0, 0, 51, 236, 373077
8, 16, 56410, 16760, 0, 101286, 475548, 174594, 710264, 22526, 0, 0, 193, 287, 847604
8, 32, 176309, 52215, 0, 301972, 879194, 298484, 1449625, 8793, 0, 0, 567, 327, 1717861
8, 64, 325132, 169531, 0, 1259886, 2189640, 839214, 4266343, 10169, 0, 0, 2345, 516, 4796433
16, 2, 14568, 2297, 0, 5063, 93631, 32375, 97274, 14378, 0, 0, 11, 554, 162877
16, 4, 29004, 6146, 0, 17306, 106003, 65069, 162334, 6619, 0, 0, 24, 229, 230400
16, 8, 41437, 17327, 0, 56077, 199349, 112473, 331072, 15707, 0, 0, 78, 240, 442688
16, 16, 164644, 62214, 0, 180666, 364635, 220646, 734835, 7636, 0, 0, 321, 258, 1001020
16, 32, 318154, 191312, 0, 649455, 825385, 475100, 1924555, 8360, 0, 0, 1217, 382, 2469365
16, 64, 685034, 610367, 0, 2383167, 1662545, 1018794, 5030300, 15013, 0, 0, 5483, 596, 6380999
32, 2, 47090, 7659, 0, 7024, 66738, 50159, 82799, 13980, 0, 0, 13, 5540, 198203
32, 4, 58837, 16596, 0, 31872, 152097, 100163, 223344, 27552, 0, 0, 49, 246, 387412
32, 8, 137391, 59945, 0, 117967, 222968, 181948, 465597, 31946, 0, 0, 136, 220, 752521
32, 16, 284132, 199687, 0, 431877, 448275, 444060, 1276809, 20003, 0, 0, 611, 393, 1829038
32, 32, 777618, 605327, 0, 1696667, 906728, 858465, 3414771, 29460, 0, 0, 2776, 801, 4877842
32, 64, 1418808, 2522160, 0, 6570135, 2498169, 1947898, 10992359, 20453, 0, 0, 15600, 667, 14993890
64, 2, 75583, 25496, 0, 28344, 108746, 128917, 173982, 35300, 0, 0, 27, 2566, 404979
64, 4, 183273, 75517, 0, 108907, 187245, 198751, 423513, 31792, 0, 0, 91, 520, 786096
64, 8, 306144, 194088, 0, 374866, 331141, 413060, 1045425, 26564, 0, 0, 332, 649, 1646844
64, 16, 452885, 628154, 0, 1390749, 619067, 785127, 2721475, 29194, 0, 0, 1625, 611, 3907412
64, 32, 1823084, 2300269, 0, 5786973, 1292425, 1676910, 8693587, 36774, 0, 0, 9630, 830, 12926895
64, 64, 2959379, 10937817, 0, 23966356, 2618703, 3372586, 29942016, 25905, 0, 0, 56976, 11517, 43949239
