# ABRIK Runtime Breakdown Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 3716, 1226, 0, 2675, 114527, 26019, 91740, 17464, 0, 0, 56, 145244, 310927
4, 4, 23620, 2198, 0, 12210, 176253, 31289, 175240, 17624, 0, 0, 19, 468, 263681
4, 8, 23340, 4025, 0, 33510, 318319, 103309, 403236, 10050, 0, 0, 42, 514, 493109
4, 16, 127614, 19143, 0, 91694, 648406, 154869, 855610, 11426, 0, 0, 125, 496, 1053773
4, 32, 224117, 45387, 0, 285780, 1338645, 353607, 1911747, 15023, 0, 0, 401, 687, 2263647
4, 64, 309352, 102727, 0, 938718, 2572819, 664675, 4128090, 16447, 0, 0, 1273, 761, 4606772
8, 2, 18017, 2409, 0, 3982, 120275, 24000, 102651, 15365, 0, 0, 10, 562, 184620
8, 4, 14371, 4516, 0, 26050, 188986, 68432, 227640, 15800, 0, 0, 19, 403, 318577
8, 8, 52291, 10835, 0, 48750, 345120, 113548, 456104, 15005, 0, 0, 56, 441, 586046
8, 16, 109386, 32313, 0, 138725, 623250, 212720, 923309, 16268, 0, 0, 161, 537, 1133360
8, 32, 279126, 97221, 0, 527202, 1314067, 464214, 2248222, 15948, 0, 0, 589, 585, 2698952
8, 64, 633689, 361152, 0, 1878597, 2589445, 975984, 5396105, 18987, 0, 0, 3605, 888, 6462347
16, 2, 17477, 4898, 0, 8439, 127193, 54126, 123221, 17915, 0, 0, 11, 718, 230777
16, 4, 84499, 11714, 0, 31915, 187146, 98718, 262720, 10921, 0, 0, 25, 1302, 426240
16, 8, 110703, 36333, 0, 98577, 323718, 191629, 556807, 19040, 0, 0, 87, 1274, 781361
16, 16, 262095, 108957, 0, 322755, 662045, 396461, 1312845, 20018, 0, 0, 329, 1542, 1774202
16, 32, 612035, 368110, 0, 1130178, 1248522, 772990, 3093948, 18409, 0, 0, 1239, 1722, 4153205
16, 64, 1397853, 1271193, 0, 4305449, 2486856, 1665027, 8396948, 19813, 0, 0, 6535, 1714, 11154440
32, 2, 61299, 14574, 0, 18523, 139559, 116818, 172755, 38967, 0, 0, 12, 2345, 392097
32, 4, 112423, 34784, 0, 65848, 219890, 183040, 383028, 32643, 0, 0, 39, 629, 649296
32, 8, 250670, 128325, 0, 244848, 425019, 354299, 940738, 34033, 0, 0, 172, 1007, 1438373
32, 16, 513373, 333737, 0, 776779, 734269, 682348, 2096234, 34512, 0, 0, 603, 1054, 3076675
32, 32, 1331842, 1170037, 0, 3094957, 1484193, 1595601, 6098630, 29627, 0, 0, 3084, 886, 8710227
32, 64, 2653069, 4610465, 0, 12682626, 3169989, 3266400, 19058145, 24396, 0, 0, 17789, 9441, 26434175
64, 2, 136442, 48575, 0, 45583, 210604, 230028, 321675, 54727, 0, 0, 20, 2576, 728555
64, 4, 228438, 119364, 0, 186945, 302909, 342174, 698766, 44247, 0, 0, 72, 855, 1225004
64, 8, 579143, 398840, 0, 697711, 550434, 642074, 1754280, 51947, 0, 0, 304, 736, 2921189
64, 16, 1660496, 1219878, 0, 3075547, 1227290, 1496964, 5670441, 42782, 0, 0, 1711, 873, 8725541
64, 32, 2540606, 4379306, 0, 11924926, 2315035, 3409826, 17527206, 50246, 0, 0, 9863, 2405, 24632213
64, 64, 7105144, 21276207, 0, 45324726, 4618592, 7752366, 57596991, 40282, 0, 0, 58610, 10288, 86186215
