# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/input_matrices/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# RSVD p values: 0, 1, 2, 4, 8, 16, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: yes
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 4, 2, 0, 10, 0.607992, 153475
ABRIK, 4, 2, 0, 10, 0.607992, 133228
ABRIK, 4, 2, 0, 10, 0.607992, 144642
ABRIK, 4, 4, 0, 10, 1.0597, 167309
ABRIK, 4, 4, 0, 10, 1.0597, 166605
ABRIK, 4, 4, 0, 10, 1.0597, 172844
ABRIK, 4, 8, 0, 10, 0.179315, 285111
ABRIK, 4, 8, 0, 10, 0.179315, 282042
ABRIK, 4, 8, 0, 10, 0.179315, 284667
ABRIK, 4, 16, 0, 10, 7.20594e-05, 476579
ABRIK, 4, 16, 0, 10, 7.20594e-05, 474648
ABRIK, 4, 16, 0, 10, 7.20594e-05, 490936
ABRIK, 4, 32, 0, 10, 1.61018e-14, 879924
ABRIK, 4, 32, 0, 10, 1.61018e-14, 909173
ABRIK, 4, 32, 0, 10, 1.61018e-14, 1024658
ABRIK, 8, 2, 0, 10, 0.969299, 113685
ABRIK, 8, 2, 0, 10, 0.969299, 123109
ABRIK, 8, 2, 0, 10, 0.969299, 123153
ABRIK, 8, 4, 0, 10, 0.440359, 193037
ABRIK, 8, 4, 0, 10, 0.440359, 192937
ABRIK, 8, 4, 0, 10, 0.440359, 170174
ABRIK, 8, 8, 0, 10, 0.00800529, 303144
ABRIK, 8, 8, 0, 10, 0.00800529, 296416
ABRIK, 8, 8, 0, 10, 0.00800529, 295613
ABRIK, 8, 16, 0, 10, 2.35967e-09, 516715
ABRIK, 8, 16, 0, 10, 2.35967e-09, 547153
ABRIK, 8, 16, 0, 10, 2.35967e-09, 622939
ABRIK, 8, 32, 0, 10, 1.61632e-14, 1018207
ABRIK, 8, 32, 0, 10, 1.61632e-14, 1015346
ABRIK, 8, 32, 0, 10, 1.61632e-14, 1043932
ABRIK, 16, 2, 0, 10, 0.54391, 147969
ABRIK, 16, 2, 0, 10, 0.54391, 158135
ABRIK, 16, 2, 0, 10, 0.54391, 146470
ABRIK, 16, 4, 0, 10, 0.0279525, 235217
ABRIK, 16, 4, 0, 10, 0.0279525, 218506
ABRIK, 16, 4, 0, 10, 0.0279525, 229701
ABRIK, 16, 8, 0, 10, 1.65578e-05, 373685
ABRIK, 16, 8, 0, 10, 1.65578e-05, 414519
ABRIK, 16, 8, 0, 10, 1.65578e-05, 360964
ABRIK, 16, 16, 0, 10, 4.1848e-14, 699250
ABRIK, 16, 16, 0, 10, 4.1848e-14, 754396
ABRIK, 16, 16, 0, 10, 4.1848e-14, 697486
ABRIK, 16, 32, 0, 10, 1.68003e-14, 1317347
ABRIK, 16, 32, 0, 10, 1.68003e-14, 1401771
ABRIK, 16, 32, 0, 10, 1.68003e-14, 1411672
ABRIK, 32, 2, 0, 10, 0.226518, 201554
ABRIK, 32, 2, 0, 10, 0.226518, 183053
ABRIK, 32, 2, 0, 10, 0.226518, 197785
ABRIK, 32, 4, 0, 10, 0.0051317, 282214
ABRIK, 32, 4, 0, 10, 0.0051317, 320773
ABRIK, 32, 4, 0, 10, 0.0051317, 333851
ABRIK, 32, 8, 0, 10, 2.43363e-07, 574121
ABRIK, 32, 8, 0, 10, 2.43363e-07, 571494
ABRIK, 32, 8, 0, 10, 2.43363e-07, 563089
ABRIK, 32, 16, 0, 10, 1.75101e-14, 1021051
ABRIK, 32, 16, 0, 10, 1.75101e-14, 1079265
ABRIK, 32, 16, 0, 10, 1.75101e-14, 1089418
ABRIK, 32, 32, 0, 10, 1.70555e-14, 2091519
ABRIK, 32, 32, 0, 10, 1.70555e-14, 2175514
ABRIK, 32, 32, 0, 10, 1.70555e-14, 2132703
RSVD, 0, 0, 0, 10, 2.42865, 247985
RSVD, 0, 0, 0, 10, 2.42865, 246369
RSVD, 0, 0, 0, 10, 2.42865, 247970
RSVD, 0, 0, 1, 10, 0.792247, 293431
RSVD, 0, 0, 1, 10, 0.792247, 265780
RSVD, 0, 0, 1, 10, 0.792247, 271626
RSVD, 0, 0, 2, 10, 0.726244, 293882
RSVD, 0, 0, 2, 10, 0.726244, 302100
RSVD, 0, 0, 2, 10, 0.726244, 289405
RSVD, 0, 0, 4, 10, 0.391846, 353396
RSVD, 0, 0, 4, 10, 0.391846, 354302
RSVD, 0, 0, 4, 10, 0.391846, 342676
RSVD, 0, 0, 8, 10, 0.139419, 432775
RSVD, 0, 0, 8, 10, 0.139419, 439780
RSVD, 0, 0, 8, 10, 0.139419, 429177
RSVD, 0, 0, 16, 10, 0.0450367, 665870
RSVD, 0, 0, 16, 10, 0.0450367, 652711
RSVD, 0, 0, 16, 10, 0.0450367, 648793
SVDS, 0, 0, 0, 10, 1.40393e-14, 2306880
SVDS, 0, 0, 0, 10, 1.40393e-14, 2331016
SVDS, 0, 0, 0, 10, 1.40393e-14, 2329938
GESDD, 0, 0, 0, 10, 2.15969e-14, 151545128
