# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 5
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 16, 2, 0, 10, 2.45429, 205319
ABRIK, 16, 2, 0, 10, 2.45429, 184303
ABRIK, 16, 2, 0, 10, 2.45429, 195929
ABRIK, 16, 2, 0, 10, 2.45429, 276925
ABRIK, 16, 2, 0, 10, 2.45429, 175437
ABRIK, 16, 4, 0, 10, 0.716353, 381491
ABRIK, 16, 4, 0, 10, 0.716353, 311879
ABRIK, 16, 4, 0, 10, 0.716353, 385344
ABRIK, 16, 4, 0, 10, 0.716353, 348769
ABRIK, 16, 4, 0, 10, 0.716353, 365670
ABRIK, 16, 8, 0, 10, 0.175155, 731923
ABRIK, 16, 8, 0, 10, 0.175155, 698092
ABRIK, 16, 8, 0, 10, 0.175155, 714091
ABRIK, 16, 8, 0, 10, 0.175155, 645026
ABRIK, 16, 8, 0, 10, 0.175155, 741161
ABRIK, 16, 16, 0, 10, 0.006659, 1289521
ABRIK, 16, 16, 0, 10, 0.006659, 1420503
ABRIK, 16, 16, 0, 10, 0.006659, 1297719
ABRIK, 16, 16, 0, 10, 0.006659, 1337973
ABRIK, 16, 16, 0, 10, 0.006659, 1437947
ABRIK, 16, 32, 0, 10, 1.28625e-05, 3067925
ABRIK, 16, 32, 0, 10, 1.28625e-05, 3165507
ABRIK, 16, 32, 0, 10, 1.28625e-05, 3012239
ABRIK, 16, 32, 0, 10, 1.28625e-05, 3211905
ABRIK, 16, 32, 0, 10, 1.28625e-05, 3404780
ABRIK, 16, 64, 0, 10, 9.07187e-15, 7942793
ABRIK, 16, 64, 0, 10, 9.07187e-15, 9032790
ABRIK, 16, 64, 0, 10, 9.07187e-15, 7990450
ABRIK, 16, 64, 0, 10, 9.07187e-15, 7528944
ABRIK, 16, 64, 0, 10, 9.07187e-15, 8209974
ABRIK, 32, 2, 0, 10, 2.27271, 556801
ABRIK, 32, 2, 0, 10, 2.27271, 440009
ABRIK, 32, 2, 0, 10, 2.27271, 428313
ABRIK, 32, 2, 0, 10, 2.27271, 442067
ABRIK, 32, 2, 0, 10, 2.27271, 436345
ABRIK, 32, 4, 0, 10, 0.605815, 701627
ABRIK, 32, 4, 0, 10, 0.605815, 839774
ABRIK, 32, 4, 0, 10, 0.605815, 718457
ABRIK, 32, 4, 0, 10, 0.605815, 948382
ABRIK, 32, 4, 0, 10, 0.605815, 709653
ABRIK, 32, 8, 0, 10, 0.0871718, 1592809
ABRIK, 32, 8, 0, 10, 0.0871718, 1611156
ABRIK, 32, 8, 0, 10, 0.0871718, 1477712
ABRIK, 32, 8, 0, 10, 0.0871718, 1500219
ABRIK, 32, 8, 0, 10, 0.0871718, 1667539
ABRIK, 32, 16, 0, 10, 0.00033738, 3358320
ABRIK, 32, 16, 0, 10, 0.00033738, 3305188
ABRIK, 32, 16, 0, 10, 0.00033738, 3612111
ABRIK, 32, 16, 0, 10, 0.00033738, 3676333
ABRIK, 32, 16, 0, 10, 0.00033738, 3606012
ABRIK, 32, 32, 0, 10, 1.23062e-11, 8897318
ABRIK, 32, 32, 0, 10, 1.23062e-11, 11794301
ABRIK, 32, 32, 0, 10, 1.23062e-11, 11428517
ABRIK, 32, 32, 0, 10, 1.23062e-11, 11049379
ABRIK, 32, 32, 0, 10, 1.23062e-11, 11307061
ABRIK, 32, 64, 0, 10, 1.04212e-14, 27783049
ABRIK, 32, 64, 0, 10, 1.04212e-14, 35971575
ABRIK, 32, 64, 0, 10, 1.04212e-14, 32108262
ABRIK, 32, 64, 0, 10, 1.04212e-14, 30939411
ABRIK, 32, 64, 0, 10, 1.04212e-14, 31967451
SVDS, 0, 0, 0, 10, 9.93729e-12, 4127317
SVDS, 0, 0, 0, 10, 9.93729e-12, 6458560
SVDS, 0, 0, 0, 10, 9.93729e-12, 4964171
SVDS, 0, 0, 0, 10, 9.93729e-12, 6277683
SVDS, 0, 0, 0, 10, 9.93729e-12, 5210361
