# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 5
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 16, 2, 0, 10, 2.6216, 1049456
ABRIK, 16, 2, 0, 10, 2.6216, 712969
ABRIK, 16, 2, 0, 10, 2.6216, 889284
ABRIK, 16, 2, 0, 10, 2.6216, 692190
ABRIK, 16, 2, 0, 10, 2.6216, 641106
ABRIK, 16, 4, 0, 10, 0.777863, 1030606
ABRIK, 16, 4, 0, 10, 0.777863, 1013854
ABRIK, 16, 4, 0, 10, 0.777863, 1297008
ABRIK, 16, 4, 0, 10, 0.777863, 1129696
ABRIK, 16, 4, 0, 10, 0.777863, 946249
ABRIK, 16, 8, 0, 10, 0.165517, 2267376
ABRIK, 16, 8, 0, 10, 0.165517, 1921435
ABRIK, 16, 8, 0, 10, 0.165517, 1865447
ABRIK, 16, 8, 0, 10, 0.165517, 1860118
ABRIK, 16, 8, 0, 10, 0.165517, 1916510
ABRIK, 16, 16, 0, 10, 0.00801925, 2869982
ABRIK, 16, 16, 0, 10, 0.00801925, 3553618
ABRIK, 16, 16, 0, 10, 0.00801925, 3564329
ABRIK, 16, 16, 0, 10, 0.00801925, 3638279
ABRIK, 16, 16, 0, 10, 0.00801925, 3388335
ABRIK, 16, 32, 0, 10, 1.66276e-05, 8137011
ABRIK, 16, 32, 0, 10, 1.66276e-05, 7112599
ABRIK, 16, 32, 0, 10, 1.66276e-05, 7383031
ABRIK, 16, 32, 0, 10, 1.66276e-05, 7472189
ABRIK, 16, 32, 0, 10, 1.66276e-05, 6810034
ABRIK, 16, 64, 0, 10, 1.1057e-14, 19873875
ABRIK, 16, 64, 0, 10, 1.1057e-14, 16354056
ABRIK, 16, 64, 0, 10, 1.1057e-14, 13196299
ABRIK, 16, 64, 0, 10, 1.1057e-14, 13475941
ABRIK, 16, 64, 0, 10, 1.1057e-14, 13247464
ABRIK, 32, 2, 0, 10, 2.45736, 811991
ABRIK, 32, 2, 0, 10, 2.45736, 742449
ABRIK, 32, 2, 0, 10, 2.45736, 829991
ABRIK, 32, 2, 0, 10, 2.45736, 787581
ABRIK, 32, 2, 0, 10, 2.45736, 776754
ABRIK, 32, 4, 0, 10, 0.647902, 1333740
ABRIK, 32, 4, 0, 10, 0.647902, 1407257
ABRIK, 32, 4, 0, 10, 0.647902, 1392509
ABRIK, 32, 4, 0, 10, 0.647902, 1371959
ABRIK, 32, 4, 0, 10, 0.647902, 1309573
ABRIK, 32, 8, 0, 10, 0.0886032, 2784404
ABRIK, 32, 8, 0, 10, 0.0886032, 2751533
ABRIK, 32, 8, 0, 10, 0.0886032, 2968435
ABRIK, 32, 8, 0, 10, 0.0886032, 3042758
ABRIK, 32, 8, 0, 10, 0.0886032, 3257750
ABRIK, 32, 16, 0, 10, 0.000462048, 6445268
ABRIK, 32, 16, 0, 10, 0.000462048, 5766487
ABRIK, 32, 16, 0, 10, 0.000462048, 6097636
ABRIK, 32, 16, 0, 10, 0.000462048, 6717534
ABRIK, 32, 16, 0, 10, 0.000462048, 7334879
ABRIK, 32, 32, 0, 10, 2.38791e-11, 16468202
ABRIK, 32, 32, 0, 10, 2.38791e-11, 14256092
ABRIK, 32, 32, 0, 10, 2.38791e-11, 15046985
ABRIK, 32, 32, 0, 10, 2.38791e-11, 18128671
ABRIK, 32, 32, 0, 10, 2.38791e-11, 20012525
ABRIK, 32, 64, 0, 10, 1.15236e-14, 57400909
ABRIK, 32, 64, 0, 10, 1.15236e-14, 58536025
ABRIK, 32, 64, 0, 10, 1.15236e-14, 58772690
ABRIK, 32, 64, 0, 10, 1.15236e-14, 58974208
ABRIK, 32, 64, 0, 10, 1.15236e-14, 58391475
SVDS, 0, 0, 0, 10, 5.19144e-11, 10013536
SVDS, 0, 0, 0, 10, 5.19144e-11, 9780228
SVDS, 0, 0, 0, 10, 5.19144e-11, 9494881
SVDS, 0, 0, 0, 10, 5.19144e-11, 6478592
SVDS, 0, 0, 0, 10, 5.19144e-11, 6417507
