# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# RSVD p values: 8, 16, 32, 64, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 4, 2, 0, 10, 0.852694, 135921
ABRIK, 4, 2, 0, 10, 0.852694, 118022
ABRIK, 4, 2, 0, 10, 0.852694, 108960
ABRIK, 4, 4, 0, 10, 0.987544, 171938
ABRIK, 4, 4, 0, 10, 0.987544, 158017
ABRIK, 4, 4, 0, 10, 0.987544, 156563
ABRIK, 4, 8, 0, 10, 0.156782, 282655
ABRIK, 4, 8, 0, 10, 0.156782, 269208
ABRIK, 4, 8, 0, 10, 0.156782, 272580
ABRIK, 4, 16, 0, 10, 5.16564e-05, 499757
ABRIK, 4, 16, 0, 10, 5.16564e-05, 447077
ABRIK, 4, 16, 0, 10, 5.16564e-05, 480765
ABRIK, 4, 32, 0, 10, 2.47884e-14, 868619
ABRIK, 4, 32, 0, 10, 2.47884e-14, 898282
ABRIK, 4, 32, 0, 10, 2.47884e-14, 872512
ABRIK, 8, 2, 0, 10, 0.674552, 137636
ABRIK, 8, 2, 0, 10, 0.674552, 122546
ABRIK, 8, 2, 0, 10, 0.674552, 138728
ABRIK, 8, 4, 0, 10, 0.327692, 214139
ABRIK, 8, 4, 0, 10, 0.327692, 201407
ABRIK, 8, 4, 0, 10, 0.327692, 196107
ABRIK, 8, 8, 0, 10, 0.00432767, 275349
ABRIK, 8, 8, 0, 10, 0.00432767, 309856
ABRIK, 8, 8, 0, 10, 0.00432767, 314911
ABRIK, 8, 16, 0, 10, 8.11906e-10, 540757
ABRIK, 8, 16, 0, 10, 8.11906e-10, 538840
ABRIK, 8, 16, 0, 10, 8.11906e-10, 560678
ABRIK, 8, 32, 0, 10, 2.51829e-14, 988655
ABRIK, 8, 32, 0, 10, 2.51829e-14, 1040772
ABRIK, 8, 32, 0, 10, 2.51829e-14, 936255
ABRIK, 16, 2, 0, 10, 0.450422, 197864
ABRIK, 16, 2, 0, 10, 0.450422, 140285
ABRIK, 16, 2, 0, 10, 0.450422, 158903
ABRIK, 16, 4, 0, 10, 0.0351239, 213941
ABRIK, 16, 4, 0, 10, 0.0351239, 187846
ABRIK, 16, 4, 0, 10, 0.0351239, 241864
ABRIK, 16, 8, 0, 10, 1.91871e-05, 368360
ABRIK, 16, 8, 0, 10, 1.91871e-05, 384919
ABRIK, 16, 8, 0, 10, 1.91871e-05, 366573
ABRIK, 16, 16, 0, 10, 3.65664e-14, 715035
ABRIK, 16, 16, 0, 10, 3.65664e-14, 722101
ABRIK, 16, 16, 0, 10, 3.65664e-14, 699252
ABRIK, 16, 32, 0, 10, 2.55507e-14, 1399782
ABRIK, 16, 32, 0, 10, 2.55507e-14, 1301023
ABRIK, 16, 32, 0, 10, 2.55507e-14, 1344827
