# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 0.852694, 159697, 0.505671, 276854, 2.72544e-10, 2229383, 0, 0
4, 2, 10, 0.852694, 130061, 0.505671, 316476, 2.72544e-10, 2353674, 0, 0
4, 2, 10, 0.852694, 117206, 0.505671, 290324, 2.72544e-10, 2232011, 0, 0
4, 4, 10, 0.987544, 164180, 0.33138, 410151, 2.72544e-10, 2268130, 0, 0
4, 4, 10, 0.987544, 153694, 0.33138, 424033, 2.72544e-10, 2229187, 0, 0
4, 4, 10, 0.987544, 189506, 0.33138, 428696, 2.72544e-10, 2276690, 0, 0
4, 8, 10, 0.156782, 251704, 0.299365, 669299, 2.72544e-10, 2231815, 0, 0
4, 8, 10, 0.156782, 329776, 0.299365, 675371, 2.72544e-10, 2254107, 0, 0
4, 8, 10, 0.156782, 284954, 0.299365, 681794, 2.72544e-10, 2309629, 0, 0
4, 16, 10, 5.16564e-05, 475215, 0.0738091, 1167899, 2.72544e-10, 2272803, 0, 0
4, 16, 10, 5.16564e-05, 512351, 0.0738091, 1146336, 2.72544e-10, 2336195, 0, 0
4, 16, 10, 5.16564e-05, 487241, 0.0738091, 1199794, 2.72544e-10, 2344854, 0, 0
4, 32, 10, 2.47884e-14, 889076, 0.0220703, 2152447, 1.92089e-14, 3646804, 0, 0
4, 32, 10, 2.47884e-14, 866586, 0.0220703, 2140781, 1.92089e-14, 3615541, 0, 0
4, 32, 10, 2.47884e-14, 939643, 0.0220703, 2180362, 1.92089e-14, 3642354, 0, 0
8, 2, 10, 0.674552, 116800, 0.370394, 297571, 2.72544e-10, 2287785, 0, 0
8, 2, 10, 0.674552, 142175, 0.370394, 300869, 2.72544e-10, 2345829, 0, 0
8, 2, 10, 0.674552, 136333, 0.370394, 287840, 2.72544e-10, 2248215, 0, 0
8, 4, 10, 0.327692, 187550, 0.308582, 445125, 2.72544e-10, 2248240, 0, 0
8, 4, 10, 0.327692, 176665, 0.308582, 451833, 2.72544e-10, 2245388, 0, 0
8, 4, 10, 0.327692, 182785, 0.308582, 444373, 2.72544e-10, 2321715, 0, 0
8, 8, 10, 0.00432767, 280852, 0.0735153, 681356, 2.72544e-10, 2290099, 0, 0
8, 8, 10, 0.00432767, 284522, 0.0735153, 718696, 2.72544e-10, 2285853, 0, 0
8, 8, 10, 0.00432767, 289247, 0.0735153, 711778, 2.72544e-10, 2247259, 0, 0
8, 16, 10, 8.11906e-10, 514379, 0.0244265, 1214632, 1.92089e-14, 3630084, 0, 0
8, 16, 10, 8.11906e-10, 498132, 0.0244265, 1249347, 1.92089e-14, 3509891, 0, 0
8, 16, 10, 8.11906e-10, 510032, 0.0244265, 1237015, 1.92089e-14, 3685853, 0, 0
8, 32, 10, 2.51829e-14, 998763, 0.00603891, 2298286, 1.60005e-14, 5438720, 0, 0
8, 32, 10, 2.51829e-14, 972715, 0.00603891, 2351995, 1.60005e-14, 5459133, 0, 0
8, 32, 10, 2.51829e-14, 920682, 0.00603891, 2341134, 1.60005e-14, 5124326, 0, 0
16, 2, 10, 0.450422, 158406, 0.205286, 329764, 2.72544e-10, 2362830, 0, 0
16, 2, 10, 0.450422, 168260, 0.205286, 303178, 2.72544e-10, 2240211, 0, 0
16, 2, 10, 0.450422, 159032, 0.205286, 310101, 2.72544e-10, 2256213, 0, 0
16, 4, 10, 0.0351239, 219646, 0.0598332, 496616, 2.72544e-10, 2284696, 0, 0
16, 4, 10, 0.0351239, 204966, 0.0598332, 457851, 2.72544e-10, 2241390, 0, 0
16, 4, 10, 0.0351239, 201772, 0.0598332, 493003, 2.72544e-10, 2235455, 0, 0
16, 8, 10, 1.91871e-05, 372886, 0.0158263, 815557, 1.92089e-14, 3610741, 0, 0
16, 8, 10, 1.91871e-05, 378411, 0.0158263, 798037, 1.92089e-14, 3607268, 0, 0
16, 8, 10, 1.91871e-05, 379549, 0.0158263, 842162, 1.92089e-14, 3673851, 0, 0
16, 16, 10, 3.65664e-14, 660037, 0.00497592, 1499523, 1.60005e-14, 5497275, 0, 0
16, 16, 10, 3.65664e-14, 669319, 0.00497592, 1510210, 1.60005e-14, 5439645, 0, 0
16, 16, 10, 3.65664e-14, 686628, 0.00497592, 1522443, 1.60005e-14, 5708048, 0, 0
16, 32, 10, 2.55507e-14, 1342180, 0.00122959, 2800803, 1.60005e-14, 5533718, 0, 0
16, 32, 10, 2.55507e-14, 1252254, 0.00122959, 2828071, 1.60005e-14, 5678204, 0, 0
16, 32, 10, 2.55507e-14, 1306928, 0.00122959, 2819780, 1.60005e-14, 5467700, 0, 0
32, 2, 10, 0.181036, 187584, 0.0443348, 367414, 2.72544e-10, 2317655, 0, 0
32, 2, 10, 0.181036, 181306, 0.0443348, 381502, 2.72544e-10, 2340512, 0, 0
32, 2, 10, 0.181036, 213833, 0.0443348, 356397, 2.72544e-10, 2384182, 0, 0
32, 4, 10, 0.00315473, 320454, 0.012215, 557895, 1.92089e-14, 3711150, 0, 0
32, 4, 10, 0.00315473, 317158, 0.012215, 556577, 1.92089e-14, 3848204, 0, 0
32, 4, 10, 0.00315473, 287505, 0.012215, 577932, 1.92089e-14, 3640137, 0, 0
32, 8, 10, 8.93375e-08, 520130, 0.00374604, 980075, 1.60005e-14, 5318638, 0, 0
32, 8, 10, 8.93375e-08, 523188, 0.00374604, 1046556, 1.60005e-14, 5512582, 0, 0
32, 8, 10, 8.93375e-08, 521690, 0.00374604, 1121838, 1.60005e-14, 5684852, 0, 0
32, 16, 10, 2.53698e-14, 1021108, 0.000838602, 1879057, 1.60005e-14, 5578168, 0, 0
