# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/ABRIK_input_matrices/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 4, 8, 16, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Residual metric: sqrt(||AV - US||^2_F + ||A'U - VS||^2_F) / sigma_{target_rank}
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 4, 10, 1.53385, 206036, 0.772219, 410204, 9.41291e-11, 1736256, 0, 0
4, 4, 10, 1.53385, 174065, 0.772219, 417869, 9.41291e-11, 1725099, 0, 0
4, 4, 10, 1.53385, 158629, 0.772219, 426563, 9.41291e-11, 1816542, 0, 0
4, 8, 10, 0.187535, 264976, 0.307471, 712936, 3.77116e-14, 2785948, 0, 0
4, 8, 10, 0.187535, 250355, 0.307471, 684932, 3.77116e-14, 2690454, 0, 0
4, 8, 10, 0.187535, 260399, 0.307471, 667559, 3.77116e-14, 2739439, 0, 0
4, 16, 10, 7.25432e-05, 496968, 0.0977042, 1164114, 4.34419e-14, 5508736, 0, 0
4, 16, 10, 7.25432e-05, 480603, 0.0977042, 1141450, 4.34419e-14, 5513773, 0, 0
4, 16, 10, 7.25432e-05, 481231, 0.0977042, 1126126, 4.34419e-14, 5426805, 0, 0
8, 4, 10, 0.533627, 168419, 0.353775, 413543, 3.77116e-14, 2737520, 0, 0
8, 4, 10, 0.533627, 216027, 0.353775, 406030, 3.77116e-14, 2769650, 0, 0
8, 4, 10, 0.533627, 165097, 0.353775, 399989, 3.77116e-14, 2652829, 0, 0
8, 8, 10, 0.00808675, 284841, 0.10278, 691277, 4.34419e-14, 5455347, 0, 0
8, 8, 10, 0.00808675, 285649, 0.10278, 696642, 4.34419e-14, 5499457, 0, 0
8, 8, 10, 0.00808675, 277696, 0.10278, 686948, 4.34419e-14, 5551562, 0, 0
8, 16, 10, 2.36144e-09, 500755, 0.0273546, 1235200, 4.54427e-14, 8742898, 0, 0
8, 16, 10, 2.36144e-09, 488008, 0.0273546, 1217741, 4.54427e-14, 8683708, 0, 0
8, 16, 10, 2.36144e-09, 529623, 0.0273546, 1226108, 4.54427e-14, 8875585, 0, 0
16, 4, 10, 0.0328767, 248947, 0.114705, 493029, 4.34419e-14, 5437837, 1.19233e-13, 154206905
16, 4, 10, 0.0328767, 224574, 0.114705, 481336, 4.34419e-14, 5483549, 1.19233e-13, 153660237
16, 4, 10, 0.0328767, 205537, 0.114705, 458391, 4.34419e-14, 5417595, 1.19233e-13, 153660237
16, 8, 10, 1.71246e-05, 352402, 0.0273452, 776090, 4.54427e-14, 8930194, 0, 0
16, 8, 10, 1.71246e-05, 357300, 0.0273452, 866046, 4.54427e-14, 8891221, 0, 0
16, 8, 10, 1.71246e-05, 354628, 0.0273452, 806394, 4.54427e-14, 8747968, 0, 0
16, 16, 10, 1.02473e-13, 672522, 0.00679933, 1442073, 4.41595e-14, 17522205, 0, 0
16, 16, 10, 1.02473e-13, 654800, 0.00679933, 1431333, 4.41595e-14, 18189459, 0, 0
16, 16, 10, 1.02473e-13, 686245, 0.00679933, 1471103, 4.41595e-14, 17809992, 0, 0
32, 4, 10, 0.00545636, 310731, 0.0202152, 586637, 4.54427e-14, 8789584, 0, 0
32, 4, 10, 0.00545636, 312856, 0.0202152, 535495, 4.54427e-14, 8904174, 0, 0
32, 4, 10, 0.00545636, 283873, 0.0202152, 587001, 4.54427e-14, 8792887, 0, 0
32, 8, 10, 2.47748e-07, 525385, 0.00444128, 997284, 4.41595e-14, 17825464, 0, 0
32, 8, 10, 2.47748e-07, 541777, 0.00444128, 1069497, 4.41595e-14, 18011500, 0, 0
