# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 5
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 16, 2, 0, 10, 2.45429, 198950
ABRIK, 16, 2, 0, 10, 2.45429, 144487
ABRIK, 16, 2, 0, 10, 2.45429, 215081
ABRIK, 16, 2, 0, 10, 2.45429, 189096
ABRIK, 16, 2, 0, 10, 2.45429, 163089
ABRIK, 16, 4, 0, 10, 0.716353, 321140
ABRIK, 16, 4, 0, 10, 0.716353, 343482
ABRIK, 16, 4, 0, 10, 0.716353, 310462
ABRIK, 16, 4, 0, 10, 0.716353, 351089
ABRIK, 16, 4, 0, 10, 0.716353, 364888
ABRIK, 16, 8, 0, 10, 0.175155, 684540
ABRIK, 16, 8, 0, 10, 0.175155, 615448
ABRIK, 16, 8, 0, 10, 0.175155, 574892
ABRIK, 16, 8, 0, 10, 0.175155, 574448
ABRIK, 16, 8, 0, 10, 0.175155, 510850
ABRIK, 16, 16, 0, 10, 0.006659, 1285903
ABRIK, 16, 16, 0, 10, 0.006659, 1122792
ABRIK, 16, 16, 0, 10, 0.006659, 1139440
ABRIK, 16, 16, 0, 10, 0.006659, 1208432
ABRIK, 16, 16, 0, 10, 0.006659, 1080795
ABRIK, 16, 32, 0, 10, 1.28625e-05, 2849237
ABRIK, 16, 32, 0, 10, 1.28625e-05, 2977486
ABRIK, 16, 32, 0, 10, 1.28625e-05, 2610593
ABRIK, 16, 32, 0, 10, 1.28625e-05, 2482122
ABRIK, 16, 32, 0, 10, 1.28625e-05, 2422426
ABRIK, 16, 64, 0, 10, 9.07187e-15, 6163800
ABRIK, 16, 64, 0, 10, 9.07187e-15, 6081995
ABRIK, 16, 64, 0, 10, 9.07187e-15, 6367081
ABRIK, 16, 64, 0, 10, 9.07187e-15, 6640938
ABRIK, 16, 64, 0, 10, 9.07187e-15, 6398751
ABRIK, 32, 2, 0, 10, 2.27271, 359894
ABRIK, 32, 2, 0, 10, 2.27271, 405423
ABRIK, 32, 2, 0, 10, 2.27271, 402013
ABRIK, 32, 2, 0, 10, 2.27271, 377939
ABRIK, 32, 2, 0, 10, 2.27271, 377159
ABRIK, 32, 4, 0, 10, 0.605815, 612251
ABRIK, 32, 4, 0, 10, 0.605815, 777275
ABRIK, 32, 4, 0, 10, 0.605815, 623221
ABRIK, 32, 4, 0, 10, 0.605815, 609371
ABRIK, 32, 4, 0, 10, 0.605815, 631620
ABRIK, 32, 8, 0, 10, 0.0871718, 1265726
ABRIK, 32, 8, 0, 10, 0.0871718, 1230156
ABRIK, 32, 8, 0, 10, 0.0871718, 1136919
ABRIK, 32, 8, 0, 10, 0.0871718, 1229877
ABRIK, 32, 8, 0, 10, 0.0871718, 1251633
ABRIK, 32, 16, 0, 10, 0.00033738, 2679463
ABRIK, 32, 16, 0, 10, 0.00033738, 2541799
ABRIK, 32, 16, 0, 10, 0.00033738, 2594904
ABRIK, 32, 16, 0, 10, 0.00033738, 2530997
ABRIK, 32, 16, 0, 10, 0.00033738, 2539682
ABRIK, 32, 32, 0, 10, 1.23062e-11, 6201616
ABRIK, 32, 32, 0, 10, 1.23062e-11, 6377390
ABRIK, 32, 32, 0, 10, 1.23062e-11, 6266857
ABRIK, 32, 32, 0, 10, 1.23062e-11, 6182418
ABRIK, 32, 32, 0, 10, 1.23062e-11, 6269168
ABRIK, 32, 64, 0, 10, 1.04212e-14, 16870264
ABRIK, 32, 64, 0, 10, 1.04212e-14, 17600004
ABRIK, 32, 64, 0, 10, 1.04212e-14, 18650820
ABRIK, 32, 64, 0, 10, 1.04212e-14, 19451973
ABRIK, 32, 64, 0, 10, 1.04212e-14, 17703809
SVDS, 0, 0, 0, 10, 1.20603e-14, 2410731
SVDS, 0, 0, 0, 10, 1.20603e-14, 2753723
SVDS, 0, 0, 0, 10, 1.20603e-14, 2696066
SVDS, 0, 0, 0, 10, 1.20603e-14, 2768155
SVDS, 0, 0, 0, 10, 1.20603e-14, 3046738
