# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 0.852694, 160050, 0.505671, 337774, 0.672122, 845465, 0, 0
4, 2, 10, 0.852694, 127730, 0.505671, 297596, 0.672122, 796397, 0, 0
4, 2, 10, 0.852694, 137448, 0.505671, 274122, 0.672122, 802634, 0, 0
4, 4, 10, 0.987544, 194712, 0.33138, 417155, 0.672122, 788509, 0, 0
4, 4, 10, 0.987544, 190186, 0.33138, 409000, 0.672122, 812350, 0, 0
4, 4, 10, 0.987544, 206615, 0.33138, 389148, 0.672122, 807817, 0, 0
4, 8, 10, 0.156782, 280338, 0.299365, 650031, 0.023815, 1103110, 0, 0
4, 8, 10, 0.156782, 303601, 0.299365, 670253, 0.023815, 1146296, 0, 0
4, 8, 10, 0.156782, 266539, 0.299365, 658012, 0.023815, 1152266, 0, 0
4, 16, 10, 5.16564e-05, 525441, 0.0738091, 1184585, 2.72544e-10, 2262387, 0, 0
4, 16, 10, 5.16564e-05, 482917, 0.0738091, 1157292, 2.72544e-10, 2172193, 0, 0
4, 16, 10, 5.16564e-05, 519419, 0.0738091, 1208732, 2.72544e-10, 2165067, 0, 0
4, 32, 10, 2.47884e-14, 931973, 0.0220703, 2159118, 1.92089e-14, 3583155, 0, 0
4, 32, 10, 2.47884e-14, 997107, 0.0220703, 2133527, 1.92089e-14, 3429172, 0, 0
4, 32, 10, 2.47884e-14, 879009, 0.0220703, 2211162, 1.92089e-14, 3577950, 0, 0
8, 2, 10, 0.674552, 119392, 0.370394, 276435, 0.672122, 804626, 0, 0
8, 2, 10, 0.674552, 122117, 0.370394, 291391, 0.672122, 834396, 0, 0
8, 2, 10, 0.674552, 108597, 0.370394, 300912, 0.672122, 777139, 0, 0
8, 4, 10, 0.327692, 173804, 0.308582, 399622, 0.023815, 1196305, 0, 0
8, 4, 10, 0.327692, 235277, 0.308582, 537067, 0.023815, 1146418, 0, 0
8, 4, 10, 0.327692, 223078, 0.308582, 465669, 0.023815, 1153791, 0, 0
8, 8, 10, 0.00432767, 377794, 0.0735153, 714994, 2.72544e-10, 2306163, 0, 0
