# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/ABRIK_input_matrices/ABRIK_test_mat6.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 4, 8, 16, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Residual metric: sqrt(||AV - US||^2_F + ||A'U - VS||^2_F) / sigma_{target_rank}
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 4, 10, 1.8739, 184780, 1.43422, 403249, 1.91694e-11, 4613623, 0, 0
4, 4, 10, 1.8739, 205178, 1.43422, 413133, 1.91694e-11, 4477804, 0, 0
4, 4, 10, 1.8739, 205472, 1.43422, 432041, 1.91694e-11, 4449767, 0, 0
4, 8, 10, 0.981188, 251414, 1.60003, 642761, 1.57511e-14, 9123457, 0, 0
4, 8, 10, 0.981188, 267169, 1.60003, 672313, 1.57511e-14, 9239506, 0, 0
4, 8, 10, 0.981188, 277459, 1.60003, 669332, 1.57511e-14, 9162152, 0, 0
4, 16, 10, 0.265287, 460346, 1.62182, 1157063, 2.3949e-14, 13947556, 0, 0
4, 16, 10, 0.265287, 469446, 1.62182, 1185283, 2.3949e-14, 14133790, 0, 0
4, 16, 10, 0.265287, 485089, 1.62182, 1144867, 2.3949e-14, 14166968, 0, 0
8, 4, 10, 1.76579, 176426, 1.59323, 418548, 1.57511e-14, 8980355, 0, 0
8, 4, 10, 1.76579, 181088, 1.59323, 433773, 1.57511e-14, 9164162, 0, 0
8, 4, 10, 1.76579, 190009, 1.59323, 417083, 1.57511e-14, 9103102, 0, 0
8, 8, 10, 0.522763, 290619, 1.60818, 696937, 2.3949e-14, 13856324, 0, 0
8, 8, 10, 0.522763, 294933, 1.60818, 700284, 2.3949e-14, 14094912, 0, 0
8, 8, 10, 0.522763, 302956, 1.60818, 683007, 2.3949e-14, 13963322, 0, 0
8, 16, 10, 0.0448436, 499827, 1.50616, 1222842, 2.83769e-14, 21236404, 0, 0
8, 16, 10, 0.0448436, 501011, 1.50616, 1221061, 2.83769e-14, 21707873, 0, 0
8, 16, 10, 0.0448436, 509971, 1.50616, 1222205, 2.83769e-14, 21207340, 0, 0
16, 4, 10, 1.0545, 208380, 1.5812, 478009, 2.3949e-14, 14170225, 9.67988e-15, 155766564
16, 4, 10, 1.0545, 234294, 1.5812, 479235, 2.3949e-14, 14268652, 9.67988e-15, 156636629
16, 4, 10, 1.0545, 219188, 1.5812, 481356, 2.3949e-14, 13960299, 9.67988e-15, 156636629
16, 8, 10, 0.268473, 348956, 1.48437, 830137, 2.83769e-14, 21906042, 0, 0
16, 8, 10, 0.268473, 336871, 1.48437, 820403, 2.83769e-14, 21684973, 0, 0
16, 8, 10, 0.268473, 368899, 1.48437, 791310, 2.83769e-14, 21308374, 0, 0
16, 16, 10, 0.0088336, 684422, 1.34984, 1420665, 2.36985e-14, 37208778, 0, 0
16, 16, 10, 0.0088336, 683072, 1.34984, 1376036, 2.36985e-14, 36952146, 0, 0
16, 16, 10, 0.0088336, 672254, 1.34984, 1446454, 2.36985e-14, 37219195, 0, 0
32, 4, 10, 0.905572, 326034, 1.45307, 567506, 2.83769e-14, 21404024, 0, 0
32, 4, 10, 0.905572, 307423, 1.45307, 605521, 2.83769e-14, 21110410, 0, 0
32, 4, 10, 0.905572, 315181, 1.45307, 614434, 2.83769e-14, 21305825, 0, 0
32, 8, 10, 0.140773, 505117, 1.31895, 1067722, 2.36985e-14, 36558612, 0, 0
32, 8, 10, 0.140773, 555641, 1.31895, 1068610, 2.36985e-14, 37009910, 0, 0
32, 8, 10, 0.140773, 555957, 1.31895, 998737, 2.36985e-14, 36979173, 0, 0
32, 16, 10, 0.00254407, 1016306, 1.10899, 2036108, 1.47567e-14, 75907543, 0, 0
32, 16, 10, 0.00254407, 1023231, 1.10899, 1911710, 1.47567e-14, 75697114, 0, 0
32, 16, 10, 0.00254407, 1016973, 1.10899, 2021211, 1.47567e-14, 75583530, 0, 0
64, 4, 10, 0.693284, 506629, 1.26259, 883118, 2.36985e-14, 37430089, 0, 0
64, 4, 10, 0.693284, 474957, 1.26259, 870846, 2.36985e-14, 36767243, 0, 0
64, 4, 10, 0.693284, 452740, 1.26259, 886670, 2.36985e-14, 37287903, 0, 0
64, 8, 10, 0.0628049, 859457, 1.07076, 1640571, 1.47567e-14, 75694763, 0, 0
64, 8, 10, 0.0628049, 872567, 1.07076, 1680606, 1.47567e-14, 74694158, 0, 0
64, 8, 10, 0.0628049, 869918, 1.07076, 1666020, 1.47567e-14, 75772598, 0, 0
64, 16, 10, 0.0002001, 1753350, 0.836853, 3365926, 1.37878e-14, 145930381, 0, 0
64, 16, 10, 0.0002001, 1855243, 0.836853, 3762624, 1.37878e-14, 145346784, 0, 0
64, 16, 10, 0.0002001, 1798310, 0.836853, 3302696, 1.37878e-14, 144948604, 0, 0
128, 4, 10, 0.476137, 849859, 0.996351, 1507206, 1.47567e-14, 75921208, 0, 0
128, 4, 10, 0.476137, 912996, 0.996351, 1524438, 1.47567e-14, 76299068, 0, 0
128, 4, 10, 0.476137, 879712, 0.996351, 1490618, 1.47567e-14, 76099080, 0, 0
128, 8, 10, 0.0222759, 1723290, 0.789526, 2989955, 1.37878e-14, 145922625, 0, 0
128, 8, 10, 0.0222759, 1689884, 0.789526, 3031832, 1.37878e-14, 145739921, 0, 0
128, 8, 10, 0.0222759, 1708480, 0.789526, 3005801, 1.37878e-14, 145389453, 0, 0
128, 16, 10, 1.29702e-05, 3671057, 0.569732, 6229034, 2.4119e-14, 301459392, 0, 0
128, 16, 10, 1.29702e-05, 3715066, 0.569732, 6357866, 2.4119e-14, 303140806, 0, 0
128, 16, 10, 1.29702e-05, 3614422, 0.569732, 6474045, 2.4119e-14, 304236272, 0, 0
